feature,importance
income_to_loan,0.18944000000000005
risk_score,0.026640000000000018
annual_income,0.02096
public_records,0.020080000000000053
inquiries_6mo,0.017280000000000007
loan_amount,0.01552
months_at_address,0.013520000000000042
loan_purpose_Debt Consolidation,0.011120000000000019
state_VA,0.010560000000000059
state_CA,0.00895999999999999
employment_length_5-10 years,0.005360000000000031
delinquencies_2yrs,0.0036000000000000255
employment_length_3-5 years,0.002719999999999989
loan_purpose_Home Improvement,0.0021600000000000287
loan_purpose_Car Purchase,0.0009600000000000719
