customer_id,segment,acquisition_channel,signup_date,age,location,churn_flag
CUST_0001,New,Social,2021-11-18,40,IL,1
CUST_0002,Occasional,Paid,2022-09-16,56,TX,1
CUST_0003,Occasional,Organic,2021-09-06,31,OH,1
CUST_0004,Occasional,Paid,2021-09-11,62,CA,0
CUST_0005,VIP,Social,2023-04-09,72,OH,0
CUST_0006,New,Paid,2021-05-11,46,PA,1
CUST_0007,Occasional,Organic,2021-12-22,33,IL,1
CUST_0008,Regular,Social,2022-06-12,72,TX,0
CUST_0009,VIP,Email,2021-02-17,72,IL,1
CUST_0010,Occasional,Email,2023-12-10,56,PA,0
CUST_0011,Occasional,Organic,2022-08-15,46,PA,1
CUST_0012,Occasional,Paid,2021-11-27,64,NY,0
CUST_0013,Regular,Paid,2022-07-09,22,NY,0
CUST_0014,New,Referral,2020-01-03,31,PA,1
CUST_0015,VIP,Referral,2020-05-25,42,NY,1
CUST_0016,VIP,Organic,2021-08-07,74,FL,1
CUST_0017,New,Referral,2020-03-01,60,FL,1
CUST_0018,Occasional,Email,2024-01-03,30,CA,0
CUST_0019,New,Paid,2021-07-17,25,FL,0
CUST_0020,Regular,Referral,2023-08-26,68,IL,0
CUST_0021,New,Social,2023-02-04,74,CA,1
CUST_0022,New,Email,2021-05-20,73,PA,1
CUST_0023,Regular,Organic,2020-02-23,26,TX,1
CUST_0024,Occasional,Social,2021-02-22,35,PA,0
CUST_0025,VIP,Email,2020-01-03,55,IL,1
CUST_0026,New,Organic,2023-01-17,21,PA,0
CUST_0027,VIP,Organic,2023-07-14,73,TX,1
CUST_0028,New,Organic,2023-05-03,51,FL,0
CUST_0029,New,Organic,2024-01-26,22,TX,0
CUST_0030,New,Paid,2022-09-10,32,PA,0
CUST_0031,New,Social,2023-04-14,35,PA,0
CUST_0032,VIP,Paid,2022-08-30,22,IL,0
CUST_0033,VIP,Referral,2022-11-29,49,PA,0
CUST_0034,Occasional,Email,2021-11-28,73,CA,1
CUST_0035,Occasional,Email,2023-08-05,33,FL,0
CUST_0036,VIP,Organic,2022-03-26,30,TX,1
CUST_0037,New,Paid,2023-04-08,44,PA,1
CUST_0038,New,Email,2020-05-12,62,CA,1
CUST_0039,Occasional,Social,2022-11-20,27,TX,1
CUST_0040,New,Paid,2020-03-22,19,PA,1
CUST_0041,Regular,Social,2020-10-21,49,IL,1
CUST_0042,Regular,Organic,2023-02-10,34,OH,0
CUST_0043,Occasional,Referral,2021-03-23,52,PA,1
CUST_0044,New,Social,2024-01-18,58,CA,0
CUST_0045,Occasional,Referral,2021-07-25,46,PA,1
CUST_0046,VIP,Social,2021-04-28,21,TX,0
CUST_0047,New,Organic,2021-06-07,27,PA,0
CUST_0048,Occasional,Email,2021-04-18,35,CA,0
CUST_0049,VIP,Referral,2021-11-17,29,FL,1
CUST_0050,Regular,Referral,2022-08-05,29,OH,0
CUST_0051,New,Email,2022-11-22,28,CA,0
CUST_0052,New,Social,2023-12-24,46,FL,0
CUST_0053,Occasional,Organic,2021-01-31,56,OH,1
CUST_0054,Regular,Email,2020-06-05,69,CA,1
CUST_0055,Regular,Email,2023-01-12,44,TX,0
CUST_0056,VIP,Paid,2022-01-17,46,IL,0
CUST_0057,VIP,Email,2022-05-18,37,PA,1
CUST_0058,Regular,Email,2024-01-16,18,CA,0
CUST_0059,VIP,Referral,2023-03-31,52,NY,0
CUST_0060,Regular,Paid,2023-07-18,33,TX,0
CUST_0061,VIP,Organic,2021-03-05,34,IL,1
CUST_0062,Regular,Email,2021-08-13,63,CA,0
CUST_0063,Regular,Referral,2021-01-21,61,IL,0
CUST_0064,VIP,Email,2021-01-12,37,PA,1
CUST_0065,Occasional,Organic,2022-01-03,61,FL,1
CUST_0066,Occasional,Paid,2022-10-13,39,PA,0
CUST_0067,Occasional,Email,2021-01-20,30,NY,0
CUST_0068,New,Social,2020-09-30,63,OH,0
CUST_0069,Regular,Referral,2020-01-11,42,NY,1
CUST_0070,VIP,Email,2023-12-19,39,TX,0
