emp_id,department,role,experience_years,education,performance_score,age,gender,salary
E0001,HR,Coordinator,15,PhD,5,41,M,112665
E0002,Marketing,Coordinator,4,Bachelors,3,31,M,71007
E0003,Sales,Director,12,Associate,2,38,M,191936
E0004,HR,Coordinator,17,Masters,2,41,F,89694
E0005,HR,Coordinator,3,Associate,5,33,M,59786
E0006,Sales,Rep,2,Masters,4,30,F,89955
E0007,Finance,Manager,3,Associate,4,26,F,134426
E0008,Operations,Supervisor,4,Bachelors,2,35,F,106194
E0009,Sales,Senior,4,Masters,4,34,F,106927
E0010,Sales,Manager,21,Masters,1,51,M,162334
E0011,Finance,Analyst,7,Masters,1,36,F,99445
E0012,Marketing,Coordinator,10,Bachelors,1,38,M,83422
E0013,HR,Generalist,1,Bachelors,5,25,F,88678
E0014,Engineering,Lead,5,Associate,3,27,M,131372
E0015,Sales,Manager,14,Masters,1,45,F,149954
E0016,Engineering,Manager,4,Associate,5,29,M,140754
E0017,Marketing,Manager,22,Associate,2,52,M,172057
E0018,HR,Generalist,11,Bachelors,4,41,M,101516
E0019,Operations,Coordinator,1,Bachelors,1,26,M,38759
E0020,Finance,Analyst,19,Bachelors,3,46,F,114764
E0021,Engineering,Manager,17,Bachelors,2,42,F,159852
E0022,Engineering,Junior,17,Associate,3,39,F,79612
E0023,Sales,Director,22,Bachelors,1,44,M,209704
E0024,Sales,Director,6,Bachelors,4,34,M,199797
E0025,Marketing,Coordinator,6,Bachelors,4,29,F,88744
E0026,Engineering,Junior,6,Masters,3,31,F,77884
E0027,Marketing,Manager,3,Associate,4,31,F,136852
E0028,Sales,Director,1,Masters,1,31,F,179936
E0029,Operations,Supervisor,3,Bachelors,2,33,F,79140
E0030,Operations,Coordinator,5,Associate,1,35,M,69477
E0031,Marketing,Manager,20,Associate,1,49,F,164810
E0032,Marketing,Specialist,3,Associate,2,26,F,88779
E0033,Operations,Manager,16,Associate,4,38,F,157991
E0034,HR,Manager,3,Masters,1,27,F,129957
E0035,Operations,Supervisor,6,Associate,3,33,F,110675
E0036,Operations,Coordinator,15,Masters,5,39,F,114304
E0037,Marketing,Coordinator,17,Associate,5,43,F,103007
E0038,Finance,Manager,3,Associate,4,29,F,143923
E0039,Engineering,Manager,3,Bachelors,1,34,M,119818
E0040,Marketing,Specialist,2,Bachelors,1,32,M,88117
E0041,Operations,Manager,10,Associate,3,33,M,143136
E0042,Engineering,Manager,13,Bachelors,4,37,M,159563
E0043,HR,Generalist,2,Masters,3,32,F,73692
E0044,Sales,Senior,22,Bachelors,2,49,M,137858
E0045,Operations,Manager,5,Masters,5,31,M,174112
E0046,HR,Coordinator,18,Masters,3,40,F,124747
E0047,Marketing,Specialist,23,Bachelors,2,49,F,126040
E0048,Finance,Analyst,1,Masters,1,30,M,86926
E0049,Finance,Analyst,16,Masters,5,43,M,109845
E0050,Marketing,Coordinator,22,Bachelors,4,48,M,107126
E0051,Engineering,Senior,14,Associate,5,45,F,102070
E0052,Engineering,Senior,5,Bachelors,2,32,M,92805
E0053,HR,Generalist,20,Bachelors,2,44,F,136496
E0054,Finance,Manager,2,Bachelors,3,27,F,133673
E0055,HR,Generalist,3,Masters,1,27,M,82786
E0056,Engineering,Manager,10,Bachelors,5,33,M,159707
E0057,Marketing,Specialist,3,Bachelors,2,32,M,77285
E0058,HR,Generalist,21,Bachelors,3,50,F,122797
E0059,Engineering,Junior,4,Bachelors,1,33,F,73887
E0060,HR,Generalist,17,PhD,5,39,M,138224
E0061,Finance,Manager,3,Bachelors,1,25,F,109347
E0062,Finance,Manager,19,Bachelors,4,49,M,169388
E0063,HR,Coordinator,7,Associate,4,31,F,74454
E0064,Marketing,Coordinator,20,Masters,4,46,M,133739
E0065,Engineering,Lead,13,Associate,2,41,F,125280
E0066,Finance,Manager,11,Bachelors,4,41,F,168163
E0067,Sales,Director,17,Bachelors,5,46,F,216090
E0068,Sales,Rep,5,Bachelors,5,27,F,78130
E0069,HR,Coordinator,7,Associate,4,32,F,79689
E0070,HR,Generalist,7,Masters,2,31,M,109886
E0071,Operations,Manager,13,Bachelors,4,44,F,168169
