player_id,team,position,games_played,points_per_game,assists_per_game,rebounds_per_game,minutes_per_game,age,experience_years,salary_millions,play_style_score,efficiency_rating,usage_rate
P0001,Team_E,Defender,22,15.7,2.9,1.3,27.5,24,1,1.09,49.8,8.2,0.212
P0002,Team_A,Forward,60,0.0,5.6,8.6,21.4,34,1,2.16,58.6,33.0,0.167
P0003,Team_E,Guard,41,10.9,1.8,8.0,22.4,29,17,4.11,66.3,17.1,0.202
P0004,Team_B,Forward,63,26.5,0.0,1.0,30.8,31,8,0.97,51.2,13.5,0.384
P0005,Team_F,Defender,68,3.3,3.2,3.8,34.1,27,1,5.71,35.2,26.7,0.222
P0006,Team_H,Defender,16,16.7,4.3,2.8,43.2,30,5,5.48,3.4,14.1,0.234
P0007,Team_B,Midfielder,59,8.0,4.4,5.4,27.1,26,16,3.03,34.0,13.0,0.264
P0008,Team_E,Midfielder,15,4.8,4.0,0.7,5.4,24,5,8.34,71.5,15.6,0.199
P0009,Team_E,Midfielder,74,12.4,2.5,4.4,19.8,22,16,0.5,71.7,10.2,0.381
P0010,Team_I,Defender,79,18.8,6.8,15.1,15.9,26,14,0.5,55.8,11.8,0.104
P0011,Team_D,Center,60,20.2,2.1,0.0,27.4,36,14,3.78,45.9,8.5,0.1
P0012,Team_D,Guard,55,10.8,3.1,6.6,27.3,25,12,0.84,21.7,14.2,0.155
P0013,Team_I,Midfielder,34,26.5,5.9,4.5,36.1,31,9,1.36,34.2,26.3,0.185
P0014,Team_D,Striker,23,3.8,6.5,4.0,20.5,21,7,1.78,50.1,23.3,0.295
P0015,Team_F,Forward,49,16.4,2.2,4.2,25.8,36,7,1.07,39.4,0.0,0.177
P0016,Team_C,Forward,29,8.7,8.2,1.6,21.3,26,6,4.18,96.6,4.4,0.315
P0017,Team_G,Defender,14,6.8,0.2,4.4,18.3,24,10,5.26,43.6,33.6,0.238
P0018,Team_L,Guard,28,0.0,3.2,5.4,18.3,33,17,0.5,41.2,22.2,0.194
P0019,Team_G,Striker,20,9.3,6.5,10.0,33.5,32,15,5.35,52.8,20.7,0.372
P0020,Team_I,Midfielder,72,0.8,8.2,14.5,6.4,22,2,7.57,49.7,6.4,0.353
P0021,Team_C,Guard,70,14.5,1.3,0.0,23.7,27,12,6.82,47.9,17.8,0.311
P0022,Team_F,Center,44,4.5,5.6,5.5,24.7,30,0,0.91,74.9,22.3,0.167
P0023,Team_F,Midfielder,12,18.9,2.8,7.6,28.9,29,14,5.96,59.9,4.5,0.27
P0024,Team_A,Midfielder,39,9.0,5.0,11.7,17.1,20,8,6.77,68.3,16.8,0.284
P0025,Team_D,Center,48,0.0,2.3,0.0,27.5,29,8,0.9,41.6,12.1,0.377
P0026,Team_B,Defender,35,21.9,3.6,3.5,19.4,36,15,5.05,54.0,31.1,0.264
P0027,Team_A,Striker,30,8.5,1.4,6.6,23.0,28,17,4.71,42.8,14.0,0.184
P0028,Team_G,Guard,32,11.3,1.5,8.7,25.8,33,2,8.86,50.0,5.7,0.355
P0029,Team_J,Forward,42,6.4,2.4,0.8,36.5,33,8,1.88,60.5,4.9,0.317
P0030,Team_E,Defender,11,18.0,2.0,9.4,22.5,35,6,0.76,35.1,9.6,0.262
