player_id,team,position,games_played,points_per_game,assists_per_game,rebounds_per_game,minutes_per_game,age,experience_years,salary_millions,market_value,win_shares,field_goal_pct,three_point_pct,free_throw_pct
P0001,Team_A,Striker,41,15.1,3.7,13.5,46.5,20,10,1.56,21.53,6.8,0.449,0.311,0.749
P0002,Team_C,Defender,28,6.7,9.3,9.1,18.6,21,12,1.36,12.96,1.0,0.56,0.334,0.721
P0003,Team_H,Striker,13,10.5,10.7,6.6,26.2,28,7,8.83,22.36,10.8,0.477,0.466,0.739
P0004,Team_F,Midfielder,70,10.3,4.1,10.2,11.6,29,5,2.59,17.02,9.7,0.499,0.302,0.696
P0005,Team_L,Defender,67,18.2,4.0,4.5,30.9,37,3,0.5,18.93,5.7,0.3,0.467,0.925
P0006,Team_H,Defender,29,20.1,4.6,5.7,27.9,21,14,18.13,27.67,5.9,0.475,0.283,0.847
P0007,Team_K,Striker,72,3.8,3.9,5.3,16.1,23,12,3.68,2.38,2.6,0.512,0.265,0.581
P0008,Team_H,Midfielder,54,12.0,8.6,3.1,24.6,21,5,5.55,17.62,9.5,0.522,0.45,0.632
P0009,Team_F,Defender,76,4.6,0.1,9.1,35.5,37,8,1.05,1.0,6.4,0.398,0.285,0.873
P0010,Team_G,Center,21,16.5,6.1,6.5,24.5,20,15,4.99,18.7,9.5,0.407,0.279,0.747
P0011,Team_G,Center,78,0.9,9.3,1.8,14.7,23,13,2.25,2.56,4.6,0.516,0.282,0.826
P0012,Team_F,Midfielder,64,9.5,2.8,9.0,5.0,24,0,7.91,3.38,2.7,0.489,0.366,0.735
P0013,Team_A,Forward,49,14.1,5.8,2.4,35.7,25,8,1.99,13.55,6.4,0.578,0.363,0.802
P0014,Team_A,Center,54,8.4,2.1,8.6,26.5,22,12,0.62,9.56,1.0,0.553,0.433,0.719
P0015,Team_F,Midfielder,40,15.1,4.5,3.1,27.0,28,5,5.78,16.57,6.5,0.431,0.433,0.711
P0016,Team_A,Forward,59,17.8,9.6,2.8,33.0,26,15,2.44,26.45,6.3,0.511,0.274,0.69
P0017,Team_C,Guard,18,8.5,4.4,7.9,29.8,37,12,0.5,1.0,6.6,0.437,0.367,0.855
P0018,Team_B,Forward,66,9.0,0.0,5.4,26.1,22,5,6.35,5.51,8.8,0.541,0.424,0.761
P0019,Team_C,Midfielder,21,0.0,8.4,7.7,22.8,25,17,2.46,14.18,5.9,0.444,0.36,0.75
P0020,Team_B,Forward,47,7.0,8.1,12.8,18.4,35,17,4.02,6.64,6.2,0.38,0.319,0.712
P0021,Team_K,Forward,24,18.1,5.1,3.9,21.8,37,17,1.58,17.29,9.6,0.396,0.353,0.801
P0022,Team_G,Midfielder,64,17.6,5.5,8.2,25.4,25,3,0.5,17.06,4.5,0.436,0.321,0.863
P0023,Team_I,Striker,52,13.5,0.8,8.6,17.6,35,7,1.21,9.88,0.0,0.536,0.388,0.843
P0024,Team_K,Guard,35,15.7,6.0,0.0,6.0,33,0,0.71,20.48,10.4,0.331,0.356,0.77
P0025,Team_C,Defender,40,18.9,2.3,0.0,37.6,29,16,1.66,25.72,3.1,0.43,0.379,0.748
P0026,Team_A,Striker,64,5.6,3.3,8.2,30.3,37,6,3.42,6.11,8.7,0.591,0.369,0.739
P0027,Team_A,Midfielder,66,0.0,3.2,0.0,19.8,31,12,0.5,1.0,8.0,0.515,0.339,0.682
P0028,Team_H,Defender,12,12.8,2.6,12.2,18.3,27,16,0.5,5.69,12.0,0.373,0.315,0.699
P0029,Team_H,Center,20,28.9,5.0,0.0,39.0,20,11,4.86,47.53,5.7,0.349,0.397,0.849
P0030,Team_E,Forward,29,11.9,4.8,6.4,38.8,27,3,0.58,15.26,8.4,0.488,0.336,0.581
P0031,Team_I,Forward,51,18.4,7.7,0.0,47.4,26,12,0.5,31.49,5.2,0.471,0.429,0.796
P0032,Team_H,Striker,44,12.8,2.9,15.2,27.0,31,10,0.5,11.58,2.2,0.638,0.411,0.645
P0033,Team_D,Center,76,9.6,5.4,4.8,27.9,20,3,2.46,16.58,0.5,0.3,0.439,0.636
P0034,Team_D,Center,37,7.5,1.9,6.8,7.6,21,8,4.45,6.21,1.7,0.37,0.275,0.814
P0035,Team_J,Guard,34,15.7,8.6,1.5,16.6,25,12,0.9,18.88,1.5,0.415,0.33,0.689
P0036,Team_H,Midfielder,16,0.1,4.2,8.1,32.9,28,5,1.67,1.0,7.7,0.439,0.347,0.659
P0037,Team_E,Defender,30,10.8,6.9,5.8,20.2,25,17,0.5,15.79,6.4,0.461,0.429,0.722
P0038,Team_H,Defender,79,0.0,6.1,5.2,27.5,32,17,3.02,1.0,0.0,0.503,0.387,0.656
P0039,Team_E,Center,21,0.0,3.2,6.6,28.4,35,12,2.02,1.0,0.0,0.388,0.356,0.889
P0040,Team_G,Midfielder,11,14.1,2.8,8.6,28.4,21,8,0.84,21.04,0.0,0.535,0.283,0.814
P0041,Team_A,Center,51,11.1,2.2,8.6,25.2,29,12,7.14,12.61,3.7,0.452,0.353,0.655
P0042,Team_E,Midfielder,81,8.7,7.1,11.5,14.2,21,0,0.95,13.82,13.2,0.471,0.39,0.779
P0043,Team_B,Striker,62,5.3,0.0,6.0,11.5,36,7,0.95,1.0,9.5,0.579,0.333,0.505
P0044,Team_G,Center,50,12.1,7.6,1.7,29.4,20,0,4.01,15.98,1.9,0.493,0.312,0.806
P0045,Team_K,Midfielder,64,24.3,0.0,9.0,19.9,21,9,2.17,33.28,4.6,0.599,0.352,0.743
P0046,Team_K,Midfielder,48,12.9,5.0,8.1,36.1,28,14,1.14,13.26,9.3,0.463,0.441,0.722
P0047,Team_K,Striker,45,14.2,4.2,1.0,34.7,31,11,0.5,14.38,8.7,0.384,0.203,0.879
P0048,Team_A,Defender,61,6.1,0.0,14.9,10.2,24,17,1.23,1.0,10.6,0.532,0.313,0.73
P0049,Team_J,Forward,47,19.7,5.6,11.3,14.4,33,0,9.68,16.26,13.9,0.417,0.459,0.691
P0050,Team_G,Striker,81,6.8,6.2,9.2,31.9,26,14,2.53,4.6,2.6,0.49,0.276,0.619
P0051,Team_A,Center,79,3.6,4.7,7.9,18.2,23,6,4.21,3.59,3.9,0.3,0.345,0.61
P0052,Team_J,Center,27,11.9,0.0,0.8,21.8,35,15,0.5,10.27,0.0,0.394,0.286,0.899
P0053,Team_H,Guard,35,4.6,6.9,0.0,15.2,30,8,5.99,14.8,6.1,0.387,0.387,0.763
P0054,Team_C,Forward,62,7.9,9.6,0.6,28.8,20,11,1.83,19.15,0.0,0.366,0.326,0.709
P0055,Team_G,Guard,71,7.9,3.8,10.7,24.2,22,7,2.34,6.36,4.9,0.415,0.309,0.726
P0056,Team_F,Midfielder,16,9.8,3.3,0.0,15.4,30,15,4.12,2.51,9.5,0.429,0.402,0.864
P0057,Team_H,Guard,19,0.5,3.7,0.9,29.8,22,15,0.5,1.0,9.6,0.381,0.315,0.688
P0058,Team_A,Striker,23,17.8,1.0,5.4,23.6,25,13,3.65,23.9,5.5,0.471,0.27,0.764
P0059,Team_I,Guard,37,13.9,5.9,7.5,31.5,37,17,1.56,4.28,5.4,0.356,0.384,0.67
P0060,Team_H,Midfielder,12,9.8,2.2,2.7,33.7,23,0,4.46,17.92,0.0,0.382,0.451,0.93
P0061,Team_F,Midfielder,75,22.9,1.5,2.7,20.7,27,3,1.64,28.37,9.6,0.391,0.379,0.851
P0062,Team_G,Center,18,30.7,4.6,1.9,26.8,28,10,0.5,39.73,3.1,0.372,0.328,0.67
P0063,Team_I,Defender,31,0.8,0.0,4.2,23.7,31,15,0.7,1.0,0.5,0.449,0.355,0.594
P0064,Team_J,Defender,32,8.1,3.8,10.2,19.2,37,0,5.06,7.94,3.1,0.353,0.381,0.591
P0065,Team_G,Striker,56,22.1,0.5,3.5,38.2,33,9,4.68,22.6,0.0,0.496,0.335,0.679
P0066,Team_K,Center,69,13.1,2.4,1.1,6.2,24,4,0.5,13.06,1.2,0.462,0.41,0.629
P0067,Team_J,Striker,44,14.3,8.0,8.2,31.6,24,13,1.89,14.28,1.8,0.584,0.365,0.753
P0068,Team_D,Striker,69,8.4,4.9,0.0,21.4,26,13,0.5,5.13,7.9,0.422,0.376,0.623
P0069,Team_B,Forward,50,13.5,1.4,7.0,27.5,34,14,8.17,14.79,0.0,0.581,0.425,0.777
P0070,Team_A,Forward,66,5.5,6.1,13.0,31.4,34,5,2.21,5.05,4.2,0.378,0.42,0.782
P0071,Team_D,Forward,49,12.5,1.4,9.7,18.5,32,8,3.33,10.84,12.8,0.449,0.33,0.808
P0072,Team_L,Defender,36,25.4,4.3,5.2,6.7,31,6,6.99,31.18,10.0,0.43,0.297,0.734
P0073,Team_C,Midfielder,21,12.5,8.2,6.8,27.2,29,15,3.25,21.23,4.2,0.353,0.446,0.95
P0074,Team_L,Midfielder,14,0.2,2.3,7.3,18.8,25,0,1.28,1.0,7.3,0.55,0.308,0.783
P0075,Team_C,Striker,65,10.1,0.0,0.0,17.3,22,6,1.03,16.55,7.1,0.376,0.326,0.579
P0076,Team_A,Forward,64,16.0,6.5,7.5,30.9,21,16,0.5,17.37,5.3,0.494,0.401,0.63
P0077,Team_B,Forward,22,22.8,3.0,2.4,29.9,37,9,5.58,28.17,8.0,0.36,0.324,0.672
P0078,Team_B,Striker,60,15.6,5.1,0.5,11.3,36,9,0.71,24.91,4.1,0.481,0.382,0.904
P0079,Team_G,Forward,21,16.1,4.4,9.2,17.9,20,0,3.36,16.56,2.3,0.387,0.316,0.796
P0080,Team_F,Midfielder,79,8.3,4.0,9.6,28.9,23,9,5.29,9.61,10.5,0.361,0.324,0.727
P0081,Team_B,Defender,37,18.8,1.2,5.9,17.7,29,2,5.95,15.64,0.0,0.395,0.354,0.661
P0082,Team_H,Midfielder,11,15.5,4.1,5.3,18.5,28,0,2.81,16.09,5.5,0.601,0.333,0.712
P0083,Team_B,Center,66,0.0,6.7,15.1,24.1,22,14,0.96,1.0,9.6,0.349,0.332,0.924
P0084,Team_H,Forward,61,11.5,7.2,6.1,13.0,28,5,5.42,25.94,10.2,0.412,0.298,0.76
P0085,Team_D,Defender,44,5.9,4.6,9.8,14.2,30,9,2.55,2.17,9.2,0.3,0.283,0.736
P0086,Team_K,Striker,19,14.7,1.7,4.7,15.6,22,13,0.5,24.79,8.4,0.496,0.368,0.81
P0087,Team_E,Midfielder,30,13.2,0.0,7.1,40.4,24,1,6.51,10.84,0.0,0.554,0.362,0.78
P0088,Team_B,Midfielder,27,22.1,1.3,9.8,43.9,28,2,9.01,24.74,7.9,0.439,0.31,0.63
P0089,Team_L,Forward,16,16.8,3.5,4.4,34.3,20,11,1.53,20.38,5.3,0.427,0.403,0.754
P0090,Team_J,Midfielder,50,8.3,1.3,8.5,9.8,20,2,1.11,3.65,6.5,0.41,0.277,0.725
P0091,Team_J,Forward,64,4.8,2.1,4.7,5.0,24,10,0.5,1.44,12.9,0.372,0.433,0.801
P0092,Team_I,Midfielder,76,18.4,6.0,4.4,35.8,34,3,0.93,24.61,8.3,0.423,0.345,0.876
P0093,Team_B,Guard,32,8.5,4.8,10.8,27.2,21,1,2.48,12.41,7.0,0.464,0.304,0.933
