player_id,team,position,games_played,points_per_game,assists_per_game,rebounds_per_game,minutes_per_game,age,experience_years,salary_millions,field_goal_pct,three_point_pct,free_throw_pct
P0001,Team_B,Center,67,8.4,6.8,3.4,37.9,30,11,1.24,0.481,0.235,0.634
P0002,Team_C,Striker,52,19.4,5.1,4.8,5.0,33,1,2.08,0.514,0.307,0.776
P0003,Team_H,Center,57,4.4,2.8,3.4,9.1,37,7,1.05,0.564,0.35,0.644
P0004,Team_K,Forward,22,19.9,3.4,11.4,27.3,33,17,7.34,0.471,0.311,0.565
P0005,Team_G,Center,54,2.2,4.6,10.0,27.6,25,3,1.67,0.446,0.312,0.596
P0006,Team_F,Striker,46,5.0,8.6,6.1,10.5,37,6,2.84,0.548,0.295,0.742
P0007,Team_F,Guard,50,8.2,0.0,1.0,19.6,27,12,3.11,0.3,0.316,0.708
P0008,Team_B,Guard,49,0.7,6.4,14.5,24.8,35,15,1.02,0.441,0.29,0.666
P0009,Team_D,Guard,12,17.3,5.3,5.6,24.7,23,5,0.5,0.581,0.346,0.699
P0010,Team_A,Guard,34,18.9,2.0,0.0,28.3,35,6,2.26,0.534,0.418,0.539
P0011,Team_I,Striker,61,9.0,2.8,1.8,13.3,25,2,5.6,0.544,0.359,0.724
P0012,Team_F,Forward,61,13.9,2.6,0.4,21.7,22,4,12.14,0.465,0.343,0.669
P0013,Team_G,Guard,46,25.3,1.2,2.2,15.9,34,16,1.82,0.33,0.33,0.607
P0014,Team_I,Defender,37,11.2,3.9,0.0,5.0,34,17,2.74,0.483,0.369,0.71
P0015,Team_E,Center,15,15.0,6.7,4.4,31.9,31,11,3.09,0.49,0.295,0.777
P0016,Team_K,Center,72,12.4,7.1,9.9,47.5,36,17,5.11,0.469,0.33,0.856
P0017,Team_L,Striker,68,10.3,4.2,0.0,41.6,23,13,6.33,0.406,0.348,0.72
P0018,Team_L,Defender,76,11.5,3.7,2.7,29.9,29,7,1.63,0.453,0.338,0.793
P0019,Team_J,Center,66,4.8,3.4,3.6,32.8,22,14,0.7,0.428,0.274,0.757
P0020,Team_A,Center,72,0.0,11.7,6.0,29.5,37,15,0.5,0.485,0.299,0.849
P0021,Team_E,Defender,46,13.8,7.9,9.8,31.9,33,7,0.5,0.405,0.358,0.714
P0022,Team_J,Guard,44,0.0,5.0,10.8,19.4,20,6,1.55,0.473,0.445,0.755
P0023,Team_H,Forward,15,30.2,0.0,8.3,26.3,24,2,1.59,0.399,0.276,0.723
P0024,Team_J,Defender,39,30.8,10.8,7.4,20.9,32,9,1.67,0.445,0.401,0.688
P0025,Team_F,Defender,29,20.9,3.4,2.4,19.4,23,10,1.63,0.478,0.309,0.934
P0026,Team_L,Forward,52,5.7,7.4,4.5,38.5,23,12,1.43,0.395,0.335,0.722
P0027,Team_L,Striker,68,19.5,2.6,3.5,35.8,30,11,3.95,0.464,0.376,0.712
P0028,Team_I,Striker,12,12.7,3.3,2.1,11.8,36,8,7.62,0.412,0.407,0.773
P0029,Team_C,Forward,45,6.6,0.0,2.8,36.1,27,10,4.51,0.43,0.402,0.635
P0030,Team_L,Center,51,0.5,8.7,7.6,16.7,35,9,3.02,0.362,0.455,0.769
P0031,Team_A,Center,46,4.6,3.6,4.0,35.1,22,6,2.54,0.553,0.378,0.752
P0032,Team_L,Center,13,14.4,3.1,8.8,31.8,25,10,2.24,0.46,0.318,0.827
P0033,Team_H,Forward,64,18.4,4.6,4.4,5.0,33,5,0.53,0.472,0.269,0.638
P0034,Team_F,Guard,31,0.6,8.0,8.8,38.3,32,1,5.03,0.489,0.418,0.802
P0035,Team_B,Defender,71,3.2,6.5,10.3,18.4,21,13,4.58,0.506,0.265,0.792
P0036,Team_H,Guard,66,14.2,2.3,4.5,24.2,23,11,3.29,0.52,0.396,0.894
P0037,Team_A,Striker,44,18.0,4.8,5.4,15.2,26,15,0.8,0.508,0.355,0.824
P0038,Team_L,Defender,12,6.5,6.4,7.4,31.1,37,4,2.17,0.451,0.37,0.849
P0039,Team_J,Striker,68,19.5,1.8,5.9,37.4,36,3,0.5,0.516,0.343,0.589
P0040,Team_A,Center,77,10.5,1.5,4.6,24.4,33,7,1.02,0.445,0.455,0.91
P0041,Team_L,Guard,59,10.4,0.9,0.5,15.1,20,12,0.5,0.495,0.301,0.699
P0042,Team_G,Defender,65,0.0,0.0,17.0,31.8,21,8,3.61,0.496,0.345,0.859
P0043,Team_I,Striker,48,7.4,5.7,11.4,44.0,28,1,1.63,0.515,0.354,0.854
P0044,Team_B,Midfielder,25,8.5,0.3,12.6,24.7,20,0,2.29,0.434,0.285,0.782
P0045,Team_B,Defender,28,10.9,4.6,4.5,31.4,33,15,2.06,0.509,0.381,0.769
P0046,Team_H,Guard,46,16.3,6.4,5.8,33.9,36,16,2.05,0.399,0.393,0.593
P0047,Team_D,Center,46,4.6,3.7,2.3,25.0,31,11,5.01,0.527,0.373,0.784
P0048,Team_G,Midfielder,45,9.8,7.3,7.6,28.7,30,7,0.98,0.493,0.5,0.681
P0049,Team_C,Center,59,22.9,2.2,11.4,15.9,23,8,3.42,0.441,0.297,0.712
P0050,Team_I,Forward,30,4.4,3.1,2.8,28.8,25,8,1.63,0.496,0.34,0.764
P0051,Team_J,Midfielder,47,12.7,5.6,1.4,40.2,35,0,2.59,0.561,0.323,0.686
P0052,Team_H,Defender,19,12.7,4.7,2.5,21.3,22,8,0.67,0.337,0.377,0.697
P0053,Team_F,Center,66,25.1,3.4,1.0,10.7,36,13,0.59,0.379,0.319,0.86
P0054,Team_D,Center,14,8.5,4.1,0.6,18.0,26,4,1.09,0.627,0.372,0.749
P0055,Team_A,Forward,35,9.3,0.0,1.6,38.3,34,2,0.5,0.415,0.216,0.927
P0056,Team_E,Center,65,0.0,8.8,15.3,22.6,25,17,5.96,0.341,0.402,0.519
P0057,Team_D,Forward,58,10.6,4.0,6.3,22.9,23,16,6.82,0.541,0.318,0.782
P0058,Team_I,Guard,11,15.8,7.7,6.9,23.1,24,9,3.25,0.483,0.326,0.799
P0059,Team_L,Guard,75,20.4,0.5,7.9,19.1,34,11,2.56,0.403,0.294,0.806
P0060,Team_E,Forward,29,14.5,0.6,5.7,28.6,25,10,1.05,0.532,0.346,0.619
P0061,Team_L,Striker,76,5.8,2.4,15.0,32.3,29,14,13.31,0.584,0.216,0.502
P0062,Team_H,Center,68,9.1,2.9,4.4,22.5,22,12,0.5,0.439,0.404,0.74
P0063,Team_I,Defender,56,0.0,1.0,6.4,17.2,29,4,0.57,0.451,0.354,0.826
P0064,Team_F,Guard,77,16.0,4.6,3.8,22.0,25,14,0.6,0.65,0.267,0.689
P0065,Team_K,Midfielder,51,0.0,2.9,1.6,22.1,23,6,2.4,0.512,0.343,0.772
P0066,Team_B,Guard,14,21.4,5.4,4.3,29.1,20,7,5.38,0.43,0.418,0.886
P0067,Team_H,Striker,11,24.3,5.1,7.4,13.1,33,3,1.13,0.586,0.363,0.763
P0068,Team_F,Guard,69,9.3,6.1,5.7,28.1,21,4,2.71,0.404,0.389,0.834
P0069,Team_F,Striker,33,18.4,5.3,3.1,7.7,28,12,10.01,0.363,0.316,0.81
P0070,Team_F,Forward,55,30.8,5.8,12.3,30.6,35,3,4.82,0.456,0.307,0.635
P0071,Team_L,Defender,31,21.8,5.6,2.0,19.7,21,11,4.87,0.466,0.448,0.9
P0072,Team_A,Guard,34,14.9,1.3,11.9,20.3,33,3,4.57,0.349,0.344,0.712
P0073,Team_E,Center,74,7.0,3.3,8.3,35.5,30,12,2.21,0.582,0.453,0.662
P0074,Team_G,Guard,26,20.4,5.7,4.5,18.8,32,12,8.4,0.474,0.415,0.611
P0075,Team_F,Striker,71,20.7,1.4,11.5,35.6,30,15,4.78,0.311,0.273,0.844
P0076,Team_C,Center,56,7.1,5.4,0.0,39.1,21,17,0.52,0.416,0.442,0.767
P0077,Team_K,Center,71,26.2,4.3,6.0,29.3,21,15,5.85,0.506,0.385,0.658
P0078,Team_G,Midfielder,73,10.2,7.6,5.9,24.2,36,0,0.5,0.562,0.351,0.552
P0079,Team_C,Midfielder,55,24.4,0.0,2.5,43.5,20,2,0.5,0.502,0.292,0.764
P0080,Team_H,Defender,81,15.3,5.2,1.5,14.8,27,4,5.64,0.394,0.421,0.845
P0081,Team_F,Forward,71,16.0,6.1,6.6,25.8,27,4,3.78,0.52,0.381,0.727
P0082,Team_K,Center,16,9.2,0.0,0.0,28.0,32,1,2.66,0.425,0.2,0.659
P0083,Team_L,Midfielder,72,13.6,0.0,6.6,29.4,28,14,1.12,0.426,0.403,0.785
