player_id,team,position,games_played,points_per_game,assists_per_game,rebounds_per_game,minutes_per_game,age,experience_years,salary_millions,field_goal_pct,three_point_pct,free_throw_pct
P0001,Team_A,Defender,74,13.0,3.6,3.0,24.5,21,4,1.89,0.443,0.295,0.5
P0002,Team_A,Midfielder,46,2.2,6.8,9.1,5.0,31,10,6.72,0.409,0.34,0.652
P0003,Team_A,Midfielder,70,3.2,6.2,8.1,26.6,20,6,3.91,0.357,0.41,0.801
P0004,Team_D,Striker,77,10.9,5.0,2.8,31.2,27,11,9.27,0.443,0.33,0.654
P0005,Team_C,Defender,55,9.9,0.0,7.7,29.2,35,4,0.5,0.495,0.33,0.521
P0006,Team_J,Striker,80,4.9,0.0,7.8,28.3,34,17,0.5,0.373,0.464,0.555
P0007,Team_D,Guard,32,21.2,2.1,0.0,48.0,32,8,0.5,0.444,0.34,0.95
P0008,Team_E,Defender,16,0.0,7.8,7.9,21.9,35,8,3.99,0.484,0.353,0.838
P0009,Team_H,Striker,68,15.6,1.4,5.9,7.3,34,11,2.94,0.47,0.256,0.736
P0010,Team_G,Striker,55,16.2,2.8,0.0,25.5,34,13,2.8,0.314,0.352,0.797
P0011,Team_C,Striker,57,7.9,6.4,12.3,37.5,22,1,0.5,0.493,0.347,0.863
P0012,Team_B,Striker,29,13.4,4.9,6.5,36.6,24,6,2.79,0.535,0.39,0.769
P0013,Team_J,Guard,46,13.1,9.7,2.1,23.2,25,15,0.75,0.494,0.358,0.679
P0014,Team_E,Defender,78,10.4,4.5,8.7,21.1,35,15,2.63,0.309,0.277,0.611
P0015,Team_H,Guard,37,19.9,6.7,4.6,23.5,34,17,4.02,0.422,0.327,0.732
P0016,Team_I,Striker,15,23.1,2.4,9.6,30.4,31,3,3.11,0.478,0.323,0.787
P0017,Team_F,Midfielder,23,0.0,0.7,14.0,24.0,21,1,9.87,0.482,0.329,0.62
P0018,Team_F,Defender,29,17.8,2.0,4.8,14.7,30,10,3.36,0.347,0.413,0.801
P0019,Team_F,Midfielder,15,22.5,0.8,0.2,13.9,27,15,2.85,0.465,0.401,0.839
P0020,Team_G,Midfielder,40,20.4,0.0,4.6,43.5,25,11,5.34,0.466,0.325,0.662
P0021,Team_L,Striker,42,12.6,4.9,0.0,38.1,25,10,1.9,0.498,0.317,0.777
P0022,Team_L,Center,59,12.2,0.9,7.6,31.0,26,16,0.89,0.474,0.323,0.753
P0023,Team_G,Center,57,11.0,0.7,6.4,46.9,30,8,13.31,0.362,0.398,0.756
P0024,Team_D,Forward,28,15.3,0.0,0.0,18.9,24,14,3.27,0.419,0.246,0.743
P0025,Team_C,Forward,71,21.4,8.0,7.5,22.8,24,4,3.7,0.513,0.431,0.708
P0026,Team_L,Defender,45,9.0,4.8,10.9,29.1,22,5,1.59,0.396,0.26,0.787
P0027,Team_G,Midfielder,67,24.9,6.5,3.8,23.4,25,6,1.33,0.317,0.371,0.707
P0028,Team_L,Guard,23,15.2,7.4,12.1,6.9,32,15,0.81,0.478,0.409,0.881
P0029,Team_J,Forward,32,34.0,6.4,0.0,33.6,36,0,0.98,0.461,0.287,0.543
P0030,Team_J,Midfielder,11,0.6,0.4,15.4,29.8,25,5,1.14,0.435,0.43,0.95
P0031,Team_H,Guard,26,24.3,6.7,9.3,26.0,30,11,2.5,0.434,0.284,0.575
