player_id,position,team,age,games,innings,fielding_pct,errors,putouts,assists,double_plays,all_star,gold_glove
P0001,OF,Cubs,36,126,911.9,0.973,3,104,52,15,1,0
P0002,OF,Red Sox,33,74,656.1,1.006,4,121,48,12,0,0
P0003,DH,Red Sox,35,100,307.0,0.972,9,90,46,12,0,0
P0004,2B,Mets,36,64,102.2,0.996,3,110,55,8,0,0
P0005,DH,Dodgers,22,67,265.8,0.997,7,92,54,14,0,0
P0006,3B,Cubs,26,48,135.9,0.997,2,118,53,19,0,0
P0007,Catcher,Braves,28,148,417.9,0.998,1,100,44,13,0,0
P0008,Pitcher,Phillies,33,58,124.5,0.982,2,103,34,21,0,0
P0009,DH,Cardinals,25,142,417.1,0.984,8,91,57,14,0,0
P0010,Pitcher,Mets,39,61,79.0,0.999,5,104,47,18,0,0
P0011,SS,Astros,24,131,237.3,0.987,5,108,58,16,0,0
P0012,SS,Cardinals,27,128,626.4,0.973,7,102,49,20,0,0
P0013,SS,Giants,24,135,453.0,0.995,6,87,60,17,0,0
P0014,OF,Phillies,24,69,547.6,0.982,10,102,49,12,1,0
P0015,SS,Cardinals,32,120,621.4,0.978,2,101,53,13,0,0
P0016,OF,Phillies,26,136,224.0,0.992,5,84,64,15,0,0
P0017,1B,Phillies,37,105,117.1,0.983,3,98,52,6,0,0
P0018,Pitcher,Astros,26,23,147.0,1.004,11,104,45,13,0,0
P0019,Catcher,Astros,31,109,406.0,0.985,4,98,52,10,0,0
P0020,DH,Giants,33,132,849.9,0.968,6,85,47,17,0,0
P0021,3B,Red Sox,33,44,238.9,0.982,11,98,48,10,0,0
P0022,3B,Yankees,38,90,799.9,0.987,5,116,50,15,0,0
P0023,Pitcher,Braves,22,150,140.8,0.984,4,131,60,15,0,0
P0024,3B,Cardinals,24,31,268.8,0.989,2,95,53,12,0,0
P0025,1B,Cardinals,38,160,1326.0,0.992,4,96,52,19,0,0
P0026,DH,Braves,27,114,797.9,1.0,6,92,56,12,0,0
P0027,1B,Dodgers,33,73,638.3,0.979,10,107,49,12,0,0
P0028,Catcher,Astros,38,93,665.1,1.01,1,103,43,13,0,0
P0029,1B,Cardinals,37,27,65.9,0.977,7,101,60,13,0,0
P0030,SS,Astros,32,82,329.5,1.002,0,113,51,12,0,0
P0031,Catcher,Astros,28,22,179.6,1.016,3,93,43,10,0,0
P0032,1B,Mets,34,130,737.6,0.996,8,100,63,11,0,0
P0033,SS,Astros,30,150,779.4,0.988,6,102,45,11,0,0
P0034,Pitcher,Yankees,35,83,46.6,0.984,7,90,38,15,0,0
P0035,3B,Dodgers,35,136,931.2,0.986,5,89,53,13,0,0
P0036,OF,Astros,35,51,239.8,0.983,6,116,53,10,0,0
P0037,OF,Cubs,27,116,772.1,0.98,4,101,49,15,0,0
P0038,3B,Dodgers,25,55,370.1,0.989,6,103,41,12,0,0
P0039,DH,Cubs,26,139,164.6,0.997,2,85,61,12,0,0
P0040,Pitcher,Cardinals,29,72,93.7,0.992,1,95,51,13,0,0
P0041,1B,Red Sox,28,107,373.6,0.978,5,112,43,13,0,0
P0042,SS,Yankees,34,49,376.9,0.994,7,85,37,15,0,0
P0043,OF,Astros,22,76,211.0,0.992,1,110,53,9,0,0
P0044,1B,Cubs,26,161,538.6,0.974,2,91,43,14,0,0
P0045,Catcher,Dodgers,24,138,433.9,0.972,6,100,57,15,0,0
P0046,1B,Cubs,34,117,371.9,1.003,2,102,51,19,1,0
P0047,Pitcher,Cardinals,29,117,144.1,0.975,4,89,38,12,0,0
P0048,Pitcher,Braves,29,73,120.4,0.99,4,93,34,16,0,0
P0049,Pitcher,Astros,38,148,124.1,0.979,6,84,49,15,0,0
P0050,OF,Giants,37,44,362.0,1.003,4,102,46,18,0,0
P0051,3B,Dodgers,28,122,158.1,0.971,2,95,36,15,0,0
P0052,DH,Phillies,33,145,629.3,0.99,2,90,63,9,0,0
P0053,2B,Mets,31,122,632.0,0.966,5,85,57,20,0,0
P0054,OF,Cubs,25,78,328.6,0.982,4,97,57,11,0,0
P0055,1B,Phillies,24,101,663.4,0.988,5,113,41,19,0,0
P0056,DH,Cardinals,29,152,211.3,0.981,5,114,61,17,0,0
P0057,DH,Red Sox,37,111,866.3,0.989,8,111,46,19,1,0
P0058,SS,Yankees,30,36,69.4,0.992,1,110,45,14,0,0
P0059,3B,Cardinals,25,115,824.2,0.993,2,105,53,14,0,0
P0060,DH,Red Sox,32,77,77.6,0.995,4,101,46,18,0,0
P0061,SS,Astros,36,120,733.0,0.97,5,104,59,26,0,0
P0062,OF,Dodgers,28,150,1106.2,0.978,5,103,44,11,0,0
P0063,Catcher,Astros,29,158,1402.2,0.984,10,85,43,8,0,0
P0064,3B,Cubs,28,122,318.0,0.973,5,115,52,23,0,0
P0065,OF,Braves,32,103,558.7,0.999,2,98,52,15,0,0
P0066,3B,Astros,33,101,117.9,0.99,4,97,48,19,0,0
P0067,DH,Cubs,26,23,158.3,0.985,3,97,52,12,0,0
P0068,3B,Yankees,24,45,302.7,1.001,5,100,59,15,0,0
P0069,1B,Mets,23,24,86.4,0.98,4,100,58,12,0,0
P0070,2B,Mets,32,68,527.2,0.988,5,79,64,10,0,0
P0071,Pitcher,Red Sox,35,31,58.2,0.994,5,94,43,26,0,0
P0072,3B,Cardinals,36,53,333.5,0.988,2,92,59,22,0,0
P0073,DH,Giants,30,109,413.0,0.988,5,85,49,20,0,0
P0074,SS,Cardinals,28,108,391.7,0.974,7,89,56,19,0,0
P0075,OF,Cubs,36,62,441.4,0.991,2,115,63,22,0,0
P0076,DH,Giants,35,46,388.1,0.994,6,101,43,19,0,0
P0077,SS,Braves,22,139,724.5,0.987,8,94,58,10,0,0
P0078,2B,Dodgers,22,138,729.0,1.008,3,104,53,10,0,0
P0079,Catcher,Cardinals,28,43,87.2,0.988,3,115,46,13,0,0
P0080,3B,Giants,29,69,444.4,0.98,3,96,46,17,0,0
P0081,SS,Mets,37,31,117.2,0.996,6,111,53,18,0,0
P0082,Catcher,Cubs,22,133,496.5,0.991,5,89,51,14,0,0
P0083,3B,Red Sox,31,153,325.9,0.991,2,102,51,13,0,0
P0084,SS,Cubs,24,153,332.2,0.98,2,101,49,15,0,0
P0085,3B,Dodgers,26,29,78.1,1.001,4,109,42,16,0,0
P0086,2B,Cubs,25,143,1113.1,0.984,7,97,44,14,0,0
P0087,DH,Braves,26,84,301.4,0.989,2,96,53,12,0,0
P0088,DH,Dodgers,29,61,444.1,0.996,8,115,53,21,0,0
P0089,DH,Red Sox,26,106,682.8,0.981,1,96,47,17,0,0
P0090,SS,Cardinals,29,83,364.7,0.987,5,105,45,15,0,0
P0091,1B,Astros,23,137,669.7,0.985,2,86,39,16,0,0
P0092,2B,Giants,33,51,253.4,0.993,3,114,51,18,0,0
P0093,DH,Cardinals,32,108,917.9,0.989,8,102,59,18,0,1
P0094,Pitcher,Giants,24,151,48.8,0.978,6,96,51,18,0,0
P0095,Catcher,Giants,32,89,713.2,1.002,5,103,57,16,0,0
P0096,DH,Phillies,25,139,810.1,0.981,5,79,56,19,0,0
P0097,OF,Yankees,22,82,226.7,1.0,7,111,51,11,0,1
P0098,Pitcher,Cardinals,34,100,206.6,0.991,4,99,49,17,1,0
P0099,1B,Yankees,25,89,129.8,0.98,3,93,31,12,0,0
P0100,OF,Phillies,34,89,135.5,0.982,2,116,51,13,1,0
P0101,2B,Astros,36,139,428.3,0.993,6,88,44,16,0,0
P0102,Catcher,Mets,28,105,566.0,0.972,5,91,59,18,0,0
P0103,1B,Phillies,24,82,408.2,0.993,3,87,42,23,0,0
P0104,Catcher,Mets,24,63,334.5,0.981,7,101,57,17,0,0
P0105,DH,Dodgers,31,79,518.8,0.979,5,90,53,14,0,0
P0106,2B,Braves,37,148,642.6,0.995,6,101,60,18,0,0
P0107,Catcher,Cardinals,33,140,667.7,0.983,5,111,44,13,0,0
P0108,DH,Cardinals,38,88,655.6,0.998,2,107,46,17,0,0
P0109,OF,Braves,24,23,182.4,0.979,5,110,61,20,0,0
P0110,SS,Cardinals,35,119,482.3,0.973,4,98,70,19,0,0
P0111,SS,Mets,36,161,442.4,0.968,4,81,60,16,0,0
P0112,2B,Red Sox,32,83,607.0,0.99,6,83,49,13,0,0
P0113,SS,Cubs,25,74,377.3,0.983,7,92,49,10,0,0
P0114,Pitcher,Red Sox,29,161,146.0,0.977,3,73,47,16,0,0
P0115,Pitcher,Astros,26,68,147.2,0.982,6,97,48,18,0,0
P0116,OF,Phillies,26,27,213.4,0.977,0,107,45,19,0,0
P0117,DH,Cubs,38,95,155.9,0.99,4,104,52,18,0,0
P0118,DH,Astros,23,100,655.9,0.983,5,91,57,14,0,0
P0119,Pitcher,Giants,27,141,142.2,0.979,5,96,48,15,0,0
P0120,Pitcher,Yankees,36,38,34.8,0.972,4,94,52,14,0,0
P0121,DH,Astros,24,94,196.1,0.984,5,87,47,15,0,0
P0122,3B,Cubs,38,128,1122.0,0.983,6,96,54,15,0,0
P0123,2B,Red Sox,22,111,628.7,0.98,7,112,61,16,0,0
P0124,SS,Giants,32,24,176.5,0.991,7,103,45,18,0,0
P0125,Catcher,Yankees,35,101,459.3,1.0,4,104,44,12,0,0
P0126,OF,Dodgers,32,86,562.5,1.002,4,105,45,18,0,0
P0127,DH,Mets,22,54,319.1,0.985,3,95,50,8,0,0
