player_id,team,position,games_played,points_per_game,assists_per_game,rebounds_per_game,minutes_per_game,age,experience_years,salary_millions,field_goal_pct,three_point_pct,free_throw_pct
P0001,Team_H,Striker,30,8.8,7.0,5.2,33.6,35,16,2.01,0.452,0.339,0.61
P0002,Team_B,Guard,14,0.0,1.9,5.4,26.0,37,12,7.94,0.521,0.34,0.734
P0003,Team_F,Center,41,0.0,0.7,0.6,47.3,26,8,16.03,0.318,0.29,0.811
P0004,Team_K,Center,53,20.9,4.5,9.7,36.1,35,11,0.97,0.617,0.34,0.694
P0005,Team_J,Defender,68,4.0,6.2,1.4,28.9,27,3,4.04,0.543,0.34,0.688
P0006,Team_K,Guard,25,13.9,3.2,3.4,20.3,37,4,0.5,0.399,0.262,0.805
P0007,Team_B,Forward,65,13.1,8.5,4.3,33.0,35,6,3.81,0.36,0.426,0.881
P0008,Team_D,Forward,28,19.6,1.8,8.1,12.1,30,11,6.28,0.453,0.205,0.599
P0009,Team_G,Center,14,18.6,2.4,7.2,21.8,37,2,0.5,0.526,0.449,0.746
P0010,Team_C,Guard,60,8.7,1.9,4.5,17.9,35,14,6.67,0.478,0.397,0.617
P0011,Team_L,Forward,22,15.9,5.8,4.2,36.0,35,8,0.58,0.65,0.364,0.635
P0012,Team_L,Guard,33,14.2,5.7,3.2,16.4,29,17,1.4,0.328,0.412,0.875
P0013,Team_E,Forward,13,18.8,8.2,15.5,31.5,24,9,6.28,0.414,0.388,0.676
P0014,Team_A,Forward,16,2.5,0.8,6.5,34.9,33,8,14.62,0.557,0.42,0.844
P0015,Team_F,Center,25,8.0,8.5,2.3,31.2,23,6,0.5,0.573,0.398,0.73
P0016,Team_B,Forward,23,8.0,6.3,2.7,26.4,21,7,0.5,0.3,0.303,0.623
P0017,Team_G,Guard,40,15.5,0.2,3.7,13.9,31,6,4.19,0.458,0.272,0.774
P0018,Team_J,Center,68,3.3,6.3,11.7,39.3,34,16,6.76,0.505,0.28,0.775
P0019,Team_B,Forward,34,4.9,8.1,0.0,40.2,23,6,0.72,0.446,0.31,0.95
P0020,Team_I,Midfielder,37,14.6,1.2,3.6,27.3,23,2,4.63,0.459,0.414,0.67
P0021,Team_C,Forward,81,12.5,1.3,3.4,28.9,36,17,1.2,0.471,0.379,0.665
P0022,Team_J,Forward,35,28.2,1.5,10.6,21.7,30,8,1.36,0.437,0.403,0.713
P0023,Team_L,Defender,37,3.4,4.4,4.9,31.5,34,0,0.5,0.3,0.378,0.792
P0024,Team_I,Striker,42,0.8,4.9,0.0,17.8,28,9,1.19,0.472,0.36,0.768
P0025,Team_D,Midfielder,15,2.6,4.2,5.9,16.0,32,15,2.61,0.39,0.364,0.828
P0026,Team_A,Midfielder,68,6.1,4.4,0.0,17.7,23,12,4.6,0.452,0.497,0.789
P0027,Team_C,Guard,64,2.0,0.0,6.9,25.2,30,17,0.5,0.623,0.379,0.803
P0028,Team_J,Center,43,19.9,3.5,7.8,26.5,27,10,3.71,0.544,0.425,0.895
P0029,Team_F,Defender,11,2.4,5.0,3.6,35.4,22,10,6.75,0.357,0.4,0.736
P0030,Team_G,Defender,33,4.6,0.0,9.9,16.3,29,16,0.5,0.538,0.325,0.863
P0031,Team_C,Forward,63,16.9,5.0,3.2,26.0,34,5,11.74,0.514,0.286,0.724
P0032,Team_E,Guard,11,9.4,6.5,3.8,35.7,32,1,1.8,0.614,0.324,0.95
P0033,Team_K,Forward,75,15.8,0.0,7.1,24.6,23,1,4.69,0.528,0.345,0.842
P0034,Team_C,Striker,78,25.8,7.8,1.8,24.2,27,15,5.25,0.395,0.265,0.857
P0035,Team_J,Midfielder,76,12.2,1.6,8.6,5.0,23,14,2.91,0.384,0.337,0.753
P0036,Team_J,Midfielder,55,2.0,4.2,9.9,27.9,27,0,1.74,0.447,0.41,0.721
P0037,Team_D,Defender,67,22.5,5.5,2.5,32.0,20,10,3.26,0.42,0.42,0.804
P0038,Team_B,Striker,15,8.8,0.6,13.7,15.7,35,6,1.37,0.403,0.423,0.715
P0039,Team_K,Defender,13,18.6,1.7,0.0,27.5,26,1,1.85,0.498,0.36,0.697
P0040,Team_A,Defender,59,17.4,5.6,8.5,15.2,20,13,3.09,0.561,0.318,0.854
P0041,Team_L,Striker,37,11.7,0.6,0.6,22.0,23,5,0.5,0.491,0.359,0.568
P0042,Team_H,Forward,76,0.0,7.9,6.0,12.5,28,7,4.56,0.349,0.376,0.72
P0043,Team_A,Striker,73,7.9,8.0,5.4,35.4,20,11,5.93,0.367,0.5,0.692
P0044,Team_F,Center,43,15.5,3.1,0.7,29.9,28,16,3.7,0.585,0.299,0.674
P0045,Team_I,Midfielder,25,4.9,4.4,3.0,12.6,32,2,1.75,0.443,0.304,0.762
P0046,Team_I,Defender,27,9.6,0.4,10.3,24.3,20,4,0.5,0.3,0.264,0.76
P0047,Team_A,Midfielder,74,33.3,0.0,8.3,14.5,37,15,0.5,0.417,0.353,0.687
P0048,Team_E,Guard,63,18.6,8.2,4.3,28.6,33,13,9.44,0.443,0.327,0.526
P0049,Team_H,Striker,46,17.7,1.0,4.5,19.5,32,11,11.92,0.54,0.236,0.778
P0050,Team_D,Defender,71,10.1,9.9,12.9,8.2,37,6,2.13,0.482,0.386,0.81
P0051,Team_L,Forward,19,16.9,3.4,10.3,33.8,24,4,0.83,0.43,0.381,0.659
P0052,Team_E,Striker,44,1.2,3.5,2.4,29.8,25,7,0.84,0.443,0.29,0.775
P0053,Team_B,Defender,64,16.2,2.2,4.2,5.0,35,4,0.56,0.331,0.354,0.793
P0054,Team_K,Defender,33,13.8,2.6,4.9,19.5,30,5,1.81,0.611,0.245,0.679
P0055,Team_G,Striker,68,28.0,8.8,8.6,39.5,23,6,2.21,0.422,0.357,0.793
P0056,Team_F,Defender,67,13.1,0.1,7.9,41.2,36,6,11.12,0.432,0.337,0.911
P0057,Team_H,Forward,55,6.6,2.8,14.5,19.4,37,5,0.5,0.443,0.331,0.883
P0058,Team_E,Guard,24,15.2,2.8,6.6,9.2,21,14,2.29,0.357,0.343,0.749
P0059,Team_E,Center,63,8.9,3.1,7.4,40.9,20,2,0.5,0.348,0.423,0.742
P0060,Team_F,Striker,69,21.6,3.9,8.1,29.1,33,15,2.12,0.464,0.374,0.689
P0061,Team_C,Center,58,5.0,0.0,8.6,21.9,32,1,2.17,0.392,0.373,0.655
P0062,Team_I,Defender,73,29.9,4.1,12.1,10.0,26,15,1.69,0.49,0.299,0.638
P0063,Team_G,Forward,26,0.0,1.1,6.8,31.9,28,6,0.5,0.417,0.389,0.731
P0064,Team_D,Midfielder,15,12.6,2.9,9.2,27.2,34,9,1.19,0.384,0.43,0.712
P0065,Team_B,Midfielder,38,14.5,6.8,7.5,22.9,27,15,1.02,0.43,0.338,0.648
P0066,Team_K,Striker,77,0.0,4.1,5.0,22.0,23,15,1.29,0.571,0.278,0.74
P0067,Team_L,Midfielder,33,14.6,0.0,8.0,38.4,23,13,1.83,0.358,0.5,0.848
P0068,Team_D,Defender,66,19.1,0.0,5.4,24.5,32,16,0.7,0.389,0.281,0.95
P0069,Team_C,Midfielder,28,5.8,7.1,7.1,21.7,22,14,3.09,0.448,0.343,0.735
P0070,Team_J,Midfielder,43,19.9,6.6,5.3,22.7,35,6,1.15,0.558,0.291,0.821
P0071,Team_I,Guard,30,9.0,3.8,8.1,21.4,36,16,2.22,0.394,0.451,0.825
P0072,Team_H,Midfielder,13,23.0,5.8,0.8,33.3,27,13,3.14,0.381,0.303,0.863
P0073,Team_L,Striker,57,6.4,0.5,9.7,20.2,29,13,1.23,0.494,0.424,0.663
P0074,Team_L,Center,47,9.9,4.3,5.7,18.5,35,2,0.79,0.441,0.394,0.717
P0075,Team_B,Guard,64,16.7,3.5,8.0,15.4,22,3,1.76,0.402,0.242,0.746
P0076,Team_L,Striker,73,28.7,5.2,5.8,40.4,33,14,1.29,0.366,0.295,0.749
P0077,Team_B,Guard,23,18.3,0.5,0.8,39.4,35,11,22.04,0.367,0.343,0.662
P0078,Team_L,Guard,27,24.1,7.2,6.8,5.0,34,2,4.13,0.317,0.433,0.797
P0079,Team_G,Center,63,27.1,3.4,3.5,26.6,22,10,0.5,0.333,0.379,0.784
P0080,Team_K,Midfielder,28,16.5,4.4,8.7,20.5,31,11,3.34,0.476,0.426,0.836
P0081,Team_E,Midfielder,33,12.4,3.7,4.0,36.7,37,9,0.5,0.391,0.234,0.75
P0082,Team_B,Midfielder,44,7.2,3.7,5.3,34.4,21,10,11.16,0.364,0.329,0.81
P0083,Team_A,Midfielder,15,21.4,3.4,4.5,34.2,29,0,1.54,0.563,0.369,0.713
P0084,Team_G,Guard,20,13.2,5.6,0.6,21.6,24,8,1.67,0.468,0.41,0.822
P0085,Team_D,Midfielder,33,11.4,1.7,1.7,16.7,22,17,0.5,0.512,0.347,0.5
P0086,Team_J,Striker,57,17.5,7.7,9.7,24.2,22,15,5.57,0.342,0.458,0.672
P0087,Team_D,Defender,78,21.6,0.4,9.0,28.2,37,0,9.53,0.558,0.296,0.72
P0088,Team_J,Forward,62,15.1,4.0,4.9,23.4,23,1,6.4,0.514,0.303,0.841
P0089,Team_A,Striker,79,1.7,4.5,4.0,37.6,24,10,0.5,0.497,0.419,0.665
P0090,Team_L,Guard,13,0.0,2.9,0.0,17.0,33,4,9.27,0.457,0.378,0.748
P0091,Team_G,Striker,48,4.8,5.0,12.1,34.6,28,4,3.28,0.49,0.399,0.824
P0092,Team_H,Midfielder,37,23.7,9.5,17.0,21.1,25,0,3.0,0.607,0.3,0.547
P0093,Team_A,Forward,71,13.1,6.3,5.3,24.6,36,4,8.26,0.5,0.368,0.8
P0094,Team_F,Forward,35,0.0,6.1,5.2,5.0,32,4,3.2,0.514,0.384,0.753
P0095,Team_H,Midfielder,79,14.9,3.3,9.9,25.7,30,1,1.61,0.3,0.388,0.816
P0096,Team_G,Striker,31,6.6,4.8,2.8,16.8,23,15,0.61,0.384,0.396,0.66
P0097,Team_D,Guard,30,22.8,10.8,6.4,44.9,31,12,0.72,0.47,0.299,0.828
P0098,Team_C,Defender,21,12.4,3.2,9.2,15.3,22,12,0.91,0.527,0.35,0.848
P0099,Team_D,Center,76,6.5,4.3,5.6,15.0,28,5,1.77,0.485,0.219,0.764
P0100,Team_F,Defender,25,17.3,10.3,0.0,14.6,24,13,0.5,0.454,0.289,0.512
P0101,Team_K,Forward,61,22.5,10.7,7.1,24.4,25,8,0.62,0.4,0.366,0.688
P0102,Team_G,Guard,43,5.7,4.6,0.0,24.8,36,0,1.62,0.472,0.426,0.819
P0103,Team_L,Guard,10,22.1,5.7,9.5,23.3,34,15,7.39,0.502,0.3,0.893
P0104,Team_A,Forward,21,5.4,15.0,15.5,5.0,35,7,4.92,0.394,0.37,0.781
P0105,Team_B,Midfielder,71,22.0,8.0,8.5,7.6,27,11,6.22,0.494,0.317,0.686
P0106,Team_I,Forward,43,0.0,1.7,6.4,23.1,35,2,1.56,0.43,0.268,0.593
P0107,Team_H,Guard,70,15.7,6.5,1.3,19.7,25,16,1.44,0.518,0.412,0.858
P0108,Team_I,Defender,64,33.1,2.4,12.1,38.5,27,10,0.94,0.392,0.338,0.656
P0109,Team_D,Striker,29,4.6,0.6,2.3,5.9,26,17,0.5,0.406,0.21,0.748
P0110,Team_I,Center,29,21.8,0.6,0.0,29.7,28,16,0.5,0.484,0.381,0.608
P0111,Team_A,Center,11,9.5,0.5,0.0,7.4,30,12,0.5,0.313,0.475,0.9
P0112,Team_F,Guard,76,8.1,3.0,7.0,31.2,33,0,1.38,0.389,0.23,0.771
P0113,Team_F,Midfielder,58,14.6,0.0,8.5,23.5,29,8,0.6,0.375,0.298,0.826
P0114,Team_J,Defender,62,3.5,4.5,2.1,23.9,35,12,0.58,0.492,0.252,0.896
P0115,Team_L,Center,12,24.0,2.3,4.6,37.0,22,16,2.85,0.417,0.281,0.787
P0116,Team_K,Center,27,6.6,6.3,3.8,28.3,32,3,3.91,0.503,0.343,0.92
P0117,Team_C,Defender,46,10.7,3.4,5.6,27.6,27,7,1.72,0.477,0.371,0.774
P0118,Team_G,Striker,40,7.6,11.9,12.6,13.6,30,14,0.5,0.441,0.382,0.8
P0119,Team_C,Center,40,19.2,5.1,9.5,20.4,36,14,0.5,0.532,0.364,0.896
P0120,Team_I,Guard,78,12.8,6.1,4.7,26.6,37,10,6.36,0.392,0.395,0.644
P0121,Team_C,Midfielder,78,19.0,5.2,0.4,20.7,31,12,0.5,0.324,0.389,0.564
P0122,Team_K,Center,29,5.8,0.0,9.2,19.9,33,6,7.72,0.393,0.354,0.709
P0123,Team_F,Midfielder,60,29.6,6.2,0.0,8.5,30,9,1.99,0.442,0.316,0.618
P0124,Team_K,Midfielder,36,21.3,4.8,4.1,24.3,22,7,0.5,0.509,0.283,0.926
P0125,Team_B,Striker,66,8.8,7.4,1.2,10.6,31,0,2.45,0.473,0.449,0.668
P0126,Team_J,Guard,45,2.8,3.8,11.2,33.2,30,2,0.92,0.346,0.397,0.852
P0127,Team_E,Midfielder,42,14.7,4.3,14.0,36.7,34,11,2.56,0.65,0.304,0.95
P0128,Team_C,Defender,37,1.4,7.6,2.5,19.3,33,1,2.38,0.65,0.274,0.892
P0129,Team_G,Striker,64,22.0,0.7,6.3,16.6,20,7,10.5,0.519,0.323,0.686
P0130,Team_F,Forward,49,10.2,8.5,2.1,33.4,30,12,1.84,0.504,0.286,0.514
P0131,Team_I,Midfielder,77,10.9,3.9,8.7,32.5,28,14,4.06,0.625,0.279,0.848
P0132,Team_B,Defender,59,24.3,1.0,5.9,33.7,24,7,0.61,0.3,0.303,0.589
P0133,Team_G,Guard,11,6.4,0.0,3.1,16.2,34,7,0.7,0.514,0.402,0.802
P0134,Team_G,Striker,18,28.2,7.8,0.0,14.1,33,10,0.7,0.425,0.296,0.719
P0135,Team_A,Midfielder,46,16.2,2.8,3.3,9.5,34,4,1.85,0.476,0.319,0.916
P0136,Team_F,Center,63,0.0,6.3,10.4,15.3,24,7,11.85,0.424,0.344,0.795
P0137,Team_E,Guard,25,2.1,4.1,0.0,11.0,35,15,0.5,0.341,0.321,0.5
P0138,Team_A,Guard,27,0.0,2.8,5.0,25.3,25,0,3.35,0.514,0.306,0.691
P0139,Team_L,Guard,59,0.0,3.9,4.4,19.0,20,8,0.5,0.437,0.44,0.642
P0140,Team_H,Striker,59,3.0,8.1,3.8,25.1,29,13,2.98,0.455,0.441,0.769
P0141,Team_G,Forward,14,7.3,6.2,8.2,27.9,28,6,2.77,0.555,0.438,0.644
P0142,Team_B,Midfielder,68,0.0,2.3,8.7,41.1,34,13,2.2,0.419,0.415,0.775
P0143,Team_L,Center,43,8.1,3.3,11.9,33.9,33,15,2.59,0.417,0.326,0.801
