player_id,team,position,games_played,points_per_game,assists_per_game,rebounds_per_game,minutes_per_game,age,experience_years,salary_millions,field_goal_pct,three_point_pct,free_throw_pct
P0001,Team_C,Midfielder,65,21.5,2.8,7.3,42.3,24,16,2.99,0.499,0.31,0.567
P0002,Team_L,Striker,61,23.9,5.7,1.1,34.9,33,17,2.17,0.488,0.395,0.817
P0003,Team_C,Defender,75,13.3,1.8,3.7,38.3,32,14,1.73,0.406,0.301,0.671
P0004,Team_D,Forward,79,20.8,3.4,9.3,26.7,37,9,0.5,0.411,0.411,0.757
P0005,Team_K,Midfielder,65,20.3,2.0,1.9,24.5,28,15,2.7,0.485,0.34,0.587
P0006,Team_G,Forward,50,12.8,3.4,7.0,28.8,32,3,1.29,0.527,0.377,0.703
P0007,Team_H,Defender,48,0.0,0.0,6.8,8.6,22,7,9.25,0.606,0.379,0.857
P0008,Team_A,Striker,19,24.4,6.1,6.1,29.3,31,15,1.32,0.497,0.254,0.698
P0009,Team_L,Midfielder,27,11.0,0.0,0.1,26.7,37,14,2.78,0.386,0.326,0.769
P0010,Team_I,Defender,51,13.1,5.5,0.0,8.7,29,17,4.41,0.366,0.356,0.587
P0011,Team_A,Defender,66,5.2,1.8,11.8,18.6,36,0,2.08,0.494,0.277,0.512
P0012,Team_D,Striker,38,5.4,4.6,3.4,30.1,23,9,4.49,0.364,0.371,0.685
P0013,Team_E,Midfielder,65,1.3,2.7,12.1,29.6,32,4,0.59,0.516,0.398,0.769
P0014,Team_A,Defender,30,7.8,0.0,9.8,24.2,29,12,10.1,0.422,0.33,0.641
P0015,Team_E,Defender,34,0.0,6.6,3.5,31.7,35,10,1.61,0.357,0.324,0.752
P0016,Team_B,Guard,77,24.2,5.9,5.3,10.9,33,13,1.47,0.381,0.36,0.635
P0017,Team_J,Defender,12,11.0,0.0,6.4,22.8,23,8,2.72,0.3,0.317,0.623
P0018,Team_I,Forward,42,15.6,5.5,6.8,17.5,35,17,0.77,0.499,0.284,0.769
P0019,Team_B,Guard,33,5.7,5.9,8.1,29.0,24,16,0.5,0.3,0.28,0.834
P0020,Team_D,Guard,38,6.5,4.6,9.3,25.1,24,4,1.98,0.447,0.28,0.767
P0021,Team_B,Striker,12,24.7,8.4,7.2,21.8,23,9,0.5,0.372,0.283,0.664
P0022,Team_L,Striker,61,11.0,4.0,0.0,21.2,23,15,2.45,0.524,0.281,0.699
P0023,Team_B,Center,39,15.7,8.6,10.4,35.2,29,15,2.84,0.546,0.457,0.751
P0024,Team_A,Midfielder,70,12.5,2.5,0.0,25.6,34,6,3.29,0.568,0.306,0.711
P0025,Team_E,Center,14,22.2,3.9,3.1,18.9,27,11,1.12,0.329,0.372,0.629
P0026,Team_I,Defender,55,21.1,7.3,7.4,17.1,35,15,0.53,0.546,0.363,0.673
P0027,Team_E,Center,20,9.7,3.5,10.6,14.6,32,8,9.15,0.386,0.445,0.67
P0028,Team_D,Defender,50,6.7,5.2,7.1,19.2,29,5,0.5,0.357,0.294,0.82
P0029,Team_H,Guard,46,27.8,5.4,10.7,24.8,32,14,1.58,0.461,0.307,0.655
P0030,Team_I,Defender,50,7.3,6.3,5.0,25.8,32,12,4.84,0.529,0.397,0.76
P0031,Team_C,Forward,51,10.9,6.6,5.6,7.1,36,15,6.8,0.547,0.36,0.792
P0032,Team_E,Guard,63,7.6,2.1,5.0,34.2,24,7,1.39,0.451,0.428,0.645
P0033,Team_B,Forward,29,0.0,7.3,16.5,25.7,21,9,0.5,0.39,0.409,0.824
P0034,Team_A,Center,61,20.1,4.3,1.2,41.0,35,0,1.35,0.437,0.286,0.81
P0035,Team_E,Guard,49,0.0,0.1,5.5,17.4,34,12,3.26,0.369,0.347,0.911
P0036,Team_H,Guard,22,17.6,6.8,7.5,37.7,27,1,8.42,0.555,0.375,0.765
P0037,Team_L,Defender,81,13.3,0.0,7.5,30.4,37,16,3.46,0.3,0.288,0.869
P0038,Team_D,Striker,48,18.8,6.7,9.1,29.8,24,7,0.8,0.538,0.363,0.711
P0039,Team_K,Defender,62,8.3,1.4,10.7,21.5,23,15,7.5,0.423,0.394,0.691
P0040,Team_B,Center,18,2.8,0.0,15.4,20.6,36,1,1.05,0.548,0.456,0.864
P0041,Team_I,Guard,62,18.9,8.5,6.7,14.7,28,0,3.21,0.387,0.36,0.5
P0042,Team_E,Striker,55,14.2,5.2,0.9,5.0,30,4,1.41,0.508,0.382,0.606
P0043,Team_A,Defender,48,8.0,0.6,3.3,37.2,33,15,4.78,0.481,0.329,0.5
P0044,Team_F,Midfielder,62,0.5,1.6,8.0,20.6,33,13,5.06,0.586,0.411,0.744
P0045,Team_D,Forward,49,9.1,0.2,3.2,38.9,27,3,2.13,0.451,0.375,0.841
P0046,Team_D,Forward,14,2.5,1.6,2.6,25.7,35,7,6.46,0.563,0.316,0.673
P0047,Team_I,Striker,30,19.1,8.2,4.2,16.9,37,13,3.94,0.406,0.293,0.842
P0048,Team_E,Striker,58,9.2,4.7,5.1,16.3,31,13,3.27,0.461,0.307,0.805
P0049,Team_I,Guard,28,15.4,3.5,3.2,27.2,30,9,0.55,0.3,0.24,0.735
P0050,Team_F,Center,49,17.5,6.7,4.9,22.6,22,9,2.88,0.336,0.407,0.866
P0051,Team_I,Guard,46,2.4,2.7,11.8,17.8,20,14,10.09,0.357,0.335,0.865
P0052,Team_L,Forward,71,4.6,2.3,3.8,40.7,33,6,1.88,0.541,0.334,0.825
P0053,Team_H,Striker,33,0.8,1.0,2.6,32.0,31,13,0.5,0.516,0.306,0.831
