player_id,team,position,games_played,points_per_game,assists_per_game,rebounds_per_game,minutes_per_game,age,experience_years,salary_millions,field_goal_pct,three_point_pct,free_throw_pct
P0001,Team_F,Forward,69,13.7,3.4,6.1,38.4,26,17,3.01,0.502,0.354,0.844
P0002,Team_I,Midfielder,31,8.1,6.7,9.0,38.8,33,15,3.23,0.542,0.324,0.831
P0003,Team_L,Forward,24,29.3,1.2,9.1,29.3,29,0,3.38,0.35,0.339,0.839
P0004,Team_F,Guard,76,23.6,0.0,3.2,16.1,21,1,1.44,0.496,0.389,0.722
P0005,Team_D,Defender,22,0.0,3.4,4.7,24.2,24,12,0.5,0.394,0.367,0.686
P0006,Team_K,Guard,15,16.0,0.0,2.0,18.0,25,9,3.19,0.449,0.389,0.805
P0007,Team_C,Center,16,11.3,0.0,7.9,22.4,22,3,6.7,0.476,0.352,0.655
P0008,Team_E,Forward,20,10.7,9.5,6.4,12.9,36,14,0.86,0.421,0.384,0.633
P0009,Team_C,Center,19,31.3,8.6,7.7,12.6,21,17,1.24,0.471,0.312,0.742
P0010,Team_L,Center,29,7.1,2.8,5.2,15.7,21,17,2.16,0.327,0.305,0.785
P0011,Team_A,Defender,59,17.4,5.0,8.5,31.0,37,13,2.42,0.353,0.356,0.571
P0012,Team_H,Striker,68,8.1,2.4,7.1,19.3,20,14,1.52,0.387,0.268,0.757
P0013,Team_G,Midfielder,52,9.6,2.5,0.5,32.2,29,17,0.5,0.508,0.337,0.764
P0014,Team_C,Center,52,37.1,6.8,11.4,29.0,34,2,3.82,0.499,0.411,0.685
P0015,Team_K,Center,17,0.0,0.0,9.5,23.3,34,13,2.84,0.385,0.398,0.783
P0016,Team_C,Forward,43,27.9,3.8,7.0,38.1,29,17,1.18,0.645,0.367,0.796
P0017,Team_C,Guard,78,11.9,6.0,5.7,9.7,37,0,4.34,0.505,0.251,0.821
P0018,Team_H,Forward,19,13.1,3.4,2.3,33.3,20,1,5.17,0.517,0.397,0.776
P0019,Team_C,Center,50,20.3,0.0,1.4,29.0,33,11,3.22,0.427,0.321,0.72
P0020,Team_B,Defender,50,0.0,6.1,3.8,16.7,37,0,5.07,0.496,0.319,0.648
P0021,Team_I,Center,59,15.5,0.0,6.7,21.6,21,4,0.71,0.352,0.352,0.708
P0022,Team_B,Midfielder,31,30.3,6.3,3.9,29.9,31,0,2.2,0.476,0.337,0.907
P0023,Team_G,Center,33,15.5,3.8,6.6,40.0,30,0,4.31,0.594,0.34,0.855
P0024,Team_K,Guard,38,0.0,12.2,9.3,25.6,34,4,1.52,0.445,0.433,0.721
P0025,Team_J,Forward,22,17.4,1.6,9.9,31.9,27,6,1.22,0.42,0.383,0.812
