player_id,team,position,games_played,points_per_game,assists_per_game,rebounds_per_game,minutes_per_game,age,experience_years,salary_millions,field_goal_pct,three_point_pct,free_throw_pct
P0001,Team_G,Forward,74,13.4,4.8,3.8,29.8,23,4,3.43,0.582,0.32,0.508
P0002,Team_H,Defender,16,2.4,7.2,10.2,24.0,32,16,0.5,0.338,0.345,0.614
P0003,Team_E,Center,73,20.9,1.4,8.7,21.5,33,2,1.01,0.399,0.288,0.903
P0004,Team_L,Guard,62,4.6,8.9,6.3,29.5,36,16,3.02,0.33,0.406,0.55
P0005,Team_G,Center,35,15.4,1.6,7.3,35.8,28,17,2.59,0.426,0.397,0.817
P0006,Team_H,Guard,27,7.6,3.8,6.8,11.7,22,17,5.89,0.464,0.396,0.844
P0007,Team_E,Defender,66,12.2,4.1,5.4,22.0,22,15,2.91,0.48,0.318,0.809
P0008,Team_K,Forward,72,9.4,7.6,1.2,32.5,30,13,1.82,0.565,0.405,0.641
P0009,Team_F,Striker,13,8.2,6.8,9.6,24.3,25,4,3.67,0.343,0.411,0.718
P0010,Team_G,Forward,70,4.6,3.6,2.2,30.9,32,12,2.12,0.523,0.35,0.775
P0011,Team_G,Guard,24,13.8,4.6,0.0,25.8,32,2,0.84,0.388,0.302,0.76
P0012,Team_C,Forward,33,13.3,5.7,9.7,22.4,23,15,2.78,0.614,0.367,0.629
P0013,Team_A,Defender,24,17.0,0.4,6.9,13.9,27,10,3.48,0.51,0.397,0.564
P0014,Team_J,Striker,28,15.2,4.4,2.8,10.3,36,10,0.5,0.342,0.385,0.729
P0015,Team_C,Forward,77,10.1,6.1,5.5,13.5,24,3,1.14,0.496,0.37,0.897
P0016,Team_B,Guard,44,1.6,5.8,1.4,29.7,36,16,0.5,0.387,0.374,0.873
P0017,Team_B,Defender,33,24.1,6.3,6.5,19.5,36,4,4.82,0.511,0.431,0.842
P0018,Team_J,Forward,64,3.9,0.7,8.2,26.3,31,12,0.66,0.444,0.393,0.758
P0019,Team_H,Center,61,5.4,6.6,11.6,23.4,20,10,7.2,0.45,0.334,0.831
P0020,Team_L,Guard,16,16.5,1.9,1.5,21.1,27,12,0.5,0.325,0.315,0.654
P0021,Team_F,Striker,63,0.2,0.0,6.2,22.2,27,2,3.76,0.564,0.488,0.687
P0022,Team_E,Midfielder,54,11.1,6.1,0.0,22.3,34,17,6.21,0.318,0.5,0.624
P0023,Team_I,Center,68,6.7,2.6,1.3,29.0,27,12,12.05,0.475,0.355,0.95
P0024,Team_E,Midfielder,30,8.8,0.4,1.9,35.4,34,6,2.38,0.502,0.338,0.747
P0025,Team_K,Midfielder,27,2.9,3.9,8.8,24.3,28,5,2.92,0.338,0.5,0.734
P0026,Team_J,Center,80,7.9,5.4,12.9,25.7,32,1,0.54,0.572,0.331,0.572
P0027,Team_D,Midfielder,77,32.1,4.2,9.9,18.8,36,11,2.09,0.471,0.356,0.825
P0028,Team_I,Midfielder,37,23.1,5.9,4.4,25.5,20,11,2.01,0.527,0.431,0.672
P0029,Team_J,Midfielder,32,13.6,6.8,3.2,44.8,25,6,4.77,0.54,0.329,0.785
P0030,Team_G,Guard,61,11.8,7.2,10.0,13.3,30,1,1.71,0.39,0.278,0.718
P0031,Team_H,Striker,42,0.0,1.4,2.0,5.5,24,3,1.46,0.429,0.323,0.807
P0032,Team_B,Forward,16,4.5,1.8,5.3,31.3,25,1,1.1,0.452,0.293,0.737
P0033,Team_L,Midfielder,55,15.3,5.7,9.2,8.0,20,2,0.5,0.449,0.385,0.852
P0034,Team_F,Defender,42,8.0,3.4,2.7,36.9,34,9,0.87,0.469,0.309,0.872
P0035,Team_D,Center,72,7.2,1.6,6.0,35.1,35,10,0.64,0.365,0.368,0.794
P0036,Team_G,Center,21,1.9,7.8,5.3,18.5,33,16,2.04,0.434,0.242,0.878
P0037,Team_E,Defender,27,8.8,3.9,1.2,22.4,33,17,1.61,0.427,0.366,0.617
P0038,Team_B,Defender,38,4.0,2.9,3.9,5.0,35,15,2.17,0.451,0.25,0.848
P0039,Team_D,Guard,66,7.7,1.9,1.3,21.1,35,7,5.44,0.505,0.324,0.78
P0040,Team_B,Defender,50,9.0,7.1,3.0,32.0,24,6,0.54,0.582,0.447,0.889
P0041,Team_K,Striker,13,13.9,4.4,0.0,37.7,21,8,0.86,0.451,0.367,0.684
P0042,Team_I,Midfielder,23,19.7,2.8,1.4,13.2,20,14,3.68,0.471,0.344,0.719
P0043,Team_D,Forward,78,12.5,2.8,0.0,40.6,32,13,2.32,0.46,0.353,0.556
P0044,Team_F,Guard,79,21.4,3.5,8.5,13.7,33,15,0.77,0.583,0.394,0.836
P0045,Team_E,Center,17,12.0,5.9,9.9,39.1,33,0,1.1,0.428,0.385,0.787
P0046,Team_H,Defender,75,8.6,7.2,4.8,10.3,28,11,1.79,0.564,0.307,0.773
P0047,Team_B,Guard,62,0.0,5.3,2.3,30.0,20,7,4.99,0.461,0.328,0.877
P0048,Team_B,Defender,79,13.4,6.3,2.7,45.0,22,10,2.5,0.516,0.29,0.839
P0049,Team_L,Midfielder,62,11.0,5.7,0.8,18.0,21,7,3.64,0.368,0.255,0.66
P0050,Team_H,Defender,76,16.2,7.1,4.4,15.9,23,14,1.34,0.521,0.415,0.798
P0051,Team_I,Striker,79,11.6,0.0,4.1,39.8,24,3,4.77,0.377,0.282,0.874
P0052,Team_E,Defender,53,0.4,2.8,3.0,26.1,25,17,0.5,0.314,0.407,0.71
P0053,Team_K,Guard,41,19.0,6.0,1.3,18.1,29,0,1.0,0.512,0.348,0.926
P0054,Team_D,Striker,79,2.4,8.7,2.6,20.4,29,9,4.5,0.49,0.403,0.698
P0055,Team_L,Striker,33,16.0,0.9,4.3,15.0,24,13,4.25,0.433,0.341,0.677
P0056,Team_B,Striker,39,27.5,3.9,8.4,16.3,37,5,3.01,0.42,0.344,0.679
P0057,Team_A,Guard,68,9.8,3.7,1.1,27.7,22,15,3.41,0.474,0.295,0.615
P0058,Team_J,Striker,46,11.6,6.7,0.0,37.8,36,11,1.25,0.499,0.318,0.6
P0059,Team_C,Defender,68,2.4,0.2,4.5,11.3,21,3,3.39,0.424,0.349,0.785
P0060,Team_F,Forward,73,5.9,3.3,2.2,27.4,28,0,0.6,0.417,0.256,0.754
P0061,Team_A,Center,31,8.0,3.8,2.5,33.8,35,2,2.61,0.576,0.356,0.605
P0062,Team_A,Forward,12,21.9,3.1,0.6,28.2,23,13,5.4,0.454,0.266,0.805
P0063,Team_E,Defender,44,14.2,3.5,14.0,30.6,28,4,0.51,0.416,0.417,0.815
P0064,Team_C,Guard,80,1.6,2.1,11.0,29.3,36,2,0.5,0.355,0.349,0.606
P0065,Team_E,Striker,25,12.8,0.9,1.3,16.2,24,13,5.15,0.405,0.29,0.708
P0066,Team_L,Guard,67,1.9,9.6,8.8,24.6,30,11,1.0,0.425,0.373,0.63
P0067,Team_G,Forward,72,4.0,5.3,12.4,34.4,36,7,0.5,0.64,0.376,0.711
P0068,Team_E,Defender,77,0.0,5.5,3.1,6.8,24,8,0.57,0.379,0.383,0.856
P0069,Team_C,Guard,65,6.6,3.9,0.8,36.3,26,1,1.64,0.393,0.403,0.722
P0070,Team_D,Center,25,16.0,5.5,0.6,23.6,31,11,1.29,0.543,0.33,0.664
P0071,Team_H,Midfielder,74,3.6,6.5,5.9,25.2,34,17,6.61,0.612,0.324,0.725
P0072,Team_J,Center,26,9.9,1.2,5.4,22.1,23,16,3.55,0.348,0.287,0.783
P0073,Team_K,Midfielder,16,9.2,1.7,3.2,18.0,20,2,5.24,0.535,0.477,0.729
P0074,Team_J,Guard,77,11.4,6.1,12.2,13.5,28,14,1.87,0.374,0.233,0.841
P0075,Team_I,Forward,40,20.6,8.1,7.1,14.5,23,11,2.81,0.403,0.223,0.765
P0076,Team_H,Striker,12,10.6,12.9,3.9,27.2,26,16,1.74,0.543,0.444,0.613
P0077,Team_A,Defender,15,2.8,1.1,8.1,8.6,22,11,1.35,0.446,0.473,0.829
P0078,Team_H,Striker,61,0.0,2.8,5.8,31.9,20,6,1.79,0.532,0.301,0.669
P0079,Team_K,Forward,60,29.4,4.0,8.4,9.3,27,13,2.65,0.514,0.275,0.752
P0080,Team_K,Defender,73,6.6,7.4,4.8,26.5,28,14,15.34,0.415,0.306,0.867
P0081,Team_J,Center,57,23.0,3.6,4.7,27.9,27,17,7.07,0.511,0.328,0.593
P0082,Team_K,Striker,17,5.5,4.4,9.5,18.8,31,17,1.78,0.449,0.301,0.819
P0083,Team_D,Forward,20,12.1,1.3,8.0,23.9,34,2,9.52,0.532,0.395,0.661
P0084,Team_D,Striker,40,15.7,3.2,8.3,19.1,30,10,11.43,0.473,0.33,0.628
P0085,Team_K,Center,64,12.1,2.3,9.6,5.0,35,12,1.33,0.466,0.489,0.795
P0086,Team_L,Guard,27,17.5,2.8,9.8,13.8,37,4,1.04,0.3,0.292,0.95
P0087,Team_B,Forward,50,6.9,8.1,5.3,24.7,31,17,0.92,0.487,0.307,0.75
P0088,Team_J,Forward,11,11.9,7.6,7.5,23.7,26,3,3.14,0.562,0.33,0.868
P0089,Team_L,Guard,75,12.9,0.0,13.9,39.3,34,14,1.81,0.553,0.404,0.738
