player_id,team,position,games_played,points_per_game,assists_per_game,rebounds_per_game,minutes_per_game,age,experience_years,salary_millions,field_goal_pct,three_point_pct,free_throw_pct
P0001,Team_B,Defender,23,14.1,2.4,7.1,27.7,37,6,0.5,0.446,0.429,0.718
P0002,Team_B,Striker,22,12.8,3.8,10.1,29.8,20,5,2.08,0.488,0.446,0.777
P0003,Team_F,Defender,59,14.9,6.6,7.7,48.0,21,2,3.6,0.525,0.276,0.824
P0004,Team_K,Guard,38,6.1,7.4,6.0,30.9,37,17,1.26,0.465,0.399,0.895
P0005,Team_K,Striker,28,1.3,2.4,0.1,29.2,27,12,3.17,0.493,0.25,0.875
P0006,Team_J,Forward,49,12.9,10.1,10.8,29.3,25,9,5.03,0.541,0.382,0.898
P0007,Team_F,Midfielder,25,18.3,1.1,8.8,8.1,25,6,7.42,0.491,0.243,0.679
P0008,Team_L,Guard,43,10.8,2.5,0.0,33.1,20,2,1.94,0.337,0.293,0.754
P0009,Team_H,Defender,16,5.7,4.4,12.4,13.7,22,3,7.45,0.485,0.266,0.828
P0010,Team_G,Center,75,4.0,7.7,7.9,10.7,26,14,6.77,0.468,0.244,0.662
P0011,Team_J,Defender,42,24.4,5.6,2.7,21.2,28,9,6.78,0.563,0.392,0.852
P0012,Team_J,Guard,40,12.9,4.9,2.6,37.8,23,10,1.19,0.434,0.328,0.714
P0013,Team_G,Defender,54,11.9,1.9,2.5,26.5,34,3,7.06,0.49,0.272,0.889
P0014,Team_C,Guard,26,26.2,4.1,2.5,13.6,28,13,1.17,0.384,0.362,0.668
P0015,Team_D,Midfielder,65,10.4,2.0,3.4,31.7,28,3,2.75,0.616,0.355,0.739
P0016,Team_D,Midfielder,20,7.8,4.6,4.1,8.7,27,13,6.86,0.604,0.371,0.758
P0017,Team_D,Defender,10,14.2,2.7,8.4,28.6,30,4,1.17,0.64,0.256,0.803
P0018,Team_E,Center,57,0.0,4.0,7.7,35.2,31,1,8.92,0.397,0.276,0.686
P0019,Team_A,Center,52,25.3,0.0,2.4,43.2,25,15,4.45,0.461,0.455,0.715
P0020,Team_C,Center,70,9.4,3.8,0.6,34.3,24,7,0.5,0.532,0.414,0.794
P0021,Team_F,Midfielder,10,9.7,5.6,0.0,16.4,37,14,0.5,0.397,0.319,0.773
P0022,Team_D,Striker,25,10.9,4.2,3.7,22.4,33,1,2.84,0.485,0.349,0.95
P0023,Team_B,Guard,76,14.1,1.7,4.8,25.1,35,14,0.5,0.49,0.325,0.708
P0024,Team_J,Midfielder,14,8.7,10.0,12.8,28.8,22,7,1.6,0.444,0.426,0.793
P0025,Team_J,Striker,10,10.3,4.7,0.0,24.8,26,10,0.5,0.3,0.351,0.784
P0026,Team_H,Center,61,26.3,5.7,13.5,28.9,24,8,6.88,0.547,0.423,0.854
P0027,Team_E,Midfielder,12,9.3,4.3,7.6,23.8,36,5,0.5,0.508,0.452,0.643
P0028,Team_G,Forward,71,5.0,3.5,7.7,17.8,37,11,0.75,0.46,0.351,0.892
P0029,Team_J,Center,78,6.1,4.2,5.5,36.6,30,11,1.51,0.375,0.394,0.738
P0030,Team_D,Defender,22,16.8,6.9,7.2,12.8,30,12,2.89,0.412,0.467,0.797
P0031,Team_K,Guard,50,16.2,4.0,5.6,31.1,31,4,1.38,0.3,0.405,0.798
P0032,Team_L,Center,39,9.2,9.9,8.0,15.2,26,14,1.41,0.509,0.372,0.625
