player_id,team,position,games_played,points_per_game,assists_per_game,rebounds_per_game,minutes_per_game,age,experience_years,salary_millions
P0001,Team_I,Striker,29,12.4,4.3,2.8,29.1,37,6,3.19
P0002,Team_J,Defender,78,15.1,5.4,6.2,19.0,25,2,5.88
P0003,Team_D,Center,13,18.1,0.5,4.1,19.1,20,17,10.81
P0004,Team_G,Striker,35,26.6,4.6,9.1,16.9,32,2,1.38
P0005,Team_K,Center,63,25.4,1.3,6.6,33.8,27,5,1.69
P0006,Team_A,Defender,37,15.2,0.1,8.5,16.2,32,2,8.01
P0007,Team_H,Defender,81,2.2,8.4,5.9,36.5,30,9,1.53
P0008,Team_C,Forward,70,14.7,3.4,1.4,30.5,35,9,6.86
P0009,Team_K,Midfielder,53,4.8,5.8,1.2,33.9,23,5,1.01
P0010,Team_I,Center,17,15.2,2.0,7.9,28.1,20,8,3.63
P0011,Team_G,Forward,46,2.7,6.2,6.5,21.7,29,14,10.35
P0012,Team_H,Guard,79,14.5,10.7,8.1,7.2,30,11,1.99
P0013,Team_A,Guard,78,17.9,6.6,12.1,26.2,21,7,6.68
P0014,Team_D,Forward,48,0.0,7.0,9.7,23.4,36,9,1.45
P0015,Team_G,Guard,57,5.0,2.0,2.8,35.5,26,8,0.84
P0016,Team_H,Center,35,24.3,5.7,7.7,30.1,24,4,1.72
P0017,Team_I,Guard,52,17.0,9.1,5.0,29.9,22,0,4.94
P0018,Team_E,Defender,57,8.5,8.7,12.2,26.2,20,4,1.37
P0019,Team_A,Defender,40,18.9,10.8,0.0,40.3,30,4,2.93
P0020,Team_L,Striker,56,0.0,5.2,5.8,31.6,23,3,1.57
P0021,Team_E,Guard,39,21.7,6.0,6.2,30.8,22,3,1.57
P0022,Team_I,Defender,63,7.8,4.6,9.4,21.9,20,17,0.5
P0023,Team_I,Midfielder,37,3.9,5.7,9.7,24.4,28,11,0.89
P0024,Team_A,Striker,59,10.8,2.3,3.8,27.7,25,4,0.5
P0025,Team_J,Forward,46,6.8,3.9,5.7,15.2,27,11,1.0
P0026,Team_G,Center,37,12.9,3.7,3.4,21.5,23,9,3.55
P0027,Team_C,Center,17,18.8,4.4,2.6,14.7,33,1,0.5
P0028,Team_H,Center,47,0.0,6.2,6.1,22.7,21,1,0.98
P0029,Team_G,Striker,45,15.1,4.5,4.2,45.4,35,4,2.91
P0030,Team_D,Center,58,4.4,7.6,9.6,21.0,25,3,1.47
P0031,Team_L,Defender,77,24.5,4.4,6.1,31.6,32,7,1.98
P0032,Team_E,Forward,19,0.5,7.2,11.0,20.2,23,16,4.1
P0033,Team_I,Striker,66,18.0,7.1,3.0,28.4,26,6,3.05
P0034,Team_C,Forward,47,20.1,0.3,0.0,41.1,35,8,2.67
P0035,Team_A,Striker,58,14.9,2.9,5.8,21.5,23,12,0.54
P0036,Team_H,Forward,20,19.1,3.1,9.8,31.1,28,1,0.96
P0037,Team_D,Guard,70,5.1,0.7,6.9,20.4,24,2,4.31
P0038,Team_C,Guard,21,12.5,5.1,1.0,20.3,31,12,4.17
P0039,Team_J,Midfielder,65,3.3,4.2,11.9,27.2,28,9,3.41
P0040,Team_I,Midfielder,46,5.1,8.2,0.0,10.8,21,16,5.32
P0041,Team_F,Defender,80,8.6,4.6,3.5,42.8,20,12,0.5
P0042,Team_G,Forward,15,12.8,0.0,4.5,32.4,24,0,0.79
P0043,Team_L,Striker,41,7.7,5.2,11.4,42.7,27,17,4.83
P0044,Team_L,Forward,11,8.7,9.1,11.7,5.1,25,5,0.67
P0045,Team_J,Midfielder,12,16.2,4.7,10.3,32.0,22,12,6.68
P0046,Team_F,Forward,79,4.1,2.1,9.3,22.3,27,6,7.28
P0047,Team_E,Forward,10,13.0,0.0,1.8,6.0,29,4,0.5
P0048,Team_C,Guard,50,11.0,3.7,2.1,20.2,27,7,6.0
P0049,Team_J,Midfielder,24,16.2,4.9,1.1,22.0,21,16,2.29
P0050,Team_G,Defender,61,12.0,9.6,3.6,29.7,32,8,2.0
P0051,Team_L,Center,17,18.8,1.1,6.8,32.3,21,2,0.55
P0052,Team_C,Midfielder,48,4.8,11.8,6.9,27.6,33,15,0.5
P0053,Team_A,Forward,62,10.6,6.7,10.4,20.0,36,12,4.35
P0054,Team_F,Defender,50,12.2,8.6,2.6,29.3,26,1,1.13
P0055,Team_G,Guard,10,24.2,6.8,0.0,38.8,37,11,0.5
P0056,Team_C,Midfielder,31,13.8,5.7,10.7,36.0,33,2,1.19
P0057,Team_A,Defender,13,24.7,2.0,0.8,27.4,20,10,2.31
P0058,Team_A,Forward,45,13.8,1.8,12.0,15.9,24,2,3.54
P0059,Team_K,Striker,20,16.9,10.0,10.1,36.9,34,11,6.61
P0060,Team_B,Striker,62,13.9,7.3,8.7,26.4,22,4,0.97
P0061,Team_G,Center,36,4.5,5.4,11.8,32.0,22,16,11.29
P0062,Team_K,Guard,32,11.5,2.1,9.1,33.1,31,0,1.2
P0063,Team_K,Center,64,16.0,2.9,1.7,13.9,28,13,4.43
P0064,Team_B,Striker,36,0.0,2.6,9.6,38.4,33,10,10.92
