manager_id,team,seasons_managed,wins,losses,win_pct,previously_played,awards_as_player,manager_of_year,playoffs_made
M0001,Cardinals,12,84,78,0.519,1,0,0,3
M0002,Astros,11,79,83,0.488,1,0,0,3
M0003,Cardinals,4,78,84,0.481,1,1,0,1
M0004,Yankees,22,85,77,0.525,1,0,0,7
M0005,Dodgers,24,78,84,0.481,1,0,0,3
M0006,Yankees,12,69,93,0.426,0,0,0,1
M0007,Braves,7,68,94,0.42,1,0,0,0
M0008,Astros,23,77,85,0.475,0,0,0,1
M0009,Cardinals,15,80,82,0.494,1,0,0,3
M0010,Cubs,10,98,64,0.605,0,0,1,2
M0011,Yankees,18,69,93,0.426,0,0,0,1
M0012,Braves,6,74,88,0.457,0,0,0,0
M0013,Yankees,24,57,105,0.352,1,1,0,5
M0014,Cubs,18,72,90,0.444,1,0,0,3
M0015,Giants,11,85,77,0.525,0,0,0,3
M0016,Cardinals,14,92,70,0.568,1,1,0,0
M0017,Yankees,22,63,99,0.389,1,0,0,5
M0018,Cubs,15,65,97,0.401,0,0,0,1
M0019,Astros,26,66,96,0.407,1,0,0,6
M0020,Braves,20,97,65,0.599,0,0,0,5
M0021,Red Sox,1,81,81,0.5,1,1,0,0
M0022,Cardinals,18,90,72,0.556,1,1,0,5
M0023,Braves,7,110,52,0.679,1,1,0,1
M0024,Cardinals,8,70,92,0.432,0,0,1,1
M0025,Dodgers,25,67,95,0.414,1,0,0,7
M0026,Yankees,16,77,85,0.475,0,0,0,3
M0027,Dodgers,25,86,76,0.531,1,0,0,2
M0028,Red Sox,5,88,74,0.543,0,0,0,0
M0029,Braves,7,75,87,0.463,1,0,0,0
M0030,Dodgers,28,75,87,0.463,0,0,0,8
M0031,Cardinals,29,92,70,0.568,1,0,0,4
M0032,Cubs,4,113,49,0.698,1,0,0,1
M0033,Cardinals,10,68,94,0.42,1,0,0,3
M0034,Giants,20,84,78,0.519,1,2,0,4
M0035,Yankees,22,67,95,0.414,0,0,1,0
M0036,Red Sox,2,91,71,0.562,0,0,0,0
M0037,Yankees,3,98,64,0.605,1,2,0,1
M0038,Cardinals,17,83,79,0.512,1,1,0,3
M0039,Cardinals,26,86,76,0.531,1,0,1,1
M0040,Cardinals,2,89,73,0.549,1,0,1,0
M0041,Yankees,13,62,100,0.383,1,0,0,2
M0042,Dodgers,21,68,94,0.42,0,0,0,1
M0043,Red Sox,18,65,97,0.401,1,0,0,6
M0044,Red Sox,19,54,108,0.333,1,0,0,2
M0045,Astros,25,83,79,0.512,0,0,1,8
M0046,Cubs,23,89,73,0.549,1,0,0,0
M0047,Cubs,13,70,92,0.432,1,0,1,1
M0048,Cardinals,22,81,81,0.5,1,0,0,0
M0049,Yankees,23,94,68,0.58,0,0,1,0
M0050,Astros,3,82,80,0.506,1,0,1,1
M0051,Red Sox,22,82,80,0.506,1,0,1,2
M0052,Dodgers,12,97,65,0.599,0,0,0,0
M0053,Cardinals,19,90,72,0.556,0,0,0,3
M0054,Dodgers,21,78,84,0.481,0,0,0,7
M0055,Cubs,27,69,93,0.426,1,1,1,8
M0056,Cubs,12,81,81,0.5,0,0,0,1
M0057,Cardinals,10,79,83,0.488,0,0,1,1
M0058,Cubs,21,70,92,0.432,1,1,0,5
M0059,Giants,16,82,80,0.506,1,0,0,2
M0060,Braves,16,73,89,0.451,1,0,1,4
M0061,Cubs,20,88,74,0.543,1,0,1,0
M0062,Cardinals,27,55,107,0.34,1,1,0,0
M0063,Giants,15,64,98,0.395,1,0,0,5
M0064,Cubs,11,79,83,0.488,0,0,0,3
M0065,Cardinals,24,89,73,0.549,1,1,0,8
M0066,Astros,16,81,81,0.5,1,1,0,2
M0067,Cardinals,22,82,80,0.506,1,1,0,2
M0068,Red Sox,27,89,73,0.549,1,0,0,7
M0069,Giants,15,72,90,0.444,0,0,0,1
M0070,Yankees,23,73,89,0.451,1,1,0,2
M0071,Astros,20,90,72,0.556,1,1,0,6
M0072,Dodgers,12,70,92,0.432,1,0,0,0
M0073,Yankees,4,101,61,0.623,1,1,0,0
M0074,Braves,20,101,61,0.623,0,0,0,2
M0075,Astros,9,98,64,0.605,0,0,0,0
M0076,Dodgers,8,72,90,0.444,1,0,0,0
M0077,Cardinals,18,79,83,0.488,1,0,0,6
M0078,Yankees,15,92,70,0.568,1,1,0,2
M0079,Astros,2,82,80,0.506,1,0,0,0
M0080,Cardinals,21,79,83,0.488,1,0,0,7
M0081,Red Sox,17,78,84,0.481,0,0,0,4
M0082,Cubs,2,81,81,0.5,1,0,0,0
M0083,Dodgers,22,74,88,0.457,0,0,1,0
M0084,Braves,12,77,85,0.475,1,0,1,0
M0085,Cardinals,8,79,83,0.488,1,0,1,0
M0086,Braves,3,57,105,0.352,1,0,0,1
M0087,Cubs,4,73,89,0.451,1,0,0,0
M0088,Yankees,26,85,77,0.525,1,0,0,1
M0089,Dodgers,18,77,85,0.475,1,0,0,1
M0090,Dodgers,25,59,103,0.364,0,0,1,2
M0091,Dodgers,1,111,51,0.685,0,0,0,0
M0092,Braves,24,68,94,0.42,1,0,0,3
M0093,Dodgers,1,71,91,0.438,1,0,0,0
M0094,Cardinals,15,69,93,0.426,1,0,0,5
M0095,Yankees,18,98,64,0.605,1,0,1,3
M0096,Yankees,24,92,70,0.568,1,1,0,2
M0097,Astros,26,82,80,0.506,1,0,0,3
M0098,Cubs,13,84,78,0.519,1,1,1,0
M0099,Red Sox,17,84,78,0.519,0,0,0,0
M0100,Giants,16,78,84,0.481,1,0,0,2
