player_id,position,team,seasons,games,batting_avg,home_runs,rbi,war,awards_count,all_star,salary_m
P0001,OF,Cubs,15,126,0.279,14,59,5.4,0,0,2.77
P0002,2B,Cardinals,6,149,0.27,11,55,-2.3,1,1,2.55
P0003,2B,Cubs,16,34,0.309,11,62,1.4,1,1,2.46
P0004,2B,Cubs,15,27,0.256,12,56,-1.3,4,1,5.46
P0005,OF,Astros,14,59,0.279,15,55,3.6,0,0,4.29
P0006,Pitcher,Cubs,8,82,0.257,19,65,1.5,0,0,2.4
P0007,OF,Red Sox,8,31,0.251,13,65,1.5,1,1,6.43
P0008,Pitcher,Giants,14,122,0.246,9,59,0.0,0,0,6.85
P0009,OF,Dodgers,4,32,0.259,19,70,0.9,0,0,4.94
P0010,Catcher,Braves,7,148,0.294,12,58,1.1,1,1,2.01
P0011,Pitcher,Cubs,17,81,0.264,13,60,-2.2,0,0,3.7
P0012,Catcher,Giants,12,87,0.274,8,54,2.9,0,0,4.38
P0013,OF,Astros,16,116,0.266,17,56,-1.0,1,1,2.18
P0014,Pitcher,Red Sox,8,147,0.257,15,64,2.5,1,1,1.06
P0015,Catcher,Astros,17,21,0.295,11,65,2.4,1,1,10.53
P0016,SS,Red Sox,3,112,0.319,12,60,2.0,0,0,3.05
P0017,OF,Dodgers,17,147,0.239,13,57,2.4,1,1,69.02
P0018,Pitcher,Giants,16,23,0.268,13,74,0.9,0,0,9.75
P0019,OF,Red Sox,3,147,0.225,8,64,-2.1,0,0,1.61
P0020,Pitcher,Red Sox,11,58,0.23,12,73,5.6,1,1,4.51
P0021,SS,Cubs,19,111,0.218,17,54,7.0,0,0,0.61
P0022,3B,Cubs,12,127,0.278,16,43,7.4,2,1,8.45
P0023,SS,Dodgers,17,139,0.252,8,65,-2.2,0,0,2.79
P0024,SS,Cardinals,16,108,0.245,17,78,7.3,0,0,12.58
P0025,2B,Yankees,16,105,0.278,15,60,3.9,0,0,0.61
P0026,Catcher,Cardinals,5,119,0.226,6,63,3.0,0,0,11.13
P0027,OF,Yankees,17,147,0.3,17,50,3.3,1,1,7.4
P0028,1B,Cubs,13,31,0.297,9,48,1.5,1,1,2.74
P0029,Catcher,Dodgers,9,154,0.276,16,66,0.3,0,0,7.78
P0030,1B,Red Sox,3,55,0.244,13,56,1.5,1,1,13.45
P0031,Pitcher,Cardinals,17,132,0.304,13,57,2.1,1,1,6.2
P0032,2B,Dodgers,15,136,0.261,9,61,6.5,2,1,6.72
P0033,Pitcher,Giants,6,26,0.222,14,51,1.0,0,0,12.94
P0034,SS,Cubs,17,90,0.272,13,67,4.1,0,0,3.82
P0035,1B,Giants,13,145,0.275,18,80,-0.1,0,0,3.18
P0036,SS,Yankees,12,80,0.279,13,54,0.2,2,1,1.7
P0037,OF,Red Sox,11,31,0.239,13,63,1.4,0,0,2.02
P0038,2B,Astros,17,160,0.225,21,77,-1.3,2,1,27.98
P0039,OF,Astros,1,137,0.274,14,59,-0.7,0,0,4.51
P0040,3B,Giants,5,102,0.266,12,62,4.7,0,0,20.93
P0041,OF,Yankees,2,137,0.249,9,62,4.2,0,0,8.12
P0042,1B,Dodgers,7,57,0.301,16,61,2.9,0,0,24.99
P0043,OF,Cubs,10,70,0.294,14,66,3.6,0,0,0.98
P0044,SS,Dodgers,11,134,0.301,15,62,-0.3,1,1,7.85
P0045,1B,Dodgers,18,80,0.249,11,49,0.0,0,0,4.75
P0046,3B,Dodgers,9,45,0.197,19,47,4.1,1,1,2.41
P0047,OF,Braves,14,47,0.246,18,54,-3.5,1,1,1.7
P0048,Catcher,Cardinals,3,134,0.267,12,57,-0.7,0,0,2.33
P0049,2B,Red Sox,17,32,0.316,19,47,4.2,0,0,2.88
P0050,1B,Yankees,9,120,0.312,13,62,2.1,0,0,5.09
P0051,SS,Giants,6,89,0.245,11,52,0.8,0,0,0.37
P0052,2B,Astros,6,85,0.286,15,68,-2.4,1,1,61.36
P0053,Catcher,Cardinals,4,38,0.284,15,66,-0.0,0,0,3.68
P0054,1B,Red Sox,6,29,0.279,15,52,8.0,1,1,2.45
P0055,3B,Cardinals,12,97,0.25,22,68,-1.1,2,1,8.61
P0056,SS,Cubs,13,61,0.226,14,59,-2.7,1,1,3.15
P0057,Pitcher,Red Sox,1,72,0.272,16,50,3.9,1,1,5.38
P0058,SS,Red Sox,1,52,0.272,13,49,1.3,1,1,1.68
P0059,OF,Cubs,12,149,0.266,16,62,1.7,1,1,2.98
P0060,Catcher,Cardinals,11,159,0.221,21,48,3.6,0,0,21.43
P0061,2B,Giants,5,91,0.301,13,46,3.7,2,1,2.39
P0062,2B,Cardinals,1,82,0.25,13,62,0.0,1,1,8.68
P0063,1B,Braves,11,57,0.226,18,53,-1.2,0,0,4.45
P0064,SS,Giants,1,48,0.225,16,51,8.4,0,0,4.76
P0065,OF,Dodgers,19,81,0.248,16,67,0.6,0,0,0.56
P0066,SS,Dodgers,4,148,0.228,13,66,2.2,3,1,11.61
P0067,Pitcher,Red Sox,3,91,0.268,11,54,1.7,0,0,9.12
P0068,1B,Astros,4,161,0.278,11,52,4.3,1,1,3.73
P0069,Catcher,Braves,2,138,0.288,14,58,-1.5,2,1,4.32
P0070,SS,Braves,17,133,0.298,15,54,-1.2,0,0,4.96
P0071,1B,Cardinals,18,147,0.271,12,63,-0.4,0,0,22.66
P0072,Pitcher,Giants,7,157,0.312,21,57,1.1,0,0,5.47
P0073,Catcher,Giants,11,59,0.29,18,77,1.7,1,1,0.78
P0074,OF,Cubs,19,100,0.261,15,56,1.9,1,1,26.33
P0075,OF,Dodgers,3,127,0.232,16,48,4.3,0,0,4.16
P0076,OF,Cubs,16,102,0.284,17,69,-1.8,2,1,4.23
P0077,Catcher,Astros,7,45,0.29,15,69,2.3,1,1,1.1
P0078,2B,Giants,2,150,0.28,17,65,3.0,1,1,0.65
P0079,Catcher,Red Sox,16,127,0.267,18,59,4.7,3,1,21.75
P0080,SS,Red Sox,3,161,0.249,18,55,-0.4,2,1,3.4
P0081,2B,Cardinals,7,82,0.264,16,76,3.7,1,1,2.37
P0082,Catcher,Red Sox,17,22,0.249,16,60,-2.2,0,0,5.35
P0083,Catcher,Cardinals,17,22,0.248,11,62,3.6,0,0,3.12
P0084,2B,Giants,9,95,0.283,22,55,2.1,1,1,2.38
P0085,2B,Giants,13,100,0.292,16,61,2.1,1,1,3.07
P0086,1B,Dodgers,16,32,0.281,19,64,0.4,2,1,7.25
P0087,OF,Yankees,10,126,0.272,18,52,1.6,0,0,1.66
P0088,Catcher,Cubs,13,89,0.27,12,58,-1.0,1,1,3.01
P0089,2B,Astros,4,87,0.297,8,56,-0.6,0,0,6.47
P0090,OF,Giants,11,52,0.249,13,67,-2.3,1,1,2.98
P0091,3B,Red Sox,7,34,0.284,11,64,4.5,0,0,8.59
P0092,3B,Dodgers,6,150,0.262,13,65,2.9,1,1,3.36
P0093,2B,Astros,8,79,0.273,18,69,1.4,1,1,15.63
P0094,Pitcher,Cardinals,14,36,0.28,16,61,3.1,0,0,1.66
P0095,Catcher,Astros,8,158,0.324,18,72,1.0,1,1,5.27
P0096,OF,Astros,1,116,0.238,15,56,1.6,0,0,2.16
P0097,OF,Yankees,14,141,0.248,11,63,3.4,0,0,27.44
P0098,Catcher,Cubs,15,146,0.276,15,59,6.3,0,0,5.46
P0099,SS,Cubs,12,160,0.336,13,58,0.9,0,0,7.43
P0100,1B,Dodgers,10,54,0.205,11,53,4.8,1,1,3.41
P0101,SS,Cubs,18,115,0.253,14,62,2.2,2,1,1.25
P0102,Catcher,Astros,15,118,0.219,18,62,2.6,0,0,0.44
P0103,SS,Giants,9,81,0.259,16,64,-0.1,1,1,12.77
P0104,3B,Braves,1,64,0.256,12,71,0.5,1,1,0.64
P0105,3B,Cubs,8,20,0.243,14,57,-1.3,1,1,13.39
P0106,SS,Cubs,18,97,0.26,7,75,1.7,1,1,1.59
P0107,Pitcher,Dodgers,14,31,0.269,20,60,3.1,1,1,1.75
P0108,OF,Astros,18,104,0.284,9,59,3.4,2,1,1.79
P0109,Catcher,Yankees,17,45,0.271,17,53,4.6,0,0,2.07
P0110,2B,Yankees,18,82,0.274,16,71,5.0,2,1,1.31
P0111,1B,Giants,11,148,0.269,13,65,-0.6,0,0,2.37
P0112,2B,Cardinals,11,118,0.225,11,66,3.6,3,1,4.75
P0113,3B,Yankees,16,56,0.261,14,66,-2.1,0,0,3.42
P0114,OF,Giants,15,44,0.303,17,52,0.8,1,1,2.92
P0115,SS,Dodgers,15,54,0.24,18,60,2.4,2,1,11.58
