player_id,team,position,games_played,points_per_game,assists_per_game,rebounds_per_game,minutes_per_game,age,experience_years,salary_millions
P0001,Team_E,Guard,48,9.0,10.5,10.9,29.1,20,16,0.73
P0002,Team_K,Forward,72,20.8,3.6,7.8,37.5,24,10,4.73
P0003,Team_J,Defender,63,11.7,0.4,14.8,9.4,32,11,1.98
P0004,Team_I,Midfielder,10,8.6,1.0,10.4,27.0,29,15,0.5
P0005,Team_B,Forward,29,19.7,1.8,17.7,23.9,32,1,8.41
P0006,Team_I,Striker,41,13.7,8.0,0.3,23.3,21,9,0.62
P0007,Team_K,Midfielder,53,5.7,2.2,10.2,27.6,23,7,3.62
P0008,Team_I,Center,79,8.7,3.2,7.2,5.0,28,5,0.8
P0009,Team_E,Defender,46,1.1,8.0,4.2,33.1,20,0,1.14
P0010,Team_F,Striker,36,9.1,4.8,3.8,30.0,22,0,2.25
P0011,Team_I,Defender,73,14.8,0.0,11.6,31.1,20,1,3.99
P0012,Team_L,Center,30,23.8,1.6,3.1,11.3,27,7,4.14
P0013,Team_D,Guard,69,18.3,4.8,9.3,18.6,20,6,1.14
P0014,Team_F,Defender,73,26.5,12.3,14.3,18.6,30,11,0.57
P0015,Team_B,Striker,55,4.8,4.7,0.0,16.1,26,4,0.68
P0016,Team_L,Guard,59,8.8,3.0,10.1,41.5,23,7,7.06
P0017,Team_K,Defender,24,10.1,4.0,0.0,17.9,23,2,4.2
P0018,Team_E,Center,17,28.1,0.0,12.1,23.9,30,15,1.39
P0019,Team_L,Guard,13,8.5,5.4,6.5,37.3,37,2,3.61
P0020,Team_G,Forward,27,14.5,2.8,6.9,29.5,36,16,2.63
P0021,Team_K,Forward,38,11.0,4.3,4.2,22.8,26,10,14.27
P0022,Team_F,Midfielder,35,6.2,3.0,0.3,19.7,29,6,3.3
P0023,Team_H,Defender,25,9.2,8.1,1.1,41.6,31,15,2.63
P0024,Team_H,Center,30,5.3,3.5,0.0,24.5,36,6,0.5
P0025,Team_C,Midfielder,31,10.1,0.0,8.0,27.9,27,6,0.5
P0026,Team_C,Midfielder,50,22.3,3.2,13.9,20.3,28,1,5.95
P0027,Team_D,Striker,25,14.4,2.7,10.2,9.7,25,13,4.49
P0028,Team_J,Midfielder,44,8.1,0.0,9.6,25.6,23,4,4.28
P0029,Team_C,Guard,67,14.0,0.0,7.0,26.1,31,17,0.69
P0030,Team_B,Defender,42,7.4,8.6,2.6,5.0,21,2,5.87
P0031,Team_L,Midfielder,32,8.0,0.5,3.5,44.9,21,13,1.03
P0032,Team_C,Striker,72,11.7,5.9,0.0,26.6,32,14,2.4
P0033,Team_K,Midfielder,34,2.4,4.9,7.9,28.5,24,7,1.18
P0034,Team_B,Center,50,10.1,7.8,7.4,25.9,24,12,2.3
P0035,Team_B,Midfielder,55,13.8,8.6,1.6,9.4,28,7,1.17
P0036,Team_A,Striker,81,5.8,3.0,0.9,20.4,30,15,0.5
P0037,Team_E,Striker,44,14.9,1.0,11.1,13.2,26,13,21.04
P0038,Team_L,Forward,78,15.2,0.6,8.2,39.2,29,5,0.85
P0039,Team_L,Defender,36,15.2,3.4,7.4,32.9,20,2,0.73
P0040,Team_E,Defender,29,15.3,3.9,4.9,32.0,21,5,6.1
P0041,Team_K,Forward,55,0.0,4.5,3.0,14.3,25,2,5.11
P0042,Team_L,Guard,22,0.0,4.1,7.4,35.9,32,17,4.0
P0043,Team_D,Defender,69,7.6,0.0,5.3,42.0,36,13,0.5
P0044,Team_A,Striker,48,8.5,5.4,5.4,17.3,26,3,0.67
P0045,Team_D,Center,38,12.9,1.5,14.8,25.0,30,5,1.22
P0046,Team_H,Midfielder,76,4.6,5.2,6.4,48.0,25,4,3.15
P0047,Team_L,Forward,39,15.6,2.3,11.3,5.0,34,10,7.96
P0048,Team_E,Center,18,8.9,3.7,6.2,40.6,27,15,2.47
P0049,Team_L,Midfielder,44,4.6,2.8,4.1,35.4,26,15,2.91
P0050,Team_F,Defender,71,2.0,0.3,7.3,43.0,28,16,0.88
P0051,Team_H,Midfielder,25,10.8,15.0,5.6,33.4,29,8,0.94
P0052,Team_A,Forward,78,4.4,6.2,8.7,37.6,21,7,3.09
P0053,Team_L,Midfielder,52,0.0,3.2,6.8,28.9,21,10,6.72
P0054,Team_K,Guard,13,1.9,3.8,6.2,31.4,22,11,3.35
P0055,Team_L,Forward,68,10.2,2.6,6.3,35.3,20,17,0.64
P0056,Team_I,Striker,63,7.4,2.3,5.9,23.8,33,16,2.18
P0057,Team_H,Guard,78,30.6,8.4,5.1,22.4,24,17,0.5
P0058,Team_B,Center,15,13.4,2.6,1.4,34.2,26,3,1.87
P0059,Team_A,Striker,81,23.5,6.2,10.0,20.3,28,4,5.73
P0060,Team_C,Midfielder,55,22.3,6.9,4.7,21.1,32,3,3.0
P0061,Team_F,Striker,40,13.4,4.3,5.6,36.8,35,7,1.36
P0062,Team_G,Midfielder,17,9.6,6.6,0.0,10.7,25,1,5.46
P0063,Team_B,Defender,37,12.1,2.7,12.3,28.8,34,10,3.94
P0064,Team_L,Midfielder,22,30.4,6.3,10.2,19.3,21,4,0.72
P0065,Team_A,Forward,36,14.1,2.4,4.8,19.1,36,7,1.98
P0066,Team_H,Defender,32,6.1,4.6,9.6,20.9,24,16,12.95
P0067,Team_C,Forward,34,5.0,3.2,12.3,26.7,20,5,5.23
