player_id,team,position,games_played,points_per_game,assists_per_game,rebounds_per_game,minutes_per_game,age,experience_years,salary_millions
P0001,Team_E,Defender,27,7.4,0.0,6.2,16.5,36,10,4.68
P0002,Team_C,Forward,50,2.5,0.9,5.9,34.2,23,17,6.96
P0003,Team_D,Center,31,16.0,4.1,5.4,34.0,27,8,1.2
P0004,Team_F,Striker,55,25.8,0.1,8.2,10.9,37,2,0.56
P0005,Team_B,Center,36,21.8,3.7,11.0,21.2,36,0,6.0
P0006,Team_J,Forward,22,2.6,0.0,2.8,18.6,23,3,8.22
P0007,Team_F,Guard,60,9.0,0.0,1.5,24.9,23,15,13.51
P0008,Team_J,Midfielder,28,16.6,3.6,5.6,5.0,22,2,1.2
P0009,Team_J,Guard,34,6.2,5.1,0.0,30.9,24,15,2.92
P0010,Team_H,Center,52,24.6,2.6,9.7,32.3,24,5,7.7
P0011,Team_D,Center,66,2.0,5.0,4.3,26.4,33,1,5.09
P0012,Team_E,Forward,45,20.1,2.1,12.9,32.7,26,7,2.56
P0013,Team_L,Midfielder,74,6.3,0.0,6.1,12.5,26,13,0.61
P0014,Team_E,Striker,52,2.7,2.1,9.1,7.8,33,2,0.5
P0015,Team_B,Defender,42,16.9,5.6,4.6,14.6,23,15,2.97
P0016,Team_I,Midfielder,35,0.0,2.2,3.5,10.0,37,4,2.87
P0017,Team_D,Striker,81,17.3,6.6,3.6,23.8,30,8,2.08
P0018,Team_D,Defender,31,26.4,3.2,10.7,36.1,35,0,0.5
P0019,Team_B,Center,17,17.1,5.7,3.9,42.1,33,13,5.51
P0020,Team_G,Defender,47,17.9,7.3,10.8,18.1,28,2,1.09
P0021,Team_B,Forward,71,4.8,7.1,6.1,20.8,20,13,6.62
P0022,Team_C,Midfielder,47,20.5,6.3,0.0,38.1,36,2,4.18
P0023,Team_L,Striker,56,9.3,7.5,8.3,19.4,29,3,3.38
P0024,Team_E,Forward,43,17.5,0.0,6.3,37.8,35,7,1.83
P0025,Team_C,Center,20,11.3,4.9,10.6,39.5,36,8,1.6
P0026,Team_H,Forward,63,8.3,4.4,0.0,16.3,36,15,0.5
P0027,Team_L,Guard,19,2.4,0.0,10.8,25.5,34,0,0.5
P0028,Team_C,Midfielder,80,20.3,1.4,11.9,20.7,30,1,0.5
P0029,Team_L,Guard,61,12.2,1.8,8.9,21.0,26,6,0.5
P0030,Team_C,Defender,39,21.8,3.5,3.2,42.1,37,0,0.5
P0031,Team_A,Center,77,0.0,1.6,8.4,17.3,33,13,6.1
P0032,Team_E,Center,46,6.7,0.8,7.5,21.7,30,17,3.37
P0033,Team_C,Center,14,18.8,2.0,4.5,36.0,28,16,5.81
P0034,Team_B,Striker,24,12.4,5.3,11.6,19.7,24,10,0.5
P0035,Team_F,Midfielder,45,26.3,11.2,8.4,19.5,31,5,7.41
P0036,Team_A,Center,46,9.5,0.0,0.0,30.7,21,2,0.73
P0037,Team_B,Guard,63,19.7,4.9,6.8,26.8,37,6,0.96
P0038,Team_D,Midfielder,44,14.3,4.3,9.6,29.8,23,17,4.08
P0039,Team_L,Center,17,7.5,3.9,7.5,16.2,22,11,10.08
P0040,Team_I,Striker,80,27.8,3.1,7.2,35.3,24,11,2.59
P0041,Team_K,Guard,28,2.4,5.6,6.0,22.9,37,11,2.86
P0042,Team_B,Center,44,2.3,2.9,8.6,14.8,36,15,8.83
P0043,Team_E,Forward,70,19.6,0.7,1.9,48.0,36,12,6.76
