player_id,team,position,games_played,points_per_game,assists_per_game,rebounds_per_game,minutes_per_game,age,experience_years,salary_millions
P0001,Team_G,Midfielder,20,23.9,3.9,5.2,19.9,35,7,1.4
P0002,Team_J,Midfielder,44,20.6,0.0,4.4,5.2,33,13,0.5
P0003,Team_B,Defender,42,13.4,3.4,2.5,31.9,31,9,3.31
P0004,Team_E,Striker,81,13.8,5.3,1.5,25.6,31,17,5.29
P0005,Team_C,Center,52,6.9,1.2,10.2,26.8,20,16,6.68
P0006,Team_K,Guard,67,4.7,5.3,2.7,31.0,31,4,3.05
P0007,Team_F,Midfielder,23,11.7,6.9,7.3,17.0,29,5,0.94
P0008,Team_B,Striker,61,4.9,1.3,4.4,21.0,28,6,0.5
P0009,Team_A,Defender,42,14.0,0.0,7.3,22.7,37,9,1.45
P0010,Team_E,Forward,65,18.6,5.4,2.9,21.1,27,13,0.87
P0011,Team_F,Center,26,24.4,5.9,6.1,26.1,37,5,0.91
P0012,Team_K,Midfielder,67,5.1,0.7,7.7,11.5,26,15,3.05
P0013,Team_G,Midfielder,19,0.2,3.6,5.0,37.2,30,0,0.5
P0014,Team_K,Guard,44,1.2,4.1,10.8,15.8,27,14,7.43
P0015,Team_C,Guard,55,5.1,6.3,6.2,38.3,30,0,1.6
P0016,Team_G,Midfielder,70,4.9,1.7,3.1,35.9,27,4,0.5
P0017,Team_E,Striker,53,27.4,8.0,6.0,25.9,33,15,8.07
P0018,Team_I,Guard,14,10.6,2.0,6.6,18.3,36,9,1.78
P0019,Team_K,Center,48,22.8,5.0,3.1,37.5,37,12,0.5
P0020,Team_H,Striker,69,7.7,3.8,15.3,29.8,23,8,5.12
P0021,Team_I,Midfielder,33,11.4,5.1,5.5,30.8,34,15,1.76
P0022,Team_K,Forward,78,17.6,3.6,6.8,22.7,31,11,5.37
P0023,Team_I,Guard,47,11.2,8.6,5.1,36.2,36,16,4.74
P0024,Team_G,Guard,67,2.6,0.0,3.0,37.3,26,2,0.5
P0025,Team_B,Forward,77,9.8,4.6,2.6,33.8,30,0,0.5
P0026,Team_I,Center,35,0.0,5.6,5.6,30.4,34,11,3.67
P0027,Team_C,Striker,54,14.9,4.6,3.8,26.8,20,11,0.5
P0028,Team_H,Defender,16,13.7,0.6,0.0,20.5,27,2,7.37
P0029,Team_A,Center,71,18.2,1.1,8.4,25.9,29,9,0.5
P0030,Team_E,Forward,49,16.5,7.8,5.9,31.8,20,12,0.91
P0031,Team_H,Forward,43,29.6,5.3,9.4,28.7,34,1,6.46
P0032,Team_F,Guard,36,5.7,5.0,0.0,21.4,37,12,0.5
P0033,Team_E,Guard,41,0.0,0.8,2.7,21.3,22,8,3.75
P0034,Team_E,Center,12,2.4,2.8,7.9,25.5,32,12,0.5
P0035,Team_A,Defender,11,0.0,0.2,0.0,31.4,31,4,13.6
P0036,Team_J,Center,16,6.7,1.4,8.5,19.5,35,14,3.2
P0037,Team_B,Midfielder,27,16.6,1.6,1.5,19.1,23,3,1.24
P0038,Team_A,Center,37,2.3,8.6,8.2,5.0,21,16,2.95
P0039,Team_F,Striker,44,26.5,0.8,5.1,30.7,32,17,8.98
P0040,Team_H,Defender,81,18.5,1.2,7.6,30.6,27,2,0.5
P0041,Team_I,Defender,19,13.4,1.3,8.6,31.4,34,17,6.61
P0042,Team_C,Striker,26,9.5,6.1,4.3,21.1,36,11,6.77
P0043,Team_H,Defender,12,1.8,0.0,7.0,30.5,29,17,5.3
P0044,Team_B,Midfielder,26,11.7,0.0,1.4,26.1,32,8,1.6
P0045,Team_L,Forward,23,4.3,2.6,3.7,34.6,23,0,4.12
P0046,Team_H,Defender,36,1.7,7.3,6.2,20.3,21,14,0.97
P0047,Team_D,Center,12,7.5,2.3,8.8,32.4,28,10,4.84
P0048,Team_F,Defender,15,7.3,5.5,9.0,5.0,36,11,0.5
P0049,Team_D,Defender,29,12.1,2.2,3.1,26.0,23,0,2.71
P0050,Team_H,Midfielder,44,1.2,3.0,1.2,8.5,21,0,0.5
