player_id,team,position,games_played,points_per_game,assists_per_game,rebounds_per_game,minutes_per_game,age,experience_years,salary_millions
P0001,Team_D,Defender,41,12.9,2.5,0.0,32.5,37,0,0.5
P0002,Team_L,Guard,31,13.7,5.1,2.1,20.6,34,2,9.81
P0003,Team_E,Defender,52,0.0,4.2,2.3,27.3,33,1,6.33
P0004,Team_C,Guard,33,13.4,6.3,0.0,38.1,35,9,4.01
P0005,Team_L,Forward,40,9.6,4.3,9.9,38.4,29,13,2.76
P0006,Team_G,Guard,70,21.2,5.9,4.5,21.7,37,12,3.21
P0007,Team_E,Guard,35,12.6,0.1,1.9,33.0,20,4,1.39
P0008,Team_E,Forward,65,2.0,6.0,0.0,11.1,22,11,3.25
P0009,Team_D,Midfielder,23,10.6,3.0,12.5,20.4,25,11,8.52
P0010,Team_L,Striker,55,2.1,4.4,6.1,9.1,29,15,4.23
P0011,Team_C,Center,60,22.1,9.5,7.4,21.6,35,7,12.59
P0012,Team_A,Striker,80,0.0,4.9,11.0,26.1,34,0,5.1
P0013,Team_G,Guard,14,8.6,2.8,12.9,18.6,31,1,2.44
P0014,Team_B,Center,13,0.0,8.7,2.5,33.2,23,14,1.94
P0015,Team_L,Guard,46,5.8,4.3,10.9,5.1,29,10,0.78
P0016,Team_L,Forward,50,10.9,8.2,3.8,22.0,30,4,0.72
P0017,Team_G,Midfielder,36,8.5,9.8,1.5,18.1,29,1,0.89
P0018,Team_H,Forward,52,0.0,7.1,7.8,35.3,28,10,0.68
P0019,Team_F,Defender,40,14.1,4.9,5.6,16.8,23,3,6.37
P0020,Team_I,Defender,73,6.8,4.8,9.5,20.4,22,2,1.29
P0021,Team_G,Defender,62,12.9,4.8,8.1,33.7,25,8,2.38
P0022,Team_K,Forward,41,0.0,5.9,6.5,6.4,33,7,0.67
P0023,Team_I,Midfielder,28,8.4,1.0,9.3,16.2,30,0,0.5
P0024,Team_K,Striker,75,10.2,5.1,9.5,29.2,29,17,0.5
P0025,Team_E,Striker,81,19.0,10.6,9.3,28.8,27,0,1.46
P0026,Team_D,Midfielder,77,8.1,1.1,12.6,33.7,31,4,1.36
P0027,Team_K,Defender,67,16.7,1.3,5.5,35.9,20,8,3.19
P0028,Team_H,Midfielder,46,17.4,2.4,4.9,25.7,33,14,1.87
P0029,Team_D,Striker,12,19.1,1.3,3.9,12.5,34,7,1.51
P0030,Team_A,Center,33,20.1,1.7,7.5,20.2,35,14,1.88
P0031,Team_F,Striker,30,22.7,4.4,1.5,32.6,23,10,0.97
P0032,Team_E,Midfielder,68,0.0,5.2,8.9,13.2,21,4,14.55
P0033,Team_H,Striker,49,5.8,5.0,5.9,29.0,24,14,4.21
P0034,Team_D,Defender,20,6.1,3.9,6.8,30.2,25,6,0.72
P0035,Team_I,Forward,20,10.2,7.5,6.8,21.8,28,15,4.6
P0036,Team_G,Defender,66,10.5,1.5,2.5,40.7,23,17,2.4
P0037,Team_D,Guard,39,13.4,0.3,7.4,35.8,29,6,0.74
P0038,Team_E,Defender,62,14.2,1.0,13.7,21.3,36,11,7.31
P0039,Team_L,Striker,20,6.9,2.7,11.2,22.2,24,0,3.89
P0040,Team_C,Striker,37,18.9,6.4,2.7,12.6,34,10,0.83
P0041,Team_F,Guard,71,4.2,3.1,6.7,36.9,31,4,2.96
