player_id,team,position,games_played,points_per_game,assists_per_game,rebounds_per_game,minutes_per_game,age,experience_years,salary_millions,home_lat,home_lon,region
P0001,Team_H,Forward,31,11.8,0.0,3.7,9.1,22,17,0.5,42.5134,-100.5234,West
P0002,Team_K,Midfielder,71,7.5,6.5,0.9,26.9,30,16,4.4,37.4043,-82.8018,Northeast
P0003,Team_D,Center,56,20.6,10.6,7.9,16.0,37,2,7.01,31.956,-115.7234,Pacific
P0004,Team_B,Defender,39,6.5,2.6,2.6,42.2,20,3,0.63,27.9093,-75.4911,Northeast
P0005,Team_C,Striker,52,12.7,0.1,7.6,41.2,35,8,1.94,44.4205,-110.8477,Northeast
P0006,Team_B,Forward,28,0.0,2.1,10.7,22.2,36,10,4.18,34.0975,-123.9904,South
P0007,Team_C,Center,62,12.6,8.1,1.4,14.1,21,1,4.38,32.2728,-122.1364,West
P0008,Team_A,Defender,48,21.1,3.6,9.1,20.9,37,1,1.34,42.611,-72.9582,Northeast
P0009,Team_G,Defender,43,7.5,0.1,5.1,5.7,30,8,0.69,40.3767,-104.8582,Pacific
P0010,Team_F,Striker,62,10.6,2.9,0.8,28.4,27,11,0.5,31.0877,-122.8613,Midwest
P0011,Team_H,Forward,16,23.9,2.7,9.0,6.1,37,14,0.85,40.5756,-90.5472,Northeast
P0012,Team_B,Guard,19,13.5,5.4,9.2,33.8,35,4,4.82,32.1154,-124.1605,Midwest
P0013,Team_I,Center,66,6.1,4.2,9.4,23.7,29,15,11.69,42.6528,-81.8898,Northeast
P0014,Team_E,Midfielder,75,11.7,3.2,0.0,39.8,20,5,0.5,33.9027,-76.1576,Midwest
P0015,Team_C,Striker,60,5.9,6.1,11.4,40.7,31,10,0.7,39.5381,-78.2429,Midwest
P0016,Team_E,Midfielder,50,19.8,5.2,5.3,7.1,35,7,0.5,38.0713,-107.8688,Northeast
P0017,Team_J,Defender,14,0.0,6.7,10.6,24.6,36,2,1.68,31.1075,-120.5201,Midwest
P0018,Team_J,Guard,72,18.3,4.9,8.1,43.3,27,8,0.54,43.2157,-120.0423,Midwest
P0019,Team_F,Center,33,2.9,6.2,7.6,22.6,25,4,0.6,44.091,-101.2124,Midwest
P0020,Team_I,Midfielder,11,26.2,1.2,9.4,25.0,25,1,4.24,35.0132,-115.9858,Midwest
P0021,Team_L,Midfielder,33,3.6,5.3,6.0,25.7,31,16,0.5,42.1925,-84.886,South
P0022,Team_B,Striker,29,8.2,8.9,8.5,16.9,24,10,2.69,47.6448,-94.6308,West
P0023,Team_I,Midfielder,49,18.6,3.6,0.4,5.0,29,5,2.76,30.0298,-107.1498,Pacific
P0024,Team_K,Guard,64,3.0,1.2,7.7,28.7,35,12,10.55,32.45,-74.4798,South
P0025,Team_A,Defender,70,17.3,8.3,4.7,20.6,24,12,6.73,41.1853,-116.6542,Pacific
P0026,Team_B,Center,77,0.0,6.0,11.4,31.6,30,9,6.54,28.6573,-89.8953,South
