player_id,team,position,games_played,points_per_game,assists_per_game,rebounds_per_game,minutes_per_game,age,experience_years,salary_millions
P0001,Team_I,Guard,28,22.0,7.9,8.2,20.5,35,1,6.75
P0002,Team_D,Midfielder,81,0.0,3.7,1.2,16.2,28,9,3.61
P0003,Team_L,Midfielder,49,14.4,3.5,9.6,17.2,26,3,7.61
P0004,Team_D,Midfielder,22,12.0,7.0,7.0,17.6,29,6,0.5
P0005,Team_B,Defender,36,10.0,9.4,8.0,33.7,28,2,0.5
P0006,Team_K,Center,42,4.7,6.9,1.7,26.7,36,10,0.5
P0007,Team_F,Defender,47,6.7,8.3,11.9,19.7,27,6,0.94
P0008,Team_A,Midfielder,33,16.5,3.1,0.0,30.6,34,9,13.02
P0009,Team_B,Guard,28,26.7,5.6,8.4,17.7,33,8,0.96
P0010,Team_C,Striker,37,1.9,3.2,4.8,20.8,29,1,0.5
P0011,Team_A,Striker,78,6.8,0.3,1.1,36.2,21,14,7.06
P0012,Team_L,Midfielder,78,14.7,6.7,2.0,17.4,31,9,1.48
P0013,Team_D,Defender,43,16.5,4.3,6.1,16.3,20,9,0.5
P0014,Team_J,Forward,47,10.6,3.8,13.6,32.9,28,9,2.54
P0015,Team_D,Center,35,20.8,2.2,4.6,24.8,33,12,0.83
P0016,Team_L,Striker,11,2.0,6.0,5.7,37.1,26,11,0.77
P0017,Team_L,Center,67,13.0,8.5,5.5,15.3,25,0,5.42
P0018,Team_G,Midfielder,20,8.8,6.6,7.7,25.0,20,7,2.13
P0019,Team_D,Defender,15,15.5,6.4,0.7,40.0,29,17,5.72
P0020,Team_L,Striker,75,0.0,8.9,11.3,7.4,26,15,1.86
P0021,Team_H,Defender,61,13.2,4.7,5.2,31.2,28,13,4.05
P0022,Team_D,Defender,59,10.9,0.0,0.0,20.7,25,4,4.05
P0023,Team_K,Guard,74,0.0,0.1,5.2,29.0,37,15,0.5
P0024,Team_K,Center,22,15.2,3.5,0.4,38.7,31,16,5.05
P0025,Team_A,Guard,26,10.9,4.5,2.8,11.1,20,12,9.54
P0026,Team_A,Guard,21,16.2,4.1,10.3,17.8,21,5,1.62
P0027,Team_J,Guard,58,0.0,0.7,2.3,30.9,24,11,2.7
P0028,Team_I,Midfielder,31,8.2,6.0,2.0,5.0,36,8,0.65
P0029,Team_B,Guard,51,0.0,9.0,8.4,48.0,34,16,0.86
P0030,Team_H,Striker,15,12.6,0.6,1.4,21.8,24,6,3.62
P0031,Team_D,Forward,25,13.9,4.2,5.0,16.0,31,7,0.84
P0032,Team_K,Forward,15,12.9,5.0,7.9,31.7,21,11,3.0
P0033,Team_K,Forward,18,0.0,8.2,3.9,18.0,20,4,5.28
P0034,Team_D,Defender,68,17.4,0.0,10.2,22.9,29,3,0.81
P0035,Team_I,Center,53,6.0,2.0,6.2,38.9,20,3,4.16
P0036,Team_C,Center,46,14.9,3.3,3.9,24.3,27,17,0.51
P0037,Team_B,Midfielder,76,10.9,1.7,6.4,15.5,24,6,1.21
P0038,Team_K,Forward,27,14.8,7.5,12.0,31.4,31,3,5.85
P0039,Team_L,Forward,51,19.3,1.6,6.2,22.5,23,0,5.78
P0040,Team_B,Forward,23,18.6,0.0,13.6,19.3,36,9,0.73
P0041,Team_K,Center,24,10.1,0.3,5.4,29.4,32,15,3.72
P0042,Team_I,Defender,78,5.2,0.3,6.5,36.6,35,3,3.61
P0043,Team_E,Center,38,1.7,7.5,6.4,20.1,25,12,1.72
P0044,Team_G,Defender,34,3.8,11.9,7.3,12.5,31,11,1.07
P0045,Team_H,Forward,19,9.1,6.6,1.1,22.3,25,1,0.68
P0046,Team_K,Striker,29,0.0,4.0,3.1,22.3,27,11,0.63
P0047,Team_K,Defender,60,16.2,5.9,13.6,48.0,20,6,2.71
P0048,Team_L,Striker,19,28.2,6.9,13.0,35.3,24,2,1.25
P0049,Team_J,Striker,41,7.8,2.7,5.4,34.8,30,3,0.5
P0050,Team_A,Midfielder,13,20.2,9.9,7.7,40.9,34,6,2.92
P0051,Team_D,Guard,75,22.9,4.3,5.3,30.2,25,3,0.57
P0052,Team_E,Striker,12,11.0,6.2,0.0,19.6,25,16,0.63
P0053,Team_I,Midfielder,64,21.2,6.5,9.0,16.7,37,17,4.1
P0054,Team_H,Defender,58,3.6,7.2,0.2,11.0,32,4,1.06
P0055,Team_L,Guard,38,6.7,8.4,4.5,29.8,30,14,1.66
P0056,Team_D,Forward,12,14.0,5.8,9.4,32.3,35,1,1.39
P0057,Team_C,Striker,57,0.7,3.2,4.2,24.4,37,0,3.97
P0058,Team_I,Midfielder,31,20.9,2.7,0.0,13.1,27,15,0.97
P0059,Team_I,Guard,68,7.6,6.8,6.3,40.9,37,10,1.68
P0060,Team_H,Midfielder,33,18.4,8.5,6.8,12.0,32,7,1.49
P0061,Team_B,Defender,71,28.3,8.3,3.6,28.2,25,11,0.5
P0062,Team_D,Defender,20,9.7,0.0,12.7,28.9,27,6,0.5
P0063,Team_H,Defender,35,18.3,5.5,3.8,31.3,25,2,1.1
P0064,Team_C,Midfielder,56,1.8,6.0,6.0,14.3,24,11,20.7
P0065,Team_G,Midfielder,33,1.6,7.4,4.4,7.4,20,2,7.11
P0066,Team_I,Midfielder,74,2.6,2.0,6.6,35.3,27,12,0.5
P0067,Team_F,Forward,34,4.7,1.6,12.5,6.7,37,3,2.79
P0068,Team_G,Defender,34,12.1,6.4,5.9,28.0,20,6,3.93
P0069,Team_D,Center,40,16.9,5.4,9.0,5.0,25,15,1.84
P0070,Team_G,Defender,45,26.8,0.0,10.7,30.0,23,15,2.04
P0071,Team_G,Forward,19,13.4,5.2,0.0,16.0,32,17,0.5
P0072,Team_G,Forward,25,17.2,1.5,8.2,27.9,27,14,7.13
P0073,Team_F,Forward,20,6.3,5.4,1.0,35.2,37,17,4.78
P0074,Team_H,Forward,31,5.3,6.3,11.2,27.5,31,17,1.43
P0075,Team_F,Midfielder,27,18.5,4.8,0.4,29.5,36,7,2.81
P0076,Team_B,Midfielder,13,19.8,0.0,8.3,5.0,29,16,0.6
