student_id,age,gender,level,major,gpa_cumulative,enrollment_year,scholarship,housing,is_dropout,final_grade
STU_0001,28,F,Sophomore,Education,2.02,2022,0,Off-Campus,1,66.6
STU_0002,23,M,Sophomore,Arts,3.02,2021,1,Commuter,0,84.1
STU_0003,22,M,Freshman,Business,2.97,2023,0,Off-Campus,0,74.1
STU_0004,29,F,Sophomore,Business,1.46,2022,0,Commuter,0,51.2
STU_0005,26,M,Freshman,Business,3.09,2020,0,Commuter,1,75.6
STU_0006,27,M,Senior,Science,3.38,2021,0,Off-Campus,1,77.2
STU_0007,25,M,Sophomore,Business,2.53,2021,0,On-Campus,0,61.2
STU_0008,21,F,Sophomore,Science,1.99,2020,1,Commuter,1,66.0
STU_0009,21,F,Senior,Undeclared,2.16,2021,0,On-Campus,1,63.3
STU_0010,19,M,Sophomore,Education,3.63,2020,0,Commuter,0,78.5
STU_0011,26,M,Junior,Education,3.21,2022,1,Off-Campus,1,62.8
STU_0012,26,F,Senior,Science,3.42,2022,1,Off-Campus,0,78.3
STU_0013,25,M,Freshman,Undeclared,3.37,2022,0,On-Campus,0,79.9
STU_0014,18,M,Senior,Arts,3.75,2021,0,On-Campus,0,87.0
STU_0015,27,F,Freshman,Science,1.81,2023,0,On-Campus,0,54.2
STU_0016,21,M,Junior,Arts,3.53,2023,0,Off-Campus,0,83.5
STU_0017,26,M,Senior,Science,2.98,2023,0,Commuter,0,62.5
STU_0018,26,M,Sophomore,Business,3.02,2021,0,On-Campus,0,78.7
STU_0019,26,M,Sophomore,Business,2.8,2020,0,Off-Campus,1,74.5
STU_0020,23,F,Freshman,Arts,2.64,2023,0,Off-Campus,1,77.8
STU_0021,21,F,Freshman,Science,2.79,2020,0,Commuter,0,70.9
STU_0022,19,F,Freshman,Science,1.63,2021,0,On-Campus,1,48.0
STU_0023,19,M,Junior,Undeclared,3.04,2023,0,On-Campus,0,64.9
STU_0024,23,F,Sophomore,Engineering,2.79,2020,0,Off-Campus,0,68.0
STU_0025,26,F,Sophomore,Engineering,4.0,2022,0,Off-Campus,0,75.3
STU_0026,20,F,Freshman,Arts,2.86,2023,0,Commuter,0,77.7
STU_0027,25,M,Sophomore,Science,3.62,2021,1,Commuter,0,75.4
STU_0028,27,F,Freshman,Business,3.41,2020,0,On-Campus,1,65.1
STU_0029,29,M,Senior,Undeclared,2.98,2020,0,Off-Campus,0,76.7
STU_0030,25,F,Senior,Business,3.35,2023,1,Commuter,0,74.1
STU_0031,23,F,Senior,Business,3.01,2020,0,On-Campus,0,64.4
