trip_id,route,vehicle_type,departure_hour,distance_km,passengers,fare_amount,delay_minutes,day_of_week,is_holiday,weather_condition
T000001,Route_18,Tram,11,12.1,31,8.99,0.2,Fri,0,Snow
T000002,Route_18,Ferry,7,10.1,38,12.4,7.0,Wed,0,Clear
T000003,Route_19,Tram,5,6.6,24,6.09,5.0,Tue,0,Snow
T000004,Route_11,Bus,3,35.3,35,7.07,20.3,Wed,1,Clear
T000005,Route_19,Tram,20,2.4,36,6.88,5.2,Tue,0,Clear
T000006,Route_5,Train,14,4.0,31,14.21,6.4,Sat,1,Rain
T000007,Route_1,Subway,18,34.2,24,12.83,2.5,Fri,0,Clear
T000008,Route_11,Bus,3,35.4,22,4.62,12.0,Sun,0,Rain
T000009,Route_19,Bus,4,15.5,31,6.12,5.3,Wed,0,Rain
T000010,Route_1,Subway,8,22.4,38,14.79,2.9,Thu,0,Clear
T000011,Route_4,Bus,16,23.3,27,1.77,1.2,Tue,0,Clear
T000012,Route_9,Bus,10,17.9,31,11.95,1.1,Wed,0,Clear
T000013,Route_2,Train,22,3.0,26,4.59,0.1,Sun,0,Clear
T000014,Route_11,Tram,8,41.4,24,11.74,15.0,Fri,0,Snow
T000015,Route_8,Train,4,8.9,24,12.03,1.5,Fri,0,Clear
T000016,Route_3,Bus,4,35.2,36,10.55,2.8,Fri,0,Rain
T000017,Route_20,Train,21,32.2,35,9.2,7.6,Fri,0,Clear
T000018,Route_2,Ferry,14,26.2,35,9.22,2.2,Thu,0,Clear
T000019,Route_9,Bus,20,23.1,32,14.69,5.0,Wed,0,Clear
T000020,Route_19,Bus,17,11.1,18,13.76,1.4,Mon,0,Clear
T000021,Route_18,Subway,22,44.2,30,2.99,7.7,Thu,0,Clear
T000022,Route_19,Ferry,21,30.0,32,2.5,2.2,Mon,0,Fog
T000023,Route_8,Train,19,9.0,27,5.87,10.0,Sun,0,Clear
T000024,Route_13,Bus,0,9.0,35,7.05,6.6,Wed,0,Clear
T000025,Route_14,Bus,16,3.5,26,7.31,4.3,Sun,1,Clear
T000026,Route_9,Train,0,6.3,34,12.82,0.7,Sat,0,Clear
T000027,Route_5,Tram,13,15.8,33,10.58,1.9,Fri,0,Clear
T000028,Route_10,Bus,16,25.3,34,13.52,5.2,Tue,0,Clear
T000029,Route_17,Train,21,10.0,27,12.37,1.9,Thu,0,Clear
T000030,Route_13,Train,10,7.3,31,6.83,0.2,Fri,0,Rain
T000031,Route_20,Subway,12,25.7,35,1.85,0.4,Wed,0,Clear
T000032,Route_5,Subway,6,41.6,24,2.07,2.0,Tue,0,Clear
T000033,Route_2,Train,18,28.3,33,8.24,4.0,Sun,0,Clear
T000034,Route_2,Ferry,20,39.9,27,7.58,6.3,Sun,1,Clear
T000035,Route_7,Subway,16,28.2,14,11.57,0.5,Sun,0,Clear
T000036,Route_11,Tram,8,22.9,36,13.81,2.3,Sat,0,Clear
T000037,Route_11,Bus,14,18.4,42,2.53,0.3,Thu,0,Clear
T000038,Route_11,Tram,3,43.8,35,7.26,9.8,Fri,0,Rain
T000039,Route_3,Subway,14,37.9,23,7.14,1.4,Thu,0,Clear
T000040,Route_12,Tram,14,25.1,26,10.15,6.4,Mon,0,Clear
T000041,Route_6,Tram,16,8.3,23,9.56,5.1,Sat,0,Clear
T000042,Route_13,Train,19,3.9,34,1.75,2.3,Mon,0,Clear
T000043,Route_13,Train,17,39.6,27,2.81,2.3,Sun,0,Rain
T000044,Route_17,Train,13,14.2,32,11.4,0.4,Tue,0,Clear
T000045,Route_2,Ferry,13,44.9,35,7.59,5.1,Tue,0,Clear
T000046,Route_5,Ferry,14,1.6,38,1.84,11.1,Sun,0,Rain
T000047,Route_7,Ferry,1,13.1,28,9.48,1.5,Tue,0,Clear
T000048,Route_10,Bus,11,26.5,24,12.76,1.2,Wed,0,Clear
T000049,Route_2,Bus,1,15.2,29,14.7,3.5,Thu,0,Rain
T000050,Route_10,Bus,5,19.1,39,7.54,0.2,Wed,0,Rain
T000051,Route_14,Subway,9,27.4,34,4.1,2.2,Fri,0,Clear
T000052,Route_13,Subway,3,28.1,33,8.11,0.5,Wed,0,Rain
T000053,Route_19,Bus,16,41.9,30,9.22,2.0,Fri,0,Snow
T000054,Route_16,Subway,9,12.4,24,2.8,4.4,Tue,0,Rain
T000055,Route_4,Tram,5,24.9,32,12.01,3.5,Tue,0,Clear
T000056,Route_14,Subway,14,3.6,25,10.16,1.7,Thu,0,Clear
T000057,Route_17,Bus,12,37.5,43,11.39,1.2,Thu,0,Rain
T000058,Route_16,Ferry,1,21.2,34,10.09,2.5,Sun,0,Clear
T000059,Route_2,Subway,14,33.9,31,12.13,21.1,Mon,0,Rain
T000060,Route_20,Train,20,43.4,35,3.35,2.6,Thu,0,Clear
T000061,Route_11,Tram,20,28.7,30,3.8,0.4,Thu,0,Rain
T000062,Route_4,Subway,19,20.4,34,7.02,8.1,Fri,0,Clear
T000063,Route_12,Subway,1,5.5,27,2.43,7.3,Wed,0,Clear
