trip_id,route,vehicle_type,departure_hour,distance_km,passengers,fare_amount,delay_minutes,day_of_week,is_holiday,weather_condition
T000001,Route_14,Subway,21,3.9,37,14.47,5.1,Mon,0,Fog
T000002,Route_4,Ferry,15,12.8,31,7.84,1.5,Wed,0,Clear
T000003,Route_12,Subway,8,15.0,25,8.28,2.5,Fri,0,Clear
T000004,Route_7,Ferry,19,7.8,26,2.6,5.9,Wed,1,Snow
T000005,Route_2,Bus,8,33.8,25,12.67,1.1,Sat,0,Clear
T000006,Route_7,Train,15,2.3,27,12.92,6.8,Mon,0,Clear
T000007,Route_8,Subway,15,18.9,37,14.52,3.6,Sun,0,Rain
T000008,Route_4,Train,2,16.9,27,4.85,3.0,Wed,0,Clear
T000009,Route_13,Ferry,1,11.5,42,3.42,0.5,Tue,0,Clear
T000010,Route_2,Subway,3,30.9,34,8.47,7.6,Sat,0,Clear
T000011,Route_7,Train,19,31.6,31,13.39,2.1,Sat,0,Rain
T000012,Route_7,Tram,3,38.0,31,13.26,3.2,Sat,0,Clear
T000013,Route_4,Ferry,0,10.1,32,6.31,1.1,Sun,0,Clear
T000014,Route_19,Tram,15,35.6,24,4.3,13.8,Thu,0,Clear
T000015,Route_7,Bus,2,32.9,30,10.2,2.4,Wed,1,Clear
T000016,Route_14,Ferry,3,27.6,24,9.53,5.5,Tue,0,Rain
T000017,Route_2,Tram,6,32.9,33,14.59,1.3,Sun,0,Rain
T000018,Route_1,Bus,14,30.4,36,14.88,7.6,Thu,0,Clear
T000019,Route_20,Train,11,19.4,28,3.63,1.4,Sun,0,Clear
T000020,Route_17,Bus,14,28.1,29,6.57,1.1,Mon,0,Clear
T000021,Route_7,Tram,10,33.2,40,7.72,4.6,Thu,0,Fog
T000022,Route_14,Bus,17,36.9,37,7.23,0.0,Wed,0,Clear
T000023,Route_3,Ferry,9,14.6,35,3.09,2.8,Fri,0,Clear
T000024,Route_3,Bus,9,7.2,37,5.9,1.0,Mon,0,Rain
T000025,Route_17,Ferry,18,31.5,45,9.91,1.2,Sun,1,Clear
T000026,Route_3,Bus,22,0.9,35,13.33,5.3,Sun,0,Clear
T000027,Route_7,Train,7,30.2,17,7.49,12.8,Fri,0,Clear
T000028,Route_10,Train,4,31.1,24,8.21,0.1,Sun,1,Rain
T000029,Route_5,Train,7,21.0,32,13.74,3.9,Thu,1,Rain
T000030,Route_13,Ferry,20,9.1,37,1.74,2.5,Mon,0,Clear
T000031,Route_1,Train,13,40.2,33,13.69,0.8,Wed,0,Clear
T000032,Route_10,Subway,0,37.0,36,8.77,1.1,Sun,0,Clear
T000033,Route_1,Train,13,2.9,26,10.29,0.9,Tue,0,Rain
T000034,Route_14,Bus,6,23.2,34,13.52,1.7,Fri,0,Clear
T000035,Route_13,Tram,6,18.7,33,8.96,8.1,Sat,1,Clear
T000036,Route_13,Bus,10,8.0,33,6.61,1.5,Mon,0,Rain
T000037,Route_3,Tram,12,13.5,25,6.85,2.1,Tue,1,Fog
T000038,Route_8,Tram,2,9.5,23,5.63,7.4,Sun,0,Clear
T000039,Route_6,Ferry,22,1.3,27,9.17,0.5,Fri,0,Clear
T000040,Route_7,Subway,6,3.7,31,10.07,5.7,Wed,0,Clear
T000041,Route_20,Train,4,36.2,37,10.17,2.9,Tue,0,Fog
T000042,Route_4,Bus,1,30.5,31,3.95,0.7,Wed,0,Clear
T000043,Route_5,Ferry,16,43.1,37,9.56,14.2,Wed,0,Snow
T000044,Route_4,Tram,1,37.4,32,12.15,34.1,Sat,0,Rain
T000045,Route_17,Tram,7,9.3,27,9.5,0.8,Tue,1,Clear
T000046,Route_11,Bus,17,13.5,29,8.18,0.0,Sun,0,Clear
T000047,Route_6,Subway,20,13.2,32,3.76,6.3,Sat,0,Clear
T000048,Route_6,Tram,15,40.5,33,11.75,8.2,Mon,0,Clear
T000049,Route_20,Ferry,3,21.2,36,6.99,0.9,Thu,0,Rain
T000050,Route_19,Tram,3,39.0,25,5.21,13.6,Fri,0,Snow
T000051,Route_6,Ferry,13,21.0,27,14.83,5.4,Sat,0,Clear
T000052,Route_18,Train,21,44.5,33,11.94,3.4,Tue,0,Clear
T000053,Route_8,Subway,20,11.3,30,4.63,3.0,Fri,0,Snow
T000054,Route_8,Ferry,13,2.6,30,13.98,1.9,Fri,0,Clear
T000055,Route_3,Bus,18,18.6,18,11.51,5.3,Tue,0,Clear
T000056,Route_4,Subway,1,34.7,29,8.91,5.7,Fri,0,Clear
T000057,Route_7,Train,14,42.7,22,6.01,3.9,Tue,0,Clear
T000058,Route_10,Bus,0,22.5,32,12.92,3.9,Thu,0,Clear
T000059,Route_3,Subway,18,13.7,28,7.35,3.7,Tue,0,Clear
T000060,Route_18,Subway,18,4.7,33,2.26,1.6,Mon,0,Clear
T000061,Route_16,Train,8,37.1,26,11.89,9.2,Mon,0,Clear
T000062,Route_17,Bus,17,27.3,34,3.75,0.9,Sun,0,Clear
T000063,Route_10,Train,18,43.2,22,14.77,5.5,Tue,1,Clear
T000064,Route_7,Tram,22,31.3,27,9.79,0.6,Fri,0,Rain
T000065,Route_17,Train,17,19.9,31,5.96,2.3,Sat,0,Clear
T000066,Route_5,Tram,13,12.6,28,10.76,7.8,Fri,0,Rain
T000067,Route_3,Train,11,29.8,27,4.17,1.7,Thu,0,Clear
T000068,Route_5,Tram,4,4.6,21,12.05,4.5,Tue,0,Clear
T000069,Route_11,Ferry,17,22.1,37,9.47,0.0,Thu,0,Clear
T000070,Route_17,Ferry,7,21.2,30,2.11,3.8,Sun,0,Rain
T000071,Route_7,Bus,20,44.9,31,13.57,1.7,Mon,1,Clear
T000072,Route_4,Bus,16,29.0,40,7.71,9.8,Sat,0,Snow
T000073,Route_2,Train,19,16.3,30,10.0,4.9,Mon,0,Clear
T000074,Route_13,Ferry,1,41.0,28,2.31,4.1,Sun,0,Clear
T000075,Route_20,Bus,4,15.5,34,5.94,5.3,Tue,0,Clear
T000076,Route_6,Bus,8,5.2,32,3.99,5.0,Sat,0,Clear
T000077,Route_9,Bus,18,14.1,36,11.39,4.7,Mon,1,Snow
T000078,Route_1,Ferry,3,15.2,23,4.39,4.2,Tue,1,Clear
T000079,Route_10,Subway,8,23.9,36,3.5,12.9,Tue,0,Clear
T000080,Route_4,Tram,9,28.4,38,9.82,3.6,Wed,0,Clear
T000081,Route_9,Subway,13,22.5,22,2.25,3.5,Sun,0,Rain
T000082,Route_10,Bus,3,33.4,34,13.34,1.1,Thu,0,Clear
T000083,Route_9,Train,9,18.7,27,14.1,5.3,Tue,0,Rain
T000084,Route_3,Tram,8,37.3,28,4.2,5.2,Tue,0,Snow
T000085,Route_16,Tram,17,22.5,26,12.25,10.5,Sat,0,Clear
T000086,Route_2,Subway,20,17.7,28,5.23,5.4,Sat,0,Clear
T000087,Route_5,Tram,19,5.9,30,12.42,3.0,Wed,0,Rain
T000088,Route_20,Ferry,16,32.0,37,3.2,6.8,Mon,0,Clear
T000089,Route_6,Ferry,5,40.0,24,5.38,6.5,Wed,0,Snow
T000090,Route_17,Tram,11,34.3,45,4.33,16.1,Thu,0,Rain
T000091,Route_17,Ferry,12,14.4,23,12.22,0.6,Tue,0,Rain
T000092,Route_8,Train,15,32.1,32,9.34,0.4,Fri,0,Clear
T000093,Route_19,Bus,5,44.0,29,9.21,4.0,Fri,0,Clear
T000094,Route_17,Bus,10,18.3,31,4.09,2.3,Fri,0,Fog
T000095,Route_14,Bus,0,43.1,27,4.13,0.4,Sun,0,Rain
T000096,Route_3,Ferry,20,11.9,33,5.49,1.7,Fri,0,Clear
T000097,Route_14,Tram,7,25.9,37,7.74,10.3,Tue,0,Rain
T000098,Route_16,Bus,6,9.1,27,7.91,14.5,Sun,0,Clear
T000099,Route_17,Bus,10,44.9,35,8.19,0.8,Mon,0,Snow
T000100,Route_18,Tram,7,36.1,33,13.4,11.2,Wed,0,Clear
T000101,Route_6,Subway,9,32.5,28,6.13,6.8,Sun,0,Rain
T000102,Route_7,Bus,12,17.2,34,1.54,9.0,Tue,0,Rain
T000103,Route_6,Tram,0,34.8,35,2.71,13.8,Sat,1,Snow
T000104,Route_7,Ferry,2,5.4,27,12.04,1.3,Sat,0,Clear
T000105,Route_1,Subway,13,38.6,36,11.78,1.2,Sun,0,Clear
T000106,Route_3,Subway,0,31.4,22,8.71,4.7,Sun,0,Rain
T000107,Route_1,Ferry,8,9.0,33,4.59,8.2,Fri,0,Clear
T000108,Route_1,Ferry,2,27.7,29,9.9,2.7,Mon,0,Clear
T000109,Route_6,Bus,22,2.6,27,11.16,0.1,Sun,0,Clear
T000110,Route_19,Bus,5,21.9,34,11.58,0.3,Sun,0,Rain
T000111,Route_17,Tram,3,11.0,22,7.47,7.9,Wed,0,Fog
T000112,Route_10,Train,19,15.3,30,5.3,1.0,Thu,0,Clear
T000113,Route_6,Tram,15,41.9,31,14.54,7.1,Thu,0,Clear
T000114,Route_9,Ferry,13,6.9,28,12.62,5.5,Sun,0,Clear
T000115,Route_6,Bus,9,3.9,20,3.1,0.4,Mon,0,Clear
T000116,Route_18,Tram,10,40.9,26,11.49,1.3,Mon,0,Clear
T000117,Route_11,Ferry,1,22.5,28,6.62,0.8,Tue,0,Clear
T000118,Route_19,Tram,9,6.5,29,14.58,3.2,Sat,0,Clear
T000119,Route_17,Subway,16,18.3,28,10.35,3.1,Fri,0,Clear
T000120,Route_20,Train,17,33.4,33,8.36,3.7,Tue,0,Clear
T000121,Route_9,Subway,11,19.9,37,13.49,13.9,Mon,0,Clear
T000122,Route_2,Train,7,44.8,36,12.96,0.2,Thu,0,Clear
T000123,Route_19,Tram,4,13.2,21,8.13,3.8,Mon,0,Clear
T000124,Route_19,Train,3,31.6,26,4.96,5.0,Sat,0,Clear
T000125,Route_3,Ferry,10,9.0,35,14.16,0.8,Sat,1,Rain
T000126,Route_10,Train,8,24.6,29,8.89,2.0,Thu,0,Clear
T000127,Route_9,Train,12,34.4,32,5.45,2.9,Sat,0,Clear
T000128,Route_12,Subway,2,13.8,31,4.62,11.6,Mon,0,Clear
T000129,Route_11,Train,18,11.6,25,9.84,0.0,Wed,0,Clear
T000130,Route_4,Subway,7,11.5,28,11.61,0.7,Tue,0,Rain
T000131,Route_5,Subway,13,35.6,24,10.29,5.2,Tue,0,Rain
T000132,Route_2,Ferry,10,17.9,28,13.49,10.5,Wed,0,Clear
T000133,Route_7,Ferry,7,14.1,34,8.32,0.0,Thu,0,Clear
