trip_id,route,vehicle_type,departure_hour,distance_km,passengers,fare_amount,delay_minutes,day_of_week,is_holiday,weather_condition
T000001,Route_11,Tram,5,44.3,25,10.6,16.9,Sun,0,Clear
T000002,Route_15,Ferry,21,36.5,30,2.4,7.0,Wed,0,Clear
T000003,Route_4,Train,8,9.1,27,2.48,3.9,Wed,0,Clear
T000004,Route_20,Subway,16,13.0,32,9.62,13.9,Wed,0,Clear
T000005,Route_16,Train,0,41.8,26,3.34,6.3,Mon,1,Rain
T000006,Route_19,Ferry,18,43.4,18,1.64,4.9,Sat,0,Rain
T000007,Route_7,Bus,3,40.5,16,13.21,2.5,Sat,0,Clear
T000008,Route_4,Tram,21,41.3,28,6.28,8.0,Mon,0,Snow
T000009,Route_17,Subway,4,27.5,30,12.42,1.5,Sun,0,Clear
T000010,Route_4,Subway,5,35.6,26,6.2,2.3,Mon,1,Clear
T000011,Route_12,Bus,11,11.4,40,2.64,5.8,Mon,0,Rain
T000012,Route_15,Tram,17,30.0,30,14.47,3.8,Thu,0,Rain
T000013,Route_15,Train,3,43.6,25,10.9,1.9,Mon,0,Clear
T000014,Route_8,Tram,0,6.4,35,11.08,24.4,Fri,0,Clear
T000015,Route_19,Subway,17,31.0,33,3.66,7.1,Fri,0,Rain
T000016,Route_20,Bus,14,36.1,31,14.64,2.4,Tue,0,Clear
T000017,Route_3,Bus,11,9.9,19,9.54,2.4,Mon,0,Clear
T000018,Route_13,Tram,1,1.1,32,4.28,0.5,Wed,0,Rain
T000019,Route_9,Train,16,8.3,32,9.94,3.8,Tue,0,Clear
T000020,Route_19,Tram,16,42.6,27,1.87,7.3,Fri,0,Rain
T000021,Route_4,Bus,8,35.4,29,9.81,12.5,Mon,0,Clear
T000022,Route_16,Train,5,6.8,32,7.69,1.7,Thu,0,Fog
T000023,Route_20,Bus,8,6.7,26,7.77,1.9,Tue,0,Clear
T000024,Route_15,Train,8,16.3,32,2.18,1.9,Wed,0,Fog
T000025,Route_16,Bus,2,29.3,24,10.69,6.0,Thu,0,Clear
T000026,Route_1,Train,3,16.9,36,3.59,2.7,Tue,0,Clear
T000027,Route_13,Ferry,5,7.3,32,14.61,8.7,Sun,0,Clear
T000028,Route_17,Bus,13,41.2,29,8.64,0.8,Fri,0,Clear
T000029,Route_7,Train,20,8.1,28,9.27,3.0,Sun,0,Rain
T000030,Route_7,Bus,16,0.6,29,3.47,9.9,Sun,0,Clear
T000031,Route_9,Bus,20,17.4,25,8.99,0.4,Tue,0,Clear
T000032,Route_20,Ferry,11,34.0,23,14.99,1.2,Wed,0,Clear
T000033,Route_7,Ferry,19,20.4,36,5.91,2.2,Wed,0,Rain
T000034,Route_19,Tram,20,39.1,30,4.58,5.1,Wed,0,Rain
T000035,Route_2,Train,6,17.0,39,14.89,4.3,Wed,0,Rain
T000036,Route_9,Subway,6,26.4,24,11.3,20.8,Sat,1,Clear
T000037,Route_4,Tram,8,33.5,31,6.27,6.0,Thu,0,Clear
T000038,Route_11,Train,1,16.9,26,6.83,6.6,Sat,0,Rain
T000039,Route_3,Tram,2,42.0,29,8.7,2.4,Fri,0,Clear
T000040,Route_13,Subway,10,18.7,23,2.55,2.6,Sat,0,Snow
T000041,Route_3,Tram,8,21.6,25,10.96,1.1,Fri,0,Clear
T000042,Route_6,Bus,8,34.3,38,14.35,2.1,Sun,0,Clear
T000043,Route_16,Subway,9,11.3,20,3.6,5.8,Wed,0,Clear
T000044,Route_17,Tram,11,43.1,30,13.45,0.2,Fri,0,Rain
T000045,Route_1,Bus,7,12.0,32,4.68,5.2,Tue,0,Fog
T000046,Route_2,Subway,11,36.9,32,5.63,11.1,Wed,0,Rain
T000047,Route_11,Train,10,20.1,32,4.95,2.4,Sun,1,Clear
T000048,Route_3,Bus,2,32.6,17,3.21,13.6,Wed,0,Clear
T000049,Route_4,Bus,7,3.6,23,11.14,1.6,Wed,1,Clear
T000050,Route_1,Train,17,37.8,37,11.13,3.6,Fri,0,Clear
T000051,Route_7,Train,20,31.0,35,8.83,9.2,Sun,0,Rain
T000052,Route_16,Subway,9,9.4,38,9.64,11.2,Mon,0,Clear
T000053,Route_9,Bus,21,20.0,30,13.49,10.4,Mon,0,Rain
T000054,Route_20,Subway,11,38.9,24,4.09,0.8,Thu,0,Clear
T000055,Route_6,Tram,22,5.8,29,3.42,9.9,Mon,0,Rain
T000056,Route_3,Bus,2,5.9,33,2.24,12.6,Wed,0,Clear
T000057,Route_7,Subway,10,16.0,40,3.21,5.7,Thu,1,Rain
T000058,Route_2,Subway,3,33.0,27,7.68,4.6,Mon,0,Clear
T000059,Route_20,Bus,1,41.2,29,11.43,1.3,Sat,0,Clear
T000060,Route_3,Bus,8,29.3,28,11.07,16.5,Wed,0,Clear
T000061,Route_3,Bus,11,14.9,30,8.79,8.8,Mon,0,Clear
T000062,Route_7,Train,2,16.3,27,6.3,6.2,Mon,0,Clear
T000063,Route_3,Subway,6,32.9,36,4.6,3.9,Sat,0,Clear
T000064,Route_9,Subway,21,41.2,28,14.59,2.1,Sun,0,Rain
T000065,Route_8,Ferry,10,38.4,28,1.95,15.3,Wed,0,Clear
T000066,Route_1,Tram,3,35.9,30,12.27,0.3,Wed,0,Snow
T000067,Route_5,Bus,18,5.4,29,1.86,0.2,Sun,0,Clear
T000068,Route_15,Ferry,13,44.6,30,14.36,1.2,Tue,0,Rain
T000069,Route_10,Tram,18,44.3,17,2.18,6.4,Sat,0,Fog
T000070,Route_1,Tram,16,20.6,42,3.55,2.5,Sat,1,Clear
T000071,Route_4,Subway,19,27.7,28,5.82,1.2,Wed,0,Clear
T000072,Route_18,Tram,0,29.1,28,2.01,4.4,Thu,0,Clear
T000073,Route_12,Bus,8,22.9,32,13.67,12.1,Tue,0,Fog
T000074,Route_5,Tram,12,15.6,41,8.01,5.0,Tue,0,Clear
T000075,Route_13,Tram,13,24.1,24,11.53,1.0,Tue,0,Rain
T000076,Route_3,Bus,14,42.2,23,14.68,2.2,Mon,0,Clear
T000077,Route_18,Ferry,19,40.5,31,3.67,6.7,Tue,0,Clear
