trip_id,route,vehicle_type,departure_hour,distance_km,passengers,fare_amount,delay_minutes,day_of_week,is_holiday,weather_condition
T000001,Route_20,Train,4,15.5,33,9.77,2.9,Thu,0,Clear
T000002,Route_19,Subway,3,14.7,29,2.42,0.4,Tue,0,Clear
T000003,Route_19,Train,9,25.4,28,10.15,3.8,Mon,0,Clear
T000004,Route_16,Tram,6,27.5,31,6.13,3.0,Fri,0,Clear
T000005,Route_18,Bus,0,33.7,33,8.43,9.5,Fri,0,Clear
T000006,Route_16,Train,12,28.5,30,3.93,3.7,Tue,0,Rain
T000007,Route_8,Subway,0,37.0,40,6.93,3.9,Sat,0,Clear
T000008,Route_19,Tram,16,43.8,31,7.51,6.3,Mon,0,Clear
T000009,Route_4,Ferry,16,9.5,25,2.68,4.3,Sun,0,Clear
T000010,Route_18,Subway,2,12.0,32,6.51,0.7,Thu,0,Clear
T000011,Route_2,Subway,11,0.7,25,2.9,9.8,Wed,0,Rain
T000012,Route_8,Bus,2,11.7,28,14.75,14.4,Fri,0,Rain
T000013,Route_5,Subway,20,15.7,30,12.52,6.1,Thu,0,Clear
T000014,Route_14,Ferry,11,6.4,20,14.71,1.1,Fri,0,Rain
T000015,Route_12,Subway,14,28.7,21,9.51,5.1,Sat,0,Clear
T000016,Route_19,Train,5,31.4,29,2.82,3.0,Thu,0,Snow
T000017,Route_19,Subway,13,19.7,32,6.63,15.7,Fri,0,Rain
T000018,Route_15,Train,12,3.7,29,10.17,3.6,Tue,0,Clear
T000019,Route_4,Train,21,35.0,27,13.13,1.1,Fri,0,Clear
T000020,Route_3,Ferry,3,21.5,21,11.18,2.8,Tue,0,Clear
T000021,Route_19,Subway,11,9.7,19,2.37,6.7,Sat,0,Rain
T000022,Route_14,Subway,11,16.8,37,3.31,1.2,Sun,0,Clear
T000023,Route_7,Ferry,14,8.5,29,4.35,7.2,Thu,0,Clear
T000024,Route_6,Subway,18,10.2,30,6.6,5.1,Tue,1,Clear
T000025,Route_14,Tram,22,43.5,32,10.38,1.3,Wed,0,Clear
T000026,Route_6,Tram,1,9.8,19,2.76,2.9,Tue,0,Rain
T000027,Route_16,Ferry,21,43.0,25,14.38,1.1,Fri,0,Clear
T000028,Route_13,Subway,7,14.6,24,8.17,9.0,Thu,0,Clear
T000029,Route_20,Train,22,43.6,32,12.71,14.5,Thu,0,Rain
T000030,Route_19,Bus,16,7.2,25,5.15,0.1,Wed,0,Clear
T000031,Route_11,Tram,20,5.3,31,3.51,7.0,Sat,0,Clear
T000032,Route_12,Tram,19,31.9,37,4.56,1.6,Thu,1,Rain
T000033,Route_8,Bus,17,1.6,32,13.5,3.5,Sat,0,Clear
T000034,Route_16,Train,21,29.5,31,11.18,1.1,Wed,1,Fog
T000035,Route_12,Subway,22,2.3,29,9.52,0.8,Mon,0,Clear
T000036,Route_10,Ferry,20,38.8,33,12.7,0.6,Sat,0,Rain
T000037,Route_10,Bus,22,23.6,27,3.83,2.2,Sat,0,Clear
T000038,Route_18,Train,22,6.0,35,4.46,3.8,Wed,0,Clear
T000039,Route_20,Bus,10,11.4,32,11.75,4.3,Wed,0,Clear
T000040,Route_10,Tram,0,11.3,32,7.09,0.1,Tue,0,Rain
T000041,Route_12,Ferry,20,41.8,27,12.9,1.0,Fri,0,Rain
T000042,Route_5,Bus,17,18.8,35,4.65,9.7,Fri,0,Rain
T000043,Route_13,Ferry,19,16.2,30,5.58,2.3,Thu,0,Clear
T000044,Route_18,Bus,20,38.5,36,4.95,0.7,Fri,0,Rain
T000045,Route_7,Train,15,22.4,28,13.26,2.4,Sun,0,Clear
T000046,Route_2,Subway,7,13.8,32,3.96,2.7,Wed,0,Clear
