trip_id,route,vehicle_type,departure_hour,distance_km,passengers,fare_amount,delay_minutes,day_of_week,is_holiday,weather_condition
T000001,Route_2,Ferry,15,16.8,26,8.36,3.2,Sun,0,Clear
T000002,Route_12,Tram,6,30.3,24,13.6,4.3,Sat,0,Clear
T000003,Route_5,Ferry,4,4.6,39,14.08,2.0,Tue,0,Clear
T000004,Route_18,Bus,13,19.2,31,7.48,3.6,Fri,0,Clear
T000005,Route_2,Ferry,18,8.5,32,11.93,24.3,Sun,0,Snow
T000006,Route_14,Tram,21,41.0,29,10.61,0.1,Mon,1,Clear
T000007,Route_5,Subway,20,15.9,24,5.97,12.7,Fri,0,Clear
T000008,Route_6,Tram,11,37.8,27,2.69,4.7,Sun,0,Clear
T000009,Route_6,Train,6,39.2,27,4.61,4.5,Sat,0,Clear
T000010,Route_15,Ferry,20,11.5,34,2.81,1.8,Thu,0,Rain
T000011,Route_6,Tram,21,10.2,32,5.88,1.2,Tue,1,Rain
T000012,Route_14,Bus,3,21.9,25,12.43,2.1,Fri,0,Clear
T000013,Route_11,Ferry,1,44.9,31,7.75,2.1,Sun,0,Clear
T000014,Route_14,Bus,18,2.9,34,12.86,0.3,Thu,0,Snow
T000015,Route_20,Ferry,11,29.0,31,12.9,9.9,Sat,0,Rain
T000016,Route_17,Ferry,6,9.3,23,3.26,8.3,Tue,1,Rain
T000017,Route_14,Ferry,12,32.5,20,8.35,7.9,Thu,0,Rain
T000018,Route_15,Bus,2,21.6,30,6.75,5.9,Sun,0,Rain
T000019,Route_7,Subway,0,14.6,35,5.17,0.5,Thu,0,Rain
T000020,Route_7,Tram,22,39.5,23,12.87,7.1,Fri,0,Clear
T000021,Route_16,Tram,6,33.1,28,9.36,0.4,Tue,0,Clear
T000022,Route_14,Bus,9,33.9,36,10.87,2.8,Wed,0,Clear
T000023,Route_16,Ferry,4,3.2,22,7.57,17.3,Tue,0,Clear
T000024,Route_15,Bus,14,32.5,25,4.57,5.2,Sat,0,Clear
T000025,Route_19,Subway,8,18.8,30,13.13,2.6,Wed,0,Rain
T000026,Route_3,Train,22,10.6,38,2.85,14.8,Sun,0,Snow
T000027,Route_11,Train,14,22.9,27,3.08,0.9,Thu,0,Clear
T000028,Route_2,Subway,19,37.0,31,14.26,1.6,Sat,0,Clear
T000029,Route_15,Tram,11,35.4,26,14.84,13.4,Sun,0,Clear
T000030,Route_6,Train,7,23.0,35,4.73,12.7,Mon,0,Clear
T000031,Route_9,Train,11,5.7,30,4.92,5.2,Tue,0,Snow
T000032,Route_16,Tram,0,13.6,33,8.45,6.3,Wed,0,Clear
T000033,Route_15,Ferry,15,17.2,26,14.19,8.8,Thu,1,Rain
T000034,Route_16,Ferry,2,1.1,29,6.21,3.6,Sat,1,Clear
T000035,Route_15,Ferry,1,1.6,27,3.19,0.4,Thu,0,Rain
T000036,Route_4,Tram,6,28.6,45,7.58,3.6,Fri,0,Rain
T000037,Route_9,Subway,21,30.7,25,9.72,0.0,Sun,0,Clear
T000038,Route_15,Tram,3,23.0,31,10.68,1.6,Fri,1,Clear
T000039,Route_7,Ferry,15,1.1,35,5.18,12.9,Wed,0,Clear
T000040,Route_5,Ferry,20,5.1,31,11.6,3.1,Mon,0,Rain
T000041,Route_7,Ferry,17,31.4,27,12.22,1.0,Fri,0,Clear
T000042,Route_11,Train,13,14.9,30,10.71,6.3,Tue,1,Rain
T000043,Route_15,Train,12,15.6,32,2.44,5.3,Thu,0,Clear
T000044,Route_15,Ferry,0,40.5,28,10.62,5.9,Wed,0,Clear
T000045,Route_2,Ferry,9,29.4,29,7.69,1.9,Tue,0,Clear
T000046,Route_15,Tram,16,19.7,39,9.9,1.1,Wed,0,Rain
T000047,Route_10,Bus,19,1.0,42,2.83,6.0,Fri,0,Rain
T000048,Route_1,Tram,3,16.1,37,5.48,2.8,Tue,0,Clear
T000049,Route_7,Train,22,15.9,23,2.65,5.5,Mon,0,Rain
T000050,Route_16,Train,20,7.4,32,10.91,3.5,Tue,0,Clear
T000051,Route_1,Bus,12,30.1,28,3.94,13.5,Wed,0,Clear
T000052,Route_20,Subway,2,44.7,30,7.43,3.2,Fri,0,Clear
T000053,Route_2,Tram,16,27.3,36,9.53,3.4,Thu,0,Clear
T000054,Route_2,Bus,10,27.5,27,1.7,7.1,Mon,0,Clear
T000055,Route_6,Bus,5,36.9,32,4.99,10.5,Mon,0,Clear
T000056,Route_18,Bus,1,13.9,22,3.55,2.9,Thu,0,Rain
T000057,Route_6,Ferry,20,16.9,22,4.41,1.6,Mon,0,Clear
T000058,Route_2,Train,14,19.7,33,14.25,0.4,Sun,0,Clear
T000059,Route_1,Tram,6,26.6,25,6.44,2.0,Thu,0,Rain
T000060,Route_10,Subway,16,4.0,31,7.96,4.6,Wed,0,Clear
T000061,Route_7,Tram,22,40.3,29,6.49,0.0,Sat,1,Clear
