trip_id,route,vehicle_type,departure_hour,distance_km,passengers,fare_amount,delay_minutes,day_of_week,is_holiday,weather_condition
T000001,Route_14,Subway,3,18.0,26,2.78,4.2,Wed,0,Clear
T000002,Route_10,Subway,16,33.8,33,14.81,0.1,Wed,0,Clear
T000003,Route_4,Train,3,43.5,29,10.93,2.7,Mon,0,Clear
T000004,Route_18,Subway,6,15.7,26,11.97,1.7,Thu,0,Clear
T000005,Route_2,Tram,6,20.1,29,14.18,7.4,Sat,0,Clear
T000006,Route_19,Tram,8,22.9,25,9.32,1.7,Sun,0,Rain
T000007,Route_4,Subway,7,18.0,32,13.38,1.9,Fri,0,Fog
T000008,Route_12,Tram,22,5.7,28,2.96,15.2,Sat,0,Rain
T000009,Route_4,Tram,0,32.6,29,10.57,4.7,Mon,0,Clear
T000010,Route_16,Train,6,30.9,25,4.05,5.2,Sat,0,Clear
T000011,Route_19,Bus,11,3.3,30,3.38,3.2,Wed,0,Rain
T000012,Route_13,Tram,1,17.8,30,4.25,3.1,Sat,1,Clear
T000013,Route_10,Subway,19,41.6,28,9.41,0.5,Sun,0,Clear
T000014,Route_13,Ferry,13,15.4,34,2.03,1.5,Sat,0,Rain
T000015,Route_19,Train,21,38.6,32,7.77,14.1,Fri,0,Clear
T000016,Route_10,Bus,6,12.4,35,14.91,10.7,Fri,0,Clear
T000017,Route_20,Subway,17,1.7,34,2.14,1.6,Fri,0,Clear
T000018,Route_12,Subway,9,36.4,20,14.2,8.8,Wed,0,Clear
T000019,Route_10,Train,20,1.4,31,6.06,5.1,Mon,0,Rain
T000020,Route_1,Bus,17,28.8,24,14.46,1.5,Wed,1,Clear
T000021,Route_2,Ferry,10,11.5,34,12.8,4.9,Wed,0,Fog
T000022,Route_5,Ferry,1,31.2,27,5.99,4.7,Tue,1,Clear
T000023,Route_16,Train,21,19.6,31,2.82,3.6,Wed,0,Rain
T000024,Route_17,Bus,0,15.5,33,10.93,7.8,Thu,0,Clear
T000025,Route_6,Ferry,17,29.5,39,14.71,2.6,Thu,0,Fog
T000026,Route_10,Tram,7,32.2,28,2.36,1.6,Wed,0,Clear
T000027,Route_11,Ferry,18,0.8,26,9.51,3.9,Sun,0,Clear
T000028,Route_20,Train,20,32.3,21,2.49,2.7,Sun,0,Rain
T000029,Route_1,Train,12,27.6,34,8.77,10.4,Wed,0,Clear
T000030,Route_11,Subway,3,5.6,33,8.96,0.4,Tue,1,Rain
T000031,Route_4,Bus,4,15.6,25,4.69,2.2,Sat,1,Clear
T000032,Route_14,Ferry,4,11.3,38,6.88,6.8,Tue,1,Clear
T000033,Route_19,Tram,5,20.3,28,7.41,2.7,Sat,0,Clear
T000034,Route_6,Train,0,24.6,33,11.47,5.4,Fri,0,Clear
T000035,Route_17,Tram,0,36.2,44,5.85,4.6,Thu,0,Fog
T000036,Route_4,Tram,3,19.2,31,10.21,9.1,Tue,0,Clear
T000037,Route_1,Tram,1,20.0,28,2.83,2.4,Tue,0,Clear
T000038,Route_16,Subway,20,21.0,31,7.39,0.1,Sun,0,Clear
T000039,Route_7,Ferry,7,18.7,33,6.55,5.0,Tue,0,Snow
T000040,Route_8,Train,8,19.5,30,13.88,1.0,Fri,0,Clear
T000041,Route_8,Tram,2,14.9,20,8.29,4.3,Wed,0,Rain
T000042,Route_20,Ferry,19,37.6,32,7.29,2.1,Mon,0,Clear
T000043,Route_16,Tram,1,20.1,31,9.75,4.9,Mon,0,Clear
T000044,Route_7,Bus,8,20.6,31,1.97,0.9,Mon,0,Clear
T000045,Route_16,Tram,15,3.4,30,3.77,10.6,Tue,0,Snow
T000046,Route_3,Subway,0,44.5,40,7.56,1.4,Mon,0,Clear
T000047,Route_3,Bus,2,6.2,37,3.65,3.5,Mon,1,Clear
T000048,Route_8,Subway,20,30.0,35,10.47,0.4,Tue,0,Rain
T000049,Route_4,Train,17,2.4,31,14.52,4.6,Wed,0,Clear
T000050,Route_5,Train,19,7.5,34,11.11,2.2,Thu,0,Rain
T000051,Route_14,Train,20,1.6,24,14.34,2.7,Wed,0,Rain
T000052,Route_19,Ferry,13,13.2,29,4.95,2.3,Sat,1,Rain
T000053,Route_10,Ferry,20,8.5,36,3.17,8.4,Wed,0,Snow
T000054,Route_2,Subway,19,42.6,39,11.42,4.2,Mon,0,Snow
T000055,Route_5,Train,2,6.6,31,12.87,8.3,Mon,0,Clear
T000056,Route_2,Subway,11,19.1,31,3.6,2.3,Sat,0,Clear
T000057,Route_18,Subway,3,24.2,22,2.85,6.2,Tue,0,Clear
T000058,Route_1,Ferry,1,17.0,19,14.71,11.4,Fri,0,Rain
T000059,Route_14,Bus,21,7.5,31,9.0,0.7,Sat,0,Rain
T000060,Route_11,Subway,10,26.5,33,12.61,0.2,Thu,0,Fog
T000061,Route_15,Tram,4,22.1,28,5.0,4.4,Thu,0,Snow
T000062,Route_19,Bus,7,33.7,43,6.85,5.8,Mon,0,Clear
T000063,Route_4,Tram,13,39.2,23,2.35,2.6,Wed,0,Clear
T000064,Route_19,Bus,11,42.5,21,12.32,2.3,Sun,0,Rain
T000065,Route_20,Bus,19,3.8,30,11.58,22.5,Thu,0,Clear
T000066,Route_11,Train,9,39.1,38,2.5,6.6,Fri,1,Snow
T000067,Route_20,Bus,21,2.1,30,12.98,6.3,Sun,0,Rain
T000068,Route_7,Tram,22,26.1,25,2.72,0.3,Tue,0,Rain
T000069,Route_1,Train,21,11.4,42,12.61,0.3,Thu,0,Clear
T000070,Route_16,Tram,21,16.0,29,12.38,0.8,Tue,0,Clear
T000071,Route_13,Bus,15,14.4,37,2.86,2.8,Sat,0,Clear
T000072,Route_11,Tram,20,5.1,31,12.45,11.1,Fri,0,Rain
T000073,Route_8,Ferry,17,3.3,22,3.25,10.9,Sun,0,Clear
T000074,Route_15,Train,4,44.8,33,9.58,22.8,Thu,0,Clear
T000075,Route_7,Tram,12,27.3,21,12.36,0.7,Sun,0,Clear
T000076,Route_1,Tram,1,29.0,38,6.64,10.1,Wed,0,Clear
T000077,Route_15,Subway,0,17.2,40,13.75,2.5,Sat,0,Clear
T000078,Route_2,Bus,11,2.6,25,9.92,3.2,Sat,0,Rain
T000079,Route_15,Train,0,27.0,38,8.24,10.5,Tue,0,Clear
T000080,Route_10,Train,15,31.2,29,9.04,4.6,Thu,0,Snow
T000081,Route_16,Tram,19,2.1,31,8.11,5.8,Sat,0,Snow
T000082,Route_7,Tram,20,43.2,36,5.33,3.6,Wed,1,Rain
T000083,Route_1,Subway,11,15.5,39,1.5,0.2,Mon,0,Rain
T000084,Route_1,Train,2,12.9,25,13.74,3.8,Fri,0,Clear
T000085,Route_17,Tram,13,22.8,35,4.5,8.3,Wed,0,Clear
T000086,Route_16,Tram,0,31.0,29,2.93,7.4,Sat,0,Fog
T000087,Route_13,Train,21,27.1,30,6.01,0.5,Sun,0,Rain
T000088,Route_13,Train,15,32.7,30,6.33,5.7,Sun,0,Rain
T000089,Route_1,Bus,16,38.5,30,9.11,2.7,Sat,0,Clear
T000090,Route_7,Train,2,27.0,29,11.61,1.5,Wed,0,Clear
T000091,Route_13,Bus,1,28.5,22,11.54,10.3,Sat,0,Fog
T000092,Route_6,Subway,22,16.7,20,14.6,2.5,Thu,0,Rain
T000093,Route_11,Train,6,27.8,30,1.58,4.6,Sun,0,Clear
T000094,Route_6,Bus,15,1.7,29,14.6,0.7,Sat,0,Clear
T000095,Route_1,Tram,5,35.3,29,10.81,7.4,Wed,0,Clear
T000096,Route_10,Train,13,8.8,29,13.28,3.6,Sat,0,Clear
T000097,Route_14,Train,5,7.5,26,6.84,2.9,Sat,0,Rain
T000098,Route_7,Ferry,1,23.2,35,4.93,9.9,Sat,0,Clear
T000099,Route_11,Ferry,5,3.6,31,8.69,2.0,Thu,0,Clear
T000100,Route_19,Subway,2,8.5,24,7.84,6.2,Wed,0,Rain
T000101,Route_15,Tram,21,19.3,29,10.88,5.0,Sun,0,Rain
T000102,Route_9,Ferry,8,9.0,28,12.27,10.6,Sun,1,Clear
T000103,Route_4,Subway,4,40.4,31,13.87,4.1,Thu,0,Clear
T000104,Route_15,Bus,7,35.1,34,9.53,0.6,Sun,0,Clear
T000105,Route_20,Bus,6,4.6,36,6.4,0.3,Thu,0,Clear
T000106,Route_11,Bus,8,1.9,24,7.2,3.0,Mon,1,Snow
T000107,Route_5,Train,1,29.8,33,8.88,4.8,Mon,0,Snow
T000108,Route_1,Tram,11,6.5,32,8.94,3.1,Thu,0,Snow
T000109,Route_9,Train,10,10.9,31,8.94,6.9,Tue,0,Clear
T000110,Route_13,Subway,3,14.9,21,13.74,11.5,Sat,0,Clear
T000111,Route_5,Tram,8,26.4,28,12.1,1.1,Wed,0,Rain
T000112,Route_7,Subway,14,1.3,35,14.57,11.1,Sun,0,Clear
T000113,Route_4,Train,15,38.5,31,3.52,10.2,Sat,0,Clear
T000114,Route_8,Bus,19,11.3,28,13.44,15.3,Tue,0,Clear
T000115,Route_7,Ferry,4,17.8,28,12.05,1.5,Mon,0,Rain
T000116,Route_5,Train,1,16.9,32,13.31,0.1,Fri,0,Rain
T000117,Route_7,Subway,4,38.2,30,5.56,12.0,Fri,0,Clear
T000118,Route_11,Ferry,5,37.7,17,10.01,6.2,Wed,0,Rain
T000119,Route_16,Tram,0,37.4,22,3.81,2.2,Tue,0,Rain
T000120,Route_10,Bus,14,12.0,36,13.72,6.3,Wed,0,Snow
T000121,Route_19,Bus,0,10.8,24,6.02,2.8,Tue,1,Fog
T000122,Route_16,Subway,14,38.5,28,8.73,3.1,Fri,0,Rain
T000123,Route_5,Bus,15,22.5,38,12.61,4.2,Sun,0,Snow
T000124,Route_5,Subway,1,11.7,29,11.87,2.7,Fri,0,Clear
T000125,Route_11,Train,8,5.5,42,6.92,2.1,Sat,0,Rain
T000126,Route_20,Ferry,13,22.8,32,13.5,4.8,Sat,0,Fog
T000127,Route_14,Tram,8,8.8,33,11.83,2.5,Sun,0,Rain
T000128,Route_3,Tram,15,12.1,35,6.7,0.6,Fri,0,Clear
T000129,Route_5,Tram,6,44.7,30,3.74,8.2,Wed,0,Snow
T000130,Route_5,Train,15,12.0,31,5.34,0.0,Mon,0,Clear
T000131,Route_8,Tram,6,41.0,32,8.03,2.4,Tue,0,Clear
T000132,Route_9,Subway,18,42.6,23,12.25,7.5,Thu,0,Rain
T000133,Route_16,Tram,21,35.6,31,1.93,1.4,Wed,0,Rain
T000134,Route_1,Bus,8,30.0,25,13.26,10.8,Tue,1,Snow
T000135,Route_18,Train,10,40.7,27,11.95,6.2,Fri,0,Rain
T000136,Route_3,Tram,1,9.3,30,13.79,3.8,Thu,1,Clear
T000137,Route_13,Subway,1,11.0,42,10.18,0.6,Tue,0,Clear
T000138,Route_12,Bus,10,2.7,32,2.59,1.0,Sat,0,Clear
T000139,Route_16,Subway,9,3.6,40,5.46,0.8,Fri,0,Clear
T000140,Route_16,Bus,6,12.4,22,14.55,4.0,Wed,0,Clear
T000141,Route_20,Ferry,12,24.8,35,2.43,3.7,Sat,0,Clear
T000142,Route_14,Train,0,6.8,41,2.33,0.5,Sat,0,Clear
T000143,Route_19,Ferry,9,11.6,28,1.66,3.8,Mon,0,Rain
T000144,Route_5,Train,21,10.7,40,13.11,1.1,Fri,0,Rain
T000145,Route_19,Bus,4,42.1,30,11.46,15.5,Sat,0,Clear
T000146,Route_16,Train,20,22.9,25,9.96,4.6,Fri,0,Clear
T000147,Route_18,Bus,11,43.2,25,9.68,1.0,Thu,0,Clear
T000148,Route_13,Train,14,37.1,29,1.9,14.5,Sun,0,Clear
T000149,Route_7,Bus,15,26.4,36,3.31,11.2,Mon,0,Clear
T000150,Route_1,Ferry,7,35.6,26,11.2,4.8,Fri,0,Clear
T000151,Route_5,Subway,22,30.9,30,3.82,9.1,Sat,0,Clear
T000152,Route_4,Subway,19,35.6,26,3.15,2.9,Thu,0,Snow
T000153,Route_14,Bus,7,6.0,34,1.69,1.2,Sun,0,Clear
T000154,Route_9,Ferry,22,22.0,45,6.31,7.7,Mon,1,Clear
T000155,Route_2,Bus,7,34.5,41,12.87,1.5,Thu,0,Clear
T000156,Route_5,Subway,6,34.3,31,10.7,0.4,Sun,0,Clear
T000157,Route_20,Tram,13,42.9,26,3.12,7.8,Fri,1,Rain
T000158,Route_18,Ferry,14,32.2,31,12.08,2.9,Tue,0,Clear
T000159,Route_10,Bus,19,42.3,23,5.69,5.7,Thu,0,Fog
T000160,Route_7,Subway,18,29.8,34,14.74,3.5,Thu,0,Clear
T000161,Route_3,Bus,21,43.5,28,6.4,5.5,Thu,0,Snow
T000162,Route_19,Train,17,7.2,31,10.86,2.1,Wed,0,Snow
T000163,Route_15,Tram,12,40.3,34,9.16,9.4,Sat,0,Rain
