trip_id,route,vehicle,distance_km,base_time_min,traffic_level,weather_severity,driver_experience_years,actual_delay_min,on_time
T0001,Route_D,Truck,40.8,108.8,1,1,7,67.3,0
T0002,Route_F,Truck,194.1,533.6,0,0,5,41.0,1
T0003,Route_A,SUV,124.3,187.7,0,1,10,14.1,1
T0004,Route_F,Motorcycle,79.6,236.7,0,2,7,81.3,0
T0005,Route_E,Truck,17.7,51.7,2,2,9,51.6,0
T0006,Route_D,Truck,167.5,294.8,0,0,4,0.0,1
T0007,Route_B,Van,106.4,246.9,0,3,10,69.7,0
T0008,Route_D,Van,146.8,292.1,1,1,14,63.0,0
T0009,Route_E,SUV,150.7,348.1,1,3,12,225.2,0
T0010,Route_E,Truck,8.0,17.2,0,0,11,0.0,1
T0011,Route_C,Truck,143.7,385.9,1,3,10,250.5,0
T0012,Route_F,SUV,134.9,321.9,0,1,3,112.7,0
T0013,Route_E,Motorcycle,144.1,380.5,1,2,7,245.4,0
T0014,Route_C,Motorcycle,179.7,397.6,1,1,5,160.4,0
T0015,Route_E,Motorcycle,152.3,280.8,0,0,6,2.6,1
T0016,Route_F,Truck,25.6,55.9,0,1,14,6.1,1
T0017,Route_C,SUV,162.5,462.0,0,0,9,0.0,1
T0018,Route_F,SUV,109.1,243.1,1,0,8,33.6,1
T0019,Route_C,Van,47.7,111.4,0,0,10,0.0,1
T0020,Route_A,SUV,12.2,29.4,1,0,5,8.8,0
T0021,Route_A,Truck,51.7,88.8,0,3,7,59.9,0
T0022,Route_C,Truck,147.0,301.6,1,1,11,137.3,0
T0023,Route_A,Truck,67.6,120.2,0,1,11,18.3,0
T0024,Route_C,SUV,130.8,230.4,1,0,2,61.0,0
T0025,Route_A,Motorcycle,71.5,119.4,2,2,3,116.7,0
T0026,Route_A,SUV,108.3,201.7,0,2,5,70.1,0
T0027,Route_C,Motorcycle,71.1,143.9,1,2,8,105.4,0
T0028,Route_D,Motorcycle,187.4,502.0,1,1,14,149.3,0
T0029,Route_A,Motorcycle,194.9,375.3,0,1,3,45.4,1
T0030,Route_A,SUV,51.3,101.9,1,1,7,53.6,0
T0031,Route_C,Truck,65.1,150.6,1,1,6,85.5,0
T0032,Route_C,Motorcycle,160.0,360.6,1,1,5,171.7,0
T0033,Route_D,Truck,102.3,241.3,1,0,12,33.2,1
T0034,Route_A,Truck,186.0,398.5,2,3,1,538.5,0
T0035,Route_D,Motorcycle,64.6,115.4,0,1,2,38.2,0
T0036,Route_B,Motorcycle,116.2,191.2,1,3,2,185.3,0
T0037,Route_C,Van,176.1,459.8,1,2,7,345.1,0
T0038,Route_C,Van,174.1,499.6,1,1,13,139.7,0
T0039,Route_D,Truck,18.8,39.5,0,2,12,4.1,1
T0040,Route_F,Motorcycle,95.8,221.7,0,1,6,84.2,0
T0041,Route_A,SUV,12.6,24.6,1,0,8,4.1,0
T0042,Route_E,Motorcycle,21.6,34.1,1,1,7,18.0,0
T0043,Route_D,SUV,195.3,444.2,0,2,3,160.2,0
T0044,Route_E,Van,192.7,530.7,1,1,10,206.2,0
T0045,Route_B,Truck,91.3,169.7,0,0,13,0.0,1
T0046,Route_F,Truck,86.8,162.5,0,2,9,78.8,0
T0047,Route_E,Van,22.9,37.6,0,3,5,19.1,0
T0048,Route_E,Motorcycle,72.5,159.3,1,0,6,43.7,0
T0049,Route_E,SUV,13.8,28.5,1,1,1,22.1,0
T0050,Route_B,Truck,174.1,427.4,2,1,3,376.7,0
T0051,Route_D,Truck,94.4,218.8,2,0,1,123.7,0
T0052,Route_E,Truck,46.8,96.8,0,1,7,21.2,0
T0053,Route_A,Van,67.2,186.0,0,2,9,95.8,0
T0054,Route_B,Truck,187.6,292.5,0,3,4,180.2,0
T0055,Route_B,Truck,151.4,410.3,2,1,2,373.0,0
T0056,Route_F,SUV,172.4,369.5,1,2,9,172.7,0
T0057,Route_F,Truck,109.2,245.1,0,0,3,17.8,1
T0058,Route_D,Motorcycle,101.1,164.3,0,1,4,34.0,0
T0059,Route_C,Truck,151.7,407.7,1,0,10,155.5,0
T0060,Route_D,Truck,153.5,372.6,0,0,13,0.0,1
T0061,Route_B,Truck,165.3,423.0,0,0,3,61.8,1
T0062,Route_F,SUV,51.2,146.4,1,0,12,26.9,0
T0063,Route_C,Truck,78.7,201.3,0,0,14,0.0,1
T0064,Route_D,Van,16.0,26.8,0,1,1,7.5,0
T0065,Route_C,Truck,51.3,107.8,0,0,1,11.0,1
T0066,Route_E,SUV,113.0,333.8,1,1,14,107.2,0
T0067,Route_A,Truck,140.9,292.6,1,3,10,298.1,0
T0068,Route_B,SUV,131.1,273.1,0,0,5,0.0,1
T0069,Route_A,SUV,197.3,502.6,1,0,4,84.7,0
T0070,Route_E,Van,19.9,57.8,0,1,9,10.9,0
T0071,Route_B,Van,186.9,523.1,0,0,1,36.2,1
T0072,Route_A,Motorcycle,120.9,250.3,2,2,13,248.5,0
T0073,Route_A,Van,12.2,20.7,0,0,12,0.0,1
T0074,Route_E,Truck,189.2,525.0,0,1,14,13.0,1
T0075,Route_A,Motorcycle,58.6,106.1,2,2,2,103.6,0
T0076,Route_B,Van,106.5,283.0,1,2,6,183.9,0
T0077,Route_D,Truck,22.2,59.8,1,1,7,31.4,0
T0078,Route_B,Motorcycle,46.5,79.3,0,0,2,15.6,0
T0079,Route_B,Van,113.2,185.2,1,1,1,98.4,0
T0080,Route_B,Motorcycle,141.0,380.1,0,2,1,233.1,0
T0081,Route_D,SUV,94.5,280.8,0,0,11,0.0,1
T0082,Route_A,Motorcycle,30.0,51.8,0,1,8,12.0,0
T0083,Route_D,SUV,85.3,239.7,1,3,13,164.7,0
T0084,Route_E,Van,22.3,37.5,0,0,2,0.0,1
T0085,Route_A,Van,69.4,137.5,0,1,6,36.5,0
T0086,Route_A,Motorcycle,41.0,74.3,0,1,10,2.8,1
T0087,Route_D,Motorcycle,108.6,280.3,0,0,3,27.4,1
T0088,Route_F,Motorcycle,108.8,180.6,0,1,9,27.3,0
T0089,Route_E,SUV,8.9,17.7,0,0,12,0.0,1
T0090,Route_A,SUV,74.2,183.6,0,1,6,11.1,1
T0091,Route_B,Motorcycle,150.4,322.9,0,0,6,0.8,1
T0092,Route_C,SUV,102.2,203.9,2,0,5,139.4,0
T0093,Route_F,Van,53.0,92.2,0,0,8,0.0,1
T0094,Route_D,SUV,26.8,56.3,2,2,6,59.0,0
T0095,Route_F,Truck,100.7,260.2,2,2,11,185.6,0
T0096,Route_D,Truck,41.5,82.3,0,1,1,27.5,0
T0097,Route_D,Motorcycle,142.9,378.9,0,1,4,116.8,0
T0098,Route_F,Van,93.6,217.4,1,0,8,15.5,1
T0099,Route_B,SUV,54.7,137.9,1,1,8,78.4,0
T0100,Route_A,Truck,167.0,492.2,0,2,9,180.4,0
T0101,Route_B,SUV,78.9,228.1,1,0,13,39.6,0
T0102,Route_F,SUV,36.9,64.5,2,1,10,42.5,0
T0103,Route_F,SUV,66.7,158.8,1,1,8,59.1,0
T0104,Route_F,Truck,150.8,339.9,0,2,7,46.6,1
T0105,Route_B,Van,18.0,33.2,1,1,3,13.0,0
T0106,Route_D,Motorcycle,176.3,395.5,1,1,13,179.7,0
T0107,Route_F,Truck,65.8,123.2,1,0,6,33.9,0
T0108,Route_B,Truck,25.1,57.8,0,1,4,23.3,0
T0109,Route_E,SUV,34.2,63.1,1,2,3,49.3,0
T0110,Route_C,Motorcycle,72.4,128.3,2,1,8,119.1,0
T0111,Route_B,Van,124.9,358.2,0,0,1,32.6,1
T0112,Route_D,Truck,184.9,473.5,0,1,10,81.7,0
T0113,Route_A,Van,20.1,33.3,2,3,1,51.0,0
T0114,Route_E,Motorcycle,15.7,31.4,2,0,9,18.0,0
T0115,Route_C,Motorcycle,85.8,239.9,2,1,11,155.1,0
T0116,Route_C,Motorcycle,93.2,159.5,0,1,6,55.3,0
T0117,Route_E,SUV,65.7,175.6,0,0,2,0.0,1
T0118,Route_D,Truck,34.0,72.1,0,3,1,52.8,0
T0119,Route_A,SUV,18.1,47.5,0,2,14,22.6,0
T0120,Route_B,Truck,156.2,340.6,1,1,2,153.0,0
T0121,Route_F,Van,154.2,255.2,0,0,3,0.0,1
T0122,Route_F,Van,84.7,130.3,0,2,13,21.1,0
T0123,Route_A,Truck,48.3,89.2,1,0,6,32.2,0
T0124,Route_C,Truck,113.6,293.1,2,3,8,279.0,0
T0125,Route_F,Motorcycle,192.7,562.1,0,1,7,0.0,1
T0126,Route_B,Truck,164.4,330.9,0,0,7,45.2,1
T0127,Route_D,SUV,126.7,267.9,1,1,12,86.9,0
T0128,Route_F,SUV,197.1,435.0,0,1,1,133.0,0
T0129,Route_F,Truck,110.6,271.0,0,0,11,0.0,1
T0130,Route_E,Truck,139.8,352.9,2,1,10,239.2,0
T0131,Route_D,Truck,58.4,136.2,1,2,7,77.7,0
T0132,Route_C,SUV,53.9,132.0,0,1,1,25.0,0
T0133,Route_B,Truck,79.7,181.6,0,0,11,0.0,1
T0134,Route_D,Truck,145.7,352.0,2,0,8,232.6,0
T0135,Route_F,Van,147.9,269.4,0,0,3,17.1,1
T0136,Route_C,Truck,35.2,85.6,0,0,8,0.0,1
T0137,Route_A,Truck,101.6,257.4,0,0,3,2.4,1
T0138,Route_C,Motorcycle,192.6,517.2,1,1,12,152.1,0
T0139,Route_F,SUV,175.2,455.3,2,1,6,356.9,0
T0140,Route_B,Truck,131.1,333.0,0,1,10,33.7,1
T0141,Route_A,Motorcycle,113.4,250.6,0,0,7,1.2,1
T0142,Route_B,Motorcycle,189.1,418.2,2,2,2,434.4,0
