trip_id,route,vehicle_type,departure_hour,distance_km,passengers,fare_amount,delay_minutes,day_of_week,is_holiday,weather_condition,origin_lat,origin_lon,dest_lat,dest_lon
T000001,Route_2,Ferry,19,41.3,25,2.85,8.6,Thu,0,Snow,40.57604,-73.70605,40.56792,-73.98282
T000002,Route_11,Subway,13,28.6,28,2.12,9.5,Fri,0,Clear,40.54292,-73.93113,40.59383,-73.99859
T000003,Route_12,Ferry,10,38.6,26,10.75,1.3,Sat,0,Rain,40.52417,-73.70891,40.5718,-73.72913
T000004,Route_5,Train,6,28.7,19,13.15,2.4,Tue,0,Clear,40.50146,-73.9778,40.78529,-73.96013
T000005,Route_3,Train,8,3.3,40,11.14,1.7,Wed,0,Clear,40.89419,-73.83917,40.50593,-74.00725
T000006,Route_19,Tram,10,29.6,31,11.8,2.3,Mon,0,Rain,40.84918,-73.87318,40.89883,-73.8858
T000007,Route_18,Tram,1,44.8,37,9.91,2.3,Sun,0,Rain,40.93352,-73.85605,40.97688,-73.94815
T000008,Route_19,Train,2,12.5,30,14.8,1.6,Thu,0,Fog,40.98359,-74.01595,40.51617,-73.71823
T000009,Route_4,Subway,19,21.2,20,10.19,8.5,Fri,0,Clear,40.91075,-73.84547,40.94344,-73.89289
T000010,Route_14,Tram,3,20.1,25,1.5,1.0,Wed,0,Clear,40.78806,-74.00319,40.61495,-73.70846
T000011,Route_3,Bus,8,1.7,26,9.83,3.4,Sun,0,Clear,40.68945,-74.07949,40.89037,-73.70912
T000012,Route_14,Subway,17,42.2,27,4.81,3.4,Sun,0,Clear,40.53599,-73.86421,40.72179,-73.92825
T000013,Route_10,Ferry,6,32.8,33,13.82,14.8,Tue,0,Rain,40.68745,-73.71068,40.63178,-74.01328
T000014,Route_15,Bus,2,12.2,38,11.1,8.7,Wed,0,Snow,40.91881,-73.8712,40.78857,-73.73982
T000015,Route_10,Tram,2,17.6,27,9.63,0.3,Tue,0,Rain,40.57506,-73.82089,40.58959,-73.9799
T000016,Route_11,Ferry,15,26.3,24,11.16,6.0,Fri,0,Rain,40.79094,-73.8228,40.80287,-74.01925
T000017,Route_17,Train,3,27.3,27,6.5,3.4,Sat,0,Snow,40.56624,-74.06176,40.52061,-73.7788
T000018,Route_3,Train,12,44.3,33,11.14,12.3,Tue,1,Snow,40.62985,-73.92312,40.77342,-73.73084
T000019,Route_18,Subway,20,21.9,38,6.3,0.1,Mon,0,Rain,40.72794,-73.83681,40.81875,-73.81423
T000020,Route_7,Train,5,3.7,32,5.67,1.5,Tue,0,Clear,40.7707,-73.79445,40.93145,-73.7407
T000021,Route_2,Subway,19,12.7,36,3.61,3.1,Wed,0,Clear,40.76972,-73.9583,40.76974,-73.78213
T000022,Route_9,Tram,4,7.2,35,7.07,1.4,Sat,0,Clear,40.9362,-73.91794,40.78689,-73.7359
T000023,Route_11,Train,8,13.0,30,13.21,5.5,Fri,0,Clear,40.75177,-73.84527,40.8974,-73.89813
T000024,Route_1,Subway,18,34.4,33,9.95,0.5,Sun,0,Clear,40.63807,-74.0947,40.91931,-74.01598
T000025,Route_13,Tram,4,23.8,39,3.82,1.8,Sun,0,Rain,40.74401,-74.05831,40.94821,-73.92496
T000026,Route_1,Subway,22,40.8,28,10.91,13.9,Mon,0,Clear,40.70941,-74.00733,40.65189,-74.09364
T000027,Route_12,Subway,10,21.2,27,14.8,1.5,Tue,0,Clear,40.91109,-73.96734,40.65506,-73.80656
T000028,Route_18,Train,3,23.2,29,4.54,0.7,Thu,0,Rain,40.77239,-73.79607,40.5427,-73.79099
T000029,Route_20,Bus,18,11.7,25,12.13,0.8,Thu,0,Clear,40.67889,-73.9507,40.82239,-73.8618
T000030,Route_1,Tram,19,43.4,40,9.17,3.1,Fri,0,Clear,40.94941,-73.80144,40.7432,-73.76878
T000031,Route_14,Ferry,20,26.8,33,5.28,0.0,Tue,0,Clear,40.95733,-73.81393,40.96444,-73.78608
T000032,Route_17,Subway,20,6.7,26,11.01,7.8,Wed,0,Clear,40.95267,-73.77341,40.81264,-73.79984
T000033,Route_9,Bus,7,16.3,35,2.32,24.1,Wed,0,Clear,40.55331,-74.0195,40.88989,-73.79929
T000034,Route_5,Subway,12,11.5,25,11.05,1.6,Sun,0,Clear,40.96482,-73.91414,40.83742,-73.73924
T000035,Route_1,Subway,21,7.1,29,1.61,7.3,Mon,0,Clear,40.90693,-73.75335,40.52698,-73.84686
T000036,Route_19,Tram,13,5.2,31,6.29,0.6,Sat,0,Clear,40.62028,-73.72593,40.66552,-73.84846
T000037,Route_17,Subway,5,21.0,32,12.13,0.1,Mon,0,Clear,40.79454,-73.88846,40.71632,-73.74254
T000038,Route_14,Tram,15,27.6,30,4.08,0.6,Fri,0,Rain,40.86201,-73.86444,40.67107,-74.04689
T000039,Route_17,Ferry,11,27.1,30,4.87,1.8,Sun,0,Rain,40.95569,-73.7395,40.94854,-73.84604
T000040,Route_5,Tram,0,36.4,28,14.88,3.3,Tue,0,Rain,40.63041,-73.76288,40.8323,-73.80019
T000041,Route_20,Train,1,3.4,35,7.37,1.9,Mon,0,Snow,40.87206,-73.86968,40.61901,-73.95865
T000042,Route_5,Train,21,43.9,29,8.8,8.5,Sun,0,Clear,40.66998,-74.01549,40.79859,-73.7573
T000043,Route_3,Bus,4,44.8,38,3.07,5.3,Fri,0,Clear,40.86248,-73.91009,40.86198,-73.88628
T000044,Route_4,Bus,17,40.8,22,12.0,4.0,Sun,0,Clear,40.78793,-73.791,40.60198,-74.08622
T000045,Route_15,Subway,22,30.7,29,8.2,12.5,Mon,0,Snow,40.67833,-74.08334,40.99588,-74.05988
T000046,Route_9,Ferry,7,6.3,32,9.18,3.2,Wed,0,Clear,40.85576,-73.73623,40.69952,-73.98422
T000047,Route_11,Tram,6,0.9,25,12.78,1.9,Sat,0,Snow,40.85758,-74.05004,40.55515,-74.09272
T000048,Route_17,Tram,15,0.9,34,10.53,2.8,Sun,0,Clear,40.95519,-73.87217,40.7895,-73.90611
T000049,Route_2,Bus,15,27.9,31,3.89,2.0,Wed,0,Clear,40.73064,-73.78754,40.92698,-73.74187
T000050,Route_16,Ferry,9,1.8,22,12.35,0.4,Wed,0,Rain,40.57108,-73.99485,40.90955,-73.81175
T000051,Route_9,Tram,9,31.5,21,5.15,6.0,Sat,0,Rain,40.79116,-74.05136,40.67979,-73.72926
T000052,Route_10,Ferry,2,36.5,33,11.81,0.8,Thu,0,Fog,40.57342,-73.86701,40.59252,-73.93476
T000053,Route_8,Bus,12,16.8,35,10.45,5.5,Mon,1,Clear,40.65663,-73.88739,40.74031,-73.99709
T000054,Route_9,Ferry,0,27.1,32,5.28,6.3,Fri,0,Clear,40.66324,-73.71067,40.68285,-73.76351
T000055,Route_12,Train,0,27.4,30,10.05,1.0,Sat,0,Rain,40.68985,-73.98954,40.95712,-74.06787
T000056,Route_19,Subway,19,43.7,27,6.4,5.5,Sat,0,Clear,40.91519,-74.07711,40.60063,-73.74373
T000057,Route_2,Train,16,37.1,40,13.11,11.7,Sun,0,Rain,40.5584,-73.89392,40.88213,-73.83234
T000058,Route_20,Train,21,10.2,41,11.82,0.6,Thu,0,Clear,40.95064,-73.91467,40.85299,-73.71725
T000059,Route_16,Bus,12,40.8,33,2.04,2.6,Mon,0,Clear,40.65059,-74.00773,40.60203,-74.06407
T000060,Route_15,Subway,22,25.5,33,8.52,11.2,Fri,0,Rain,40.95414,-73.74086,40.83555,-73.82809
T000061,Route_16,Ferry,1,35.4,28,13.97,2.7,Fri,0,Rain,40.58438,-73.8555,40.75805,-73.70794
T000062,Route_7,Bus,1,7.9,37,5.33,3.8,Thu,0,Clear,40.64677,-73.71881,40.76883,-73.81825
T000063,Route_14,Tram,10,42.6,25,13.83,1.2,Wed,0,Rain,40.71556,-73.98394,40.72865,-73.70361
T000064,Route_20,Bus,8,44.0,20,8.72,5.4,Wed,0,Clear,40.85275,-74.07442,40.58907,-73.86006
T000065,Route_12,Ferry,7,43.2,26,9.47,4.2,Sat,0,Clear,40.82987,-73.87892,40.8244,-73.9711
T000066,Route_11,Ferry,12,37.4,28,10.47,3.1,Sat,0,Clear,40.81792,-73.82102,40.53586,-73.83624
T000067,Route_11,Tram,17,8.9,33,12.76,0.3,Wed,0,Clear,40.99353,-74.0371,40.79805,-73.77137
T000068,Route_2,Subway,21,0.7,29,5.11,6.2,Mon,0,Clear,40.85893,-73.73968,40.91496,-74.08338
T000069,Route_15,Ferry,22,9.7,26,4.64,27.5,Thu,0,Clear,40.81454,-73.85115,40.86153,-73.79754
T000070,Route_10,Ferry,20,44.8,26,3.35,0.6,Wed,0,Clear,40.78656,-73.98707,40.95484,-73.90658
T000071,Route_9,Subway,18,21.4,30,4.76,4.5,Sun,0,Clear,40.50581,-73.83802,40.80026,-73.77003
T000072,Route_16,Bus,1,10.6,25,13.47,10.0,Tue,0,Clear,40.77937,-73.986,40.904,-73.7115
T000073,Route_12,Ferry,11,10.7,26,9.55,0.3,Thu,0,Snow,40.69004,-74.07643,40.90679,-74.02494
T000074,Route_17,Bus,9,43.2,34,4.15,1.5,Thu,0,Clear,40.93448,-73.9577,40.51312,-74.05241
T000075,Route_6,Tram,11,13.9,25,14.79,7.1,Tue,0,Rain,40.81397,-73.95587,40.91539,-73.91882
T000076,Route_19,Bus,19,42.4,35,4.51,3.3,Fri,0,Clear,40.98529,-73.83037,40.6847,-73.84578
T000077,Route_11,Train,19,6.7,38,9.73,0.2,Sun,0,Rain,40.55758,-74.01261,40.98005,-73.97882
T000078,Route_8,Tram,12,9.3,33,14.91,2.2,Sun,0,Clear,40.79112,-73.92581,40.87944,-73.99395
T000079,Route_19,Bus,4,5.4,25,1.63,1.9,Sat,0,Clear,40.74423,-74.04868,40.95137,-73.84173
T000080,Route_17,Bus,11,37.9,38,8.09,6.6,Sun,1,Rain,40.79806,-73.95626,40.96093,-73.76628
T000081,Route_17,Bus,3,27.1,32,13.87,3.1,Sun,0,Clear,40.74311,-73.92686,40.97483,-74.02788
T000082,Route_13,Tram,7,41.2,26,12.06,12.1,Thu,0,Clear,40.95742,-74.01827,40.96094,-74.07988
T000083,Route_15,Subway,11,41.4,30,5.04,1.7,Tue,0,Rain,40.71484,-74.07129,40.92664,-73.85886
T000084,Route_18,Bus,16,7.0,39,9.19,6.4,Sun,0,Rain,40.61176,-73.81931,40.84265,-73.78198
T000085,Route_10,Train,22,14.0,21,7.02,1.5,Mon,0,Clear,40.60178,-73.86674,40.98247,-74.00394
T000086,Route_16,Subway,1,44.7,28,7.7,0.3,Sun,0,Clear,40.51943,-73.72342,40.9472,-73.80808
T000087,Route_6,Tram,20,1.9,36,13.61,1.9,Sun,0,Rain,40.57229,-73.72778,40.76376,-74.04156
T000088,Route_16,Ferry,6,9.6,31,12.1,4.2,Tue,0,Rain,40.60278,-74.08584,40.95227,-73.84778
T000089,Route_19,Subway,5,36.4,31,4.72,10.1,Mon,0,Rain,40.6006,-73.91971,40.70073,-73.93652
T000090,Route_7,Bus,18,33.2,34,3.02,1.5,Wed,0,Clear,40.54594,-73.80827,40.6181,-74.07051
T000091,Route_10,Train,2,16.4,29,10.44,4.0,Fri,0,Rain,40.53411,-74.09056,40.64728,-73.75738
T000092,Route_7,Ferry,4,29.6,33,8.64,0.1,Wed,0,Clear,40.96519,-73.77301,40.66365,-73.70061
T000093,Route_9,Ferry,12,30.5,31,13.24,6.0,Sat,0,Rain,40.57372,-73.7756,40.90543,-73.88817
T000094,Route_13,Bus,8,32.5,26,14.73,1.5,Thu,0,Clear,40.71387,-73.7309,40.75061,-73.75083
T000095,Route_7,Tram,6,11.0,35,9.32,7.9,Sun,0,Clear,40.59596,-73.70219,40.77549,-73.9359
T000096,Route_4,Train,2,41.9,45,6.42,10.0,Fri,0,Rain,40.52634,-74.01756,40.8974,-73.9855
T000097,Route_10,Bus,8,22.2,34,6.98,6.0,Wed,0,Clear,40.84355,-73.85204,40.84193,-73.99361
T000098,Route_9,Bus,4,21.0,29,6.87,4.0,Thu,1,Clear,40.59906,-73.78469,40.69818,-73.83685
T000099,Route_10,Train,8,39.3,32,3.35,0.5,Tue,0,Clear,40.67615,-74.04837,40.82105,-73.9314
T000100,Route_6,Train,11,12.9,24,2.94,2.7,Fri,0,Clear,40.80969,-73.92333,40.53433,-73.72694
T000101,Route_14,Ferry,17,24.0,24,10.91,7.3,Tue,0,Rain,40.74465,-74.06705,40.55582,-73.99722
T000102,Route_3,Bus,1,10.0,24,10.09,4.4,Fri,0,Clear,40.7415,-73.95795,40.7282,-74.08274
T000103,Route_15,Train,20,37.0,39,5.13,0.1,Sat,0,Clear,40.98873,-73.88222,40.67918,-73.91978
T000104,Route_2,Tram,4,40.0,38,3.96,10.9,Thu,0,Clear,40.84536,-73.89704,40.75568,-73.87611
T000105,Route_11,Bus,1,20.3,35,6.29,6.1,Sun,0,Clear,40.92966,-74.07872,40.61088,-73.98075
T000106,Route_11,Train,6,11.9,33,3.6,7.7,Thu,0,Rain,40.89732,-73.93358,40.5598,-74.01235
T000107,Route_2,Train,22,10.9,26,12.83,10.1,Mon,0,Clear,40.89453,-73.89091,40.91025,-73.70745
T000108,Route_18,Bus,1,4.9,26,1.77,9.4,Wed,0,Clear,40.89899,-73.92914,40.56947,-74.03853
T000109,Route_5,Subway,2,5.8,26,8.13,0.8,Mon,0,Clear,40.89855,-73.84051,40.91021,-73.83966
T000110,Route_13,Ferry,21,29.4,36,14.01,5.5,Thu,0,Clear,40.83243,-73.79317,40.97621,-73.88218
T000111,Route_1,Bus,17,41.6,26,13.34,8.7,Fri,0,Clear,40.87762,-73.96825,40.79621,-73.8488
T000112,Route_4,Ferry,0,18.3,26,4.85,7.0,Sun,0,Clear,40.95041,-73.72018,40.6279,-73.70765
T000113,Route_7,Tram,9,11.3,30,7.65,6.4,Mon,0,Clear,40.75877,-73.95785,40.62853,-73.73739
T000114,Route_15,Train,11,4.7,35,8.76,6.2,Fri,1,Rain,40.63285,-74.09534,40.81708,-74.01314
T000115,Route_12,Ferry,3,1.5,28,3.71,9.5,Thu,1,Clear,40.86556,-73.78561,40.59773,-73.87831
T000116,Route_12,Ferry,13,31.7,18,10.31,6.4,Sat,1,Clear,40.7496,-74.03279,40.70187,-73.88215
T000117,Route_10,Bus,17,23.6,32,2.78,3.4,Wed,0,Rain,40.83976,-73.9058,40.69534,-73.92562
T000118,Route_6,Subway,22,9.2,37,4.63,17.1,Thu,0,Clear,40.93476,-73.98278,40.69314,-73.80759
T000119,Route_8,Bus,19,14.7,40,3.73,14.4,Thu,0,Snow,40.54466,-73.73149,40.89936,-73.75805
T000120,Route_13,Bus,19,37.3,29,10.99,0.3,Sun,0,Clear,40.93463,-73.84078,40.90935,-73.99823
