trip_id,route,vehicle_type,departure_hour,distance_km,passengers,fare_amount,delay_minutes,day_of_week,is_holiday,weather_condition,revenue,operational_cost
T000001,Route_9,Subway,20,25.7,38,12.51,2.5,Mon,0,Snow,407.77,66.2
T000002,Route_2,Subway,21,30.2,24,6.6,0.1,Tue,1,Rain,186.65,79.88
T000003,Route_2,Tram,22,3.9,40,5.05,1.4,Tue,0,Rain,177.48,11.17
T000004,Route_20,Ferry,18,5.0,31,9.45,1.6,Tue,0,Rain,241.27,6.07
T000005,Route_11,Ferry,17,10.9,26,5.01,1.0,Tue,0,Clear,111.93,32.25
T000006,Route_4,Tram,0,17.0,26,4.55,3.2,Sat,0,Clear,136.51,22.54
T000007,Route_16,Tram,6,42.9,32,4.19,2.9,Wed,0,Snow,137.73,112.34
T000008,Route_6,Ferry,11,7.3,26,6.09,2.5,Wed,0,Rain,145.2,29.55
T000009,Route_17,Tram,13,1.2,33,5.39,0.6,Tue,0,Clear,143.61,10.37
T000010,Route_5,Train,7,15.3,24,12.93,3.9,Sat,0,Rain,317.79,43.66
T000011,Route_17,Subway,4,31.0,36,5.02,1.0,Mon,0,Clear,162.51,71.88
T000012,Route_13,Bus,4,8.7,37,3.81,3.4,Sun,0,Snow,145.63,28.36
T000013,Route_3,Train,5,11.4,25,8.9,1.1,Sun,0,Clear,234.02,13.35
T000014,Route_2,Bus,5,14.0,25,10.32,0.0,Sat,0,Clear,263.12,34.57
T000015,Route_11,Bus,5,4.9,22,9.11,1.7,Mon,0,Clear,213.78,8.95
T000016,Route_17,Bus,15,44.3,25,8.09,1.2,Sun,0,Clear,238.9,114.87
T000017,Route_1,Train,13,36.5,27,3.21,3.6,Tue,1,Clear,78.8,85.68
T000018,Route_16,Ferry,2,2.1,34,8.88,16.1,Sat,0,Clear,338.87,5.0
T000019,Route_19,Tram,17,8.1,33,2.65,2.2,Wed,0,Clear,88.6,5.0
T000020,Route_14,Subway,16,14.5,32,7.59,14.2,Sat,0,Clear,251.71,40.63
T000021,Route_14,Ferry,7,29.1,28,8.39,4.9,Thu,0,Clear,245.47,74.52
T000022,Route_15,Ferry,21,12.5,28,3.86,0.7,Mon,0,Clear,92.17,16.86
T000023,Route_5,Bus,0,18.5,25,10.91,11.8,Wed,0,Clear,224.49,32.89
T000024,Route_9,Tram,4,13.6,15,12.31,2.7,Wed,0,Snow,159.15,28.27
T000025,Route_9,Subway,11,1.6,20,1.62,1.4,Fri,1,Rain,29.19,11.96
T000026,Route_20,Bus,0,34.0,26,7.39,6.1,Mon,0,Clear,192.25,95.71
T000027,Route_8,Subway,1,14.9,30,10.15,2.2,Tue,0,Rain,346.26,31.78
T000028,Route_10,Tram,1,38.0,26,12.62,12.9,Thu,0,Clear,329.79,98.48
T000029,Route_19,Train,18,38.1,34,9.31,12.6,Mon,1,Clear,317.79,99.67
T000030,Route_2,Bus,2,5.1,26,5.48,2.8,Mon,0,Rain,115.83,26.14
T000031,Route_11,Train,12,23.2,31,1.69,0.4,Mon,1,Clear,54.19,44.22
T000032,Route_13,Bus,21,43.8,27,5.37,0.6,Fri,0,Rain,119.43,112.26
T000033,Route_14,Bus,20,6.0,25,1.78,11.1,Sun,0,Clear,39.32,5.0
T000034,Route_4,Subway,7,14.6,38,11.64,0.2,Fri,0,Clear,396.58,39.01
T000035,Route_12,Train,4,41.6,44,13.49,4.5,Thu,0,Rain,585.77,110.0
T000036,Route_1,Tram,9,24.6,36,11.71,6.4,Thu,0,Rain,430.36,63.32
T000037,Route_6,Ferry,6,41.4,35,2.52,3.8,Wed,1,Clear,93.55,93.61
T000038,Route_12,Subway,7,10.2,29,7.82,5.7,Sun,0,Rain,231.98,31.59
T000039,Route_2,Subway,1,40.9,25,1.63,3.2,Fri,0,Clear,34.01,102.91
T000040,Route_7,Bus,3,39.0,40,11.07,2.6,Mon,1,Rain,472.81,99.11
T000041,Route_16,Train,9,10.8,31,11.12,5.8,Mon,0,Snow,407.68,45.18
T000042,Route_12,Bus,18,1.6,27,14.83,5.1,Mon,0,Clear,403.17,15.47
T000043,Route_11,Train,7,28.7,34,12.05,1.9,Tue,0,Clear,340.37,65.38
T000044,Route_10,Bus,12,21.4,29,1.78,0.4,Fri,0,Fog,49.23,51.23
T000045,Route_6,Subway,8,23.0,28,9.92,1.0,Sat,0,Clear,275.49,53.45
T000046,Route_4,Tram,10,26.2,33,6.07,3.8,Fri,0,Clear,223.33,66.78
T000047,Route_3,Subway,14,28.2,19,10.26,3.4,Mon,0,Clear,177.98,69.64
T000048,Route_5,Tram,5,6.2,32,7.72,0.4,Thu,0,Rain,242.25,5.0
T000049,Route_12,Ferry,21,28.7,22,4.88,24.6,Thu,0,Clear,104.35,77.87
T000050,Route_13,Subway,17,1.9,23,10.39,10.3,Mon,0,Clear,191.35,24.87
T000051,Route_18,Ferry,8,3.5,28,14.0,10.5,Wed,1,Clear,337.18,6.88
T000052,Route_11,Ferry,17,35.4,45,2.85,10.8,Wed,0,Rain,150.92,113.09
T000053,Route_1,Tram,17,9.2,18,3.55,6.2,Mon,1,Rain,72.21,29.71
T000054,Route_13,Train,13,15.5,37,10.87,5.9,Sat,1,Clear,431.97,39.57
T000055,Route_12,Ferry,4,2.0,26,12.53,1.0,Mon,0,Clear,318.74,19.45
T000056,Route_2,Train,22,32.6,32,10.57,0.7,Sat,0,Clear,384.11,90.16
T000057,Route_5,Subway,3,40.0,37,5.12,4.2,Wed,0,Rain,166.54,108.49
T000058,Route_13,Tram,2,12.1,42,12.76,0.3,Thu,0,Clear,603.62,15.29
T000059,Route_12,Bus,13,34.0,38,2.08,4.2,Fri,0,Rain,85.31,90.24
T000060,Route_3,Bus,6,40.9,24,10.15,5.3,Sat,1,Snow,235.16,102.64
T000061,Route_7,Ferry,5,44.6,32,11.77,4.3,Tue,0,Clear,435.8,125.38
T000062,Route_13,Ferry,15,19.7,38,14.77,5.5,Wed,0,Rain,549.47,45.65
T000063,Route_1,Subway,3,2.3,32,7.89,22.8,Sat,0,Snow,212.1,5.0
T000064,Route_10,Subway,14,30.2,35,8.21,1.6,Wed,0,Fog,259.19,71.04
T000065,Route_11,Train,6,9.0,30,2.57,2.2,Wed,0,Clear,81.12,35.46
T000066,Route_19,Train,21,12.6,24,10.37,14.1,Thu,0,Clear,232.76,30.78
T000067,Route_8,Tram,10,2.0,30,9.33,1.9,Thu,0,Clear,314.83,21.75
T000068,Route_14,Subway,19,20.6,33,8.51,5.6,Fri,0,Clear,331.49,75.4
T000069,Route_7,Ferry,19,7.9,31,4.01,7.1,Sun,0,Clear,147.81,17.7
T000070,Route_3,Tram,9,13.3,23,9.01,6.0,Mon,0,Clear,171.4,26.57
T000071,Route_1,Ferry,7,39.5,34,1.62,7.1,Sat,0,Clear,62.0,79.71
T000072,Route_18,Train,16,35.5,34,4.56,0.4,Mon,0,Clear,166.34,100.73
T000073,Route_15,Subway,7,21.2,21,7.34,3.2,Wed,1,Snow,139.7,59.97
T000074,Route_6,Train,19,8.3,26,9.65,2.9,Mon,1,Clear,289.31,22.02
T000075,Route_14,Ferry,15,26.0,23,11.0,1.2,Mon,0,Clear,236.63,51.54
T000076,Route_5,Subway,18,13.4,22,12.29,15.8,Sun,0,Clear,261.62,15.78
T000077,Route_6,Bus,19,38.7,33,1.68,7.0,Wed,1,Rain,62.75,90.81
T000078,Route_20,Subway,6,20.6,32,3.77,0.4,Fri,0,Snow,126.49,41.61
T000079,Route_4,Bus,4,40.3,29,11.68,1.6,Wed,1,Clear,385.26,105.85
T000080,Route_18,Subway,3,7.3,32,13.56,0.9,Sat,0,Rain,490.37,28.26
T000081,Route_3,Tram,2,23.7,30,1.6,1.7,Fri,0,Clear,43.55,68.39
T000082,Route_1,Train,1,20.3,28,6.0,5.7,Wed,0,Clear,167.71,45.14
T000083,Route_14,Tram,0,32.2,29,10.47,6.2,Tue,0,Clear,257.5,78.95
T000084,Route_13,Tram,11,29.1,37,3.28,1.3,Mon,0,Rain,123.26,72.23
T000085,Route_12,Tram,3,33.4,33,3.58,1.6,Tue,0,Rain,136.8,98.09
T000086,Route_14,Tram,1,16.2,26,2.53,0.6,Sun,0,Clear,56.61,31.52
T000087,Route_12,Tram,20,22.1,24,8.47,0.0,Wed,0,Rain,198.18,51.75
T000088,Route_4,Train,14,36.8,24,6.54,2.2,Thu,0,Clear,127.61,86.5
T000089,Route_6,Bus,5,22.2,25,6.36,5.2,Fri,0,Clear,172.37,58.85
T000090,Route_6,Ferry,4,4.7,35,10.26,6.9,Thu,0,Clear,343.12,7.42
T000091,Route_2,Bus,14,5.1,23,10.17,0.1,Wed,0,Rain,248.61,13.29
