trip_id,route,vehicle_type,departure_hour,distance_km,passengers,fare_amount,delay_minutes,day_of_week,is_holiday,weather_condition,revenue,operational_cost,on_time_pct,passenger_satisfaction
T000001,Route_1,Ferry,6,19.1,30,12.11,4.3,Fri,0,Rain,421.5,53.66,0.951,2.6
T000002,Route_19,Train,21,35.4,28,11.3,0.3,Fri,0,Clear,319.58,81.62,0.734,3.6
T000003,Route_9,Tram,15,30.9,36,1.71,1.5,Thu,1,Rain,56.94,73.69,0.9,3.6
T000004,Route_1,Subway,14,35.8,24,12.68,2.8,Tue,0,Rain,278.85,91.34,0.819,4.0
T000005,Route_18,Tram,1,23.7,33,9.45,9.3,Thu,0,Snow,336.21,74.67,1.0,3.9
T000006,Route_15,Train,15,27.6,34,9.89,0.4,Mon,0,Clear,372.02,71.4,0.867,5.0
T000007,Route_17,Train,13,41.8,28,5.49,0.6,Tue,0,Rain,150.83,98.72,0.832,2.4
T000008,Route_16,Bus,17,12.1,28,14.76,4.0,Fri,0,Clear,361.11,24.34,0.818,1.9
T000009,Route_13,Ferry,22,13.2,19,5.24,2.0,Thu,0,Snow,100.35,39.19,0.804,2.8
T000010,Route_10,Subway,8,42.9,42,7.88,3.1,Fri,0,Clear,382.92,105.79,0.825,4.3
T000011,Route_3,Tram,1,27.2,30,9.76,2.4,Fri,0,Clear,287.58,66.15,0.993,2.9
T000012,Route_14,Subway,8,26.3,30,3.3,6.5,Thu,0,Clear,93.66,94.78,0.844,3.9
T000013,Route_19,Subway,11,31.7,33,13.87,6.3,Thu,0,Clear,481.03,84.61,0.869,4.1
T000014,Route_3,Bus,18,6.2,30,1.88,4.2,Fri,0,Clear,64.14,30.52,0.768,3.3
T000015,Route_6,Subway,20,8.9,33,2.26,6.9,Wed,0,Clear,69.75,5.0,0.793,2.8
T000016,Route_8,Ferry,0,28.9,29,8.41,15.1,Wed,0,Clear,236.6,71.75,0.821,2.7
T000017,Route_8,Tram,20,20.7,31,2.78,0.1,Sat,0,Clear,89.89,66.47,0.875,2.9
T000018,Route_13,Subway,22,2.0,25,11.47,1.3,Mon,0,Clear,233.59,5.0,0.724,3.8
T000019,Route_19,Ferry,18,28.1,32,3.18,0.8,Fri,0,Clear,112.86,90.7,0.687,4.1
T000020,Route_4,Tram,20,42.4,34,11.2,4.6,Sat,0,Clear,327.22,110.09,0.886,3.2
T000021,Route_6,Tram,7,32.2,26,9.54,4.1,Thu,0,Clear,208.33,72.02,0.912,4.5
T000022,Route_3,Bus,6,34.8,28,13.37,17.5,Sun,1,Clear,423.57,92.68,0.796,3.0
T000023,Route_8,Subway,9,19.2,29,1.52,3.3,Thu,0,Clear,39.94,57.96,0.941,3.5
T000024,Route_17,Ferry,6,37.5,15,13.49,12.1,Tue,0,Clear,166.28,98.18,0.773,4.4
T000025,Route_4,Tram,18,4.3,32,12.88,4.0,Sun,0,Clear,342.96,9.85,0.941,4.8
T000026,Route_12,Train,20,17.8,28,8.0,1.9,Sat,0,Rain,184.49,54.61,0.834,3.6
T000027,Route_17,Train,5,40.9,27,8.53,4.4,Sat,0,Clear,232.99,96.68,0.794,2.6
T000028,Route_19,Train,1,32.0,32,2.75,3.1,Mon,0,Rain,87.61,60.28,0.866,2.5
T000029,Route_8,Subway,14,0.9,22,6.18,0.3,Sun,1,Clear,129.81,5.34,0.801,3.0
T000030,Route_11,Train,2,3.5,27,5.45,1.7,Sat,0,Snow,157.17,5.0,0.923,4.2
T000031,Route_5,Train,6,17.7,30,8.76,6.2,Tue,0,Snow,310.83,47.45,0.749,3.8
T000032,Route_15,Tram,20,15.0,36,4.42,0.1,Mon,0,Clear,182.52,46.88,0.951,3.3
T000033,Route_4,Bus,10,42.1,36,6.82,7.6,Tue,1,Clear,290.03,120.57,0.764,3.5
T000034,Route_5,Train,2,30.2,22,14.36,8.6,Wed,0,Clear,373.01,75.83,0.78,4.3
