trip_id,route,vehicle_type,departure_hour,distance_km,passengers,fare_amount,delay_minutes,day_of_week,is_holiday,weather_condition,revenue,operational_cost,on_time_pct,passenger_satisfaction
T000001,Route_19,Ferry,5,35.7,31,7.72,2.9,Fri,1,Fog,216.48,83.87,0.912,3.8
T000002,Route_16,Ferry,13,26.7,24,7.02,6.0,Mon,0,Clear,143.8,46.97,0.848,3.3
T000003,Route_17,Tram,17,8.8,32,11.84,0.0,Mon,0,Clear,421.28,30.97,0.833,4.1
T000004,Route_15,Subway,5,8.9,26,10.0,1.6,Fri,0,Rain,257.08,10.39,0.794,3.2
T000005,Route_19,Ferry,13,42.9,33,13.53,1.2,Fri,0,Clear,374.4,110.21,0.714,1.6
T000006,Route_5,Ferry,4,26.6,22,5.1,5.1,Sun,0,Clear,108.14,45.9,0.714,2.6
T000007,Route_16,Bus,2,16.7,35,6.22,3.1,Sun,0,Clear,244.45,35.06,0.919,4.4
T000008,Route_16,Bus,1,33.2,19,1.97,10.0,Fri,0,Clear,38.06,74.5,1.0,4.0
T000009,Route_14,Subway,20,32.9,35,14.23,1.7,Tue,0,Rain,472.96,73.02,0.88,4.1
T000010,Route_7,Ferry,4,20.7,30,14.35,2.4,Mon,0,Clear,405.77,39.56,0.802,2.9
T000011,Route_8,Bus,19,5.8,30,2.93,0.9,Sun,0,Rain,70.55,27.34,0.722,3.8
T000012,Route_11,Ferry,6,4.7,27,8.06,13.1,Wed,0,Clear,258.84,12.39,0.854,3.7
T000013,Route_6,Ferry,9,19.8,31,11.47,2.0,Wed,0,Clear,410.02,36.31,0.898,3.5
T000014,Route_1,Ferry,18,10.4,34,7.71,4.4,Mon,0,Clear,270.2,44.21,0.941,2.5
T000015,Route_13,Subway,12,10.5,37,6.49,1.3,Thu,0,Clear,216.47,19.97,0.813,2.2
T000016,Route_17,Ferry,4,36.0,37,8.33,11.1,Sun,0,Rain,250.38,87.76,0.9,3.5
T000017,Route_13,Train,3,26.6,31,13.92,5.7,Mon,0,Snow,442.04,85.51,0.705,2.8
T000018,Route_10,Subway,21,17.2,16,2.6,4.2,Wed,1,Rain,42.44,53.81,0.892,4.4
T000019,Route_1,Tram,14,4.3,23,1.73,8.9,Thu,0,Clear,39.0,32.19,0.894,4.5
T000020,Route_20,Tram,0,33.1,26,7.4,6.7,Tue,0,Clear,157.78,90.49,0.801,4.1
T000021,Route_13,Subway,15,29.6,20,2.84,6.2,Tue,0,Clear,63.36,76.16,0.965,4.5
T000022,Route_18,Ferry,15,26.8,32,13.49,7.9,Sat,0,Clear,383.82,70.5,0.719,4.4
T000023,Route_11,Ferry,10,44.3,31,13.77,4.5,Fri,0,Rain,448.62,109.05,0.825,3.2
T000024,Route_17,Train,22,16.1,33,6.94,8.5,Mon,0,Clear,243.98,32.01,0.808,3.6
T000025,Route_6,Ferry,8,34.1,23,3.23,4.4,Fri,0,Clear,87.53,86.76,1.0,4.0
T000026,Route_3,Train,1,15.3,35,4.2,0.6,Fri,0,Clear,130.65,36.18,0.831,4.0
T000027,Route_8,Ferry,20,28.1,34,3.92,0.2,Fri,0,Clear,141.69,58.64,0.979,3.7
T000028,Route_9,Ferry,12,20.4,30,10.25,3.7,Tue,0,Clear,326.37,46.32,0.721,3.6
T000029,Route_19,Tram,12,34.1,38,9.51,3.7,Sat,0,Rain,310.33,80.67,0.888,3.2
T000030,Route_13,Tram,20,8.8,25,6.66,8.5,Mon,0,Snow,165.09,6.78,0.778,3.1
T000031,Route_13,Bus,9,18.0,37,5.56,2.9,Fri,0,Rain,208.09,53.91,0.686,4.1
T000032,Route_16,Ferry,18,29.3,34,5.32,9.6,Sun,0,Rain,156.57,65.21,0.832,4.1
T000033,Route_17,Train,7,24.3,38,11.96,1.7,Sat,0,Clear,483.7,53.69,0.91,4.9
T000034,Route_6,Train,22,36.4,40,6.25,3.0,Mon,0,Clear,283.07,95.32,0.938,3.3
T000035,Route_19,Tram,13,27.2,32,9.07,2.6,Mon,0,Clear,254.97,64.15,0.897,2.3
T000036,Route_14,Bus,9,21.4,23,7.07,0.8,Wed,0,Clear,135.58,76.46,0.894,3.1
T000037,Route_17,Bus,20,43.0,28,13.18,2.3,Wed,0,Fog,297.58,116.42,0.796,3.7
T000038,Route_11,Train,14,13.2,30,9.52,3.0,Fri,0,Clear,236.65,42.61,0.662,3.5
T000039,Route_18,Ferry,19,8.6,30,13.1,5.3,Sat,0,Rain,382.09,11.66,0.898,2.6
T000040,Route_3,Ferry,2,1.4,32,6.52,7.1,Tue,0,Clear,218.42,5.0,0.666,3.1
T000041,Route_11,Tram,19,19.3,33,13.1,10.5,Thu,0,Clear,387.86,52.27,0.937,3.1
T000042,Route_1,Tram,10,8.9,31,5.56,10.5,Sat,1,Clear,139.46,26.51,0.784,4.3
T000043,Route_20,Bus,20,42.5,32,5.47,7.9,Sat,0,Clear,149.33,114.01,0.883,3.1
T000044,Route_10,Tram,1,32.8,28,12.44,4.1,Wed,0,Rain,281.54,96.12,0.922,3.4
T000045,Route_16,Bus,21,26.1,41,9.25,4.6,Fri,0,Rain,413.46,90.47,0.806,3.3
T000046,Route_5,Bus,9,32.4,27,10.69,1.9,Sun,0,Clear,323.79,71.91,0.883,2.7
T000047,Route_14,Train,2,36.5,34,13.04,0.5,Fri,0,Rain,498.28,97.58,0.794,3.0
T000048,Route_1,Ferry,5,11.6,29,2.37,1.0,Sat,0,Rain,60.78,28.43,0.914,3.0
T000049,Route_19,Ferry,11,5.2,31,5.44,8.0,Sun,0,Clear,187.19,5.0,0.756,3.3
T000050,Route_18,Bus,12,35.1,24,7.43,1.4,Wed,0,Rain,156.86,98.23,0.825,3.4
T000051,Route_12,Bus,19,5.6,30,3.13,15.2,Thu,0,Rain,99.86,5.0,0.895,4.4
T000052,Route_7,Ferry,6,14.6,39,11.84,3.4,Thu,0,Clear,527.16,32.4,0.848,3.4
T000053,Route_19,Tram,2,10.4,23,6.31,1.3,Wed,0,Clear,168.08,8.99,1.0,4.2
T000054,Route_12,Tram,12,15.5,19,5.59,17.7,Fri,1,Clear,105.3,57.8,1.0,1.6
T000055,Route_10,Tram,7,35.8,35,14.29,20.9,Sun,0,Snow,520.64,76.98,0.814,4.3
T000056,Route_12,Ferry,9,22.5,25,8.28,2.3,Thu,0,Clear,199.85,42.58,0.724,3.4
T000057,Route_15,Ferry,12,19.2,27,6.72,6.5,Sun,1,Fog,171.74,40.76,0.813,4.5
T000058,Route_4,Bus,22,31.2,33,2.77,7.2,Wed,0,Clear,93.74,84.12,0.815,3.3
T000059,Route_12,Tram,3,33.6,23,5.31,22.6,Tue,0,Rain,109.41,80.04,0.804,4.4
T000060,Route_17,Tram,1,1.4,18,12.67,0.3,Tue,0,Clear,212.19,5.0,0.778,3.1
T000061,Route_5,Ferry,16,37.9,38,5.68,3.8,Fri,1,Snow,255.7,106.04,0.896,2.2
T000062,Route_20,Subway,17,13.1,33,9.59,0.7,Fri,0,Rain,361.53,24.43,0.728,4.0
T000063,Route_2,Subway,0,33.1,27,11.82,2.6,Sat,0,Clear,299.62,71.91,0.753,3.0
T000064,Route_3,Tram,3,4.3,30,8.58,1.1,Mon,0,Clear,220.21,5.0,0.854,4.0
T000065,Route_20,Train,2,11.8,23,4.1,5.6,Mon,1,Clear,95.81,36.25,0.797,4.2
T000066,Route_6,Train,12,44.9,29,11.39,3.0,Sat,0,Clear,290.64,134.5,0.911,4.9
T000067,Route_20,Subway,0,38.1,41,14.26,2.7,Sun,0,Clear,616.13,101.93,0.988,2.8
T000068,Route_14,Tram,22,7.1,21,8.23,0.6,Thu,0,Snow,175.27,27.62,1.0,2.2
T000069,Route_3,Tram,5,28.8,38,11.81,0.2,Fri,0,Snow,400.08,68.61,0.703,3.0
T000070,Route_14,Tram,9,29.7,23,12.71,8.1,Fri,0,Clear,349.8,94.08,0.771,3.0
T000071,Route_10,Tram,14,1.2,35,2.42,3.0,Sun,0,Clear,81.26,5.0,0.905,2.4
T000072,Route_1,Ferry,8,27.3,29,12.56,1.2,Sun,0,Clear,298.94,67.37,0.64,3.9
T000073,Route_2,Tram,14,0.8,25,8.47,2.5,Tue,0,Fog,177.94,5.0,0.839,4.7
T000074,Route_19,Tram,12,28.9,29,14.03,7.8,Thu,0,Fog,370.26,50.68,0.854,2.3
T000075,Route_5,Train,0,26.9,17,6.75,6.3,Mon,1,Clear,133.3,53.22,0.721,4.2
