trip_id,route,vehicle_type,departure_hour,distance_km,passengers,fare_amount,delay_minutes,day_of_week,is_holiday,weather_condition,revenue,operational_cost
T000001,Route_16,Subway,10,14.0,21,9.04,3.9,Mon,0,Clear,153.09,32.15
T000002,Route_2,Tram,21,10.5,26,9.36,0.6,Wed,0,Clear,290.73,39.88
T000003,Route_16,Bus,8,5.3,19,4.25,5.5,Sun,0,Rain,69.47,6.53
T000004,Route_5,Train,12,17.0,30,14.35,3.8,Mon,0,Rain,434.7,44.96
T000005,Route_4,Subway,16,44.3,30,14.09,0.7,Wed,0,Clear,354.31,102.74
T000006,Route_6,Subway,0,4.2,18,2.78,5.9,Sun,0,Rain,59.17,9.67
T000007,Route_2,Train,4,33.7,22,5.39,1.9,Wed,1,Rain,136.64,90.01
T000008,Route_2,Ferry,7,3.3,36,7.21,6.2,Mon,0,Rain,247.14,5.0
T000009,Route_17,Tram,4,28.1,25,10.12,13.0,Wed,0,Rain,259.35,61.25
T000010,Route_19,Subway,16,35.4,37,14.05,3.7,Sat,0,Snow,460.36,90.7
T000011,Route_13,Ferry,22,28.5,27,14.59,4.0,Thu,0,Clear,360.62,61.91
T000012,Route_3,Bus,2,36.0,25,4.54,5.9,Sun,0,Clear,113.07,101.95
T000013,Route_3,Subway,17,30.2,33,7.15,19.7,Sat,0,Clear,243.91,64.79
T000014,Route_5,Ferry,11,13.5,25,5.34,1.1,Mon,0,Clear,131.51,37.9
T000015,Route_9,Subway,0,26.1,30,4.3,3.7,Sun,0,Clear,123.25,78.68
T000016,Route_16,Bus,8,30.6,39,4.84,0.0,Thu,0,Clear,169.29,82.53
T000017,Route_17,Bus,2,19.8,31,13.54,4.3,Mon,0,Rain,493.14,59.46
T000018,Route_8,Subway,10,39.9,25,6.15,3.0,Tue,0,Clear,158.04,96.62
T000019,Route_8,Ferry,19,27.4,35,7.56,10.9,Wed,0,Clear,240.69,74.08
T000020,Route_17,Bus,3,17.5,34,14.15,6.5,Sun,0,Snow,520.28,50.42
T000021,Route_14,Tram,8,13.0,34,5.56,0.3,Tue,0,Rain,219.6,48.74
