trip_id,route,vehicle_type,departure_hour,distance_km,passengers,fare_amount,delay_minutes,day_of_week,is_holiday,weather_condition,on_time_pct,passenger_satisfaction
T000001,Route_10,Bus,20,14.3,25,10.84,7.5,Wed,0,Clear,0.811,5.0
T000002,Route_17,Subway,0,14.0,26,6.25,6.9,Thu,0,Clear,0.868,4.3
T000003,Route_13,Subway,3,42.9,40,8.29,1.7,Wed,0,Clear,0.883,3.5
T000004,Route_5,Subway,3,16.2,31,3.25,4.1,Wed,0,Snow,0.749,2.5
T000005,Route_6,Subway,17,21.7,26,11.35,0.7,Sat,1,Clear,0.877,3.0
T000006,Route_18,Ferry,8,8.1,21,4.28,16.2,Tue,0,Rain,0.658,3.6
T000007,Route_3,Subway,10,12.3,32,9.85,6.4,Sat,1,Clear,0.914,4.8
T000008,Route_16,Ferry,13,26.9,30,14.31,1.1,Thu,0,Clear,0.894,2.9
T000009,Route_12,Bus,16,38.7,36,9.89,5.0,Mon,0,Clear,0.877,2.0
T000010,Route_7,Bus,20,41.7,33,7.39,0.3,Sat,0,Clear,0.81,3.1
T000011,Route_15,Bus,5,36.1,34,5.25,1.7,Fri,0,Clear,0.826,3.2
T000012,Route_10,Subway,13,9.3,30,2.81,0.2,Wed,0,Clear,0.783,3.8
T000013,Route_15,Bus,9,16.2,23,10.45,8.6,Tue,0,Clear,0.889,2.3
T000014,Route_6,Subway,9,11.2,38,7.53,1.1,Mon,0,Snow,0.814,3.0
T000015,Route_2,Tram,17,5.2,28,4.68,3.1,Mon,0,Clear,0.853,3.6
T000016,Route_12,Ferry,11,24.9,29,13.53,8.5,Wed,0,Rain,0.833,2.9
T000017,Route_6,Ferry,0,38.2,30,12.91,7.2,Fri,0,Clear,0.876,4.8
T000018,Route_4,Tram,15,42.2,23,6.23,0.9,Fri,0,Clear,0.744,3.5
T000019,Route_7,Train,21,36.8,22,2.65,1.3,Thu,0,Clear,0.781,2.9
T000020,Route_11,Train,20,13.5,33,6.73,4.1,Mon,0,Rain,0.934,5.0
T000021,Route_15,Train,14,27.0,30,12.37,1.6,Mon,0,Rain,0.931,3.9
T000022,Route_16,Tram,2,26.2,25,3.85,3.6,Wed,0,Rain,0.827,3.4
T000023,Route_8,Ferry,17,36.9,37,10.66,1.1,Wed,0,Rain,0.771,4.0
T000024,Route_13,Bus,7,13.5,21,3.24,3.4,Mon,0,Rain,0.94,2.9
T000025,Route_5,Train,12,15.4,24,13.65,3.2,Fri,0,Snow,0.973,3.6
T000026,Route_15,Tram,18,23.5,25,4.36,8.2,Mon,0,Rain,0.791,4.4
T000027,Route_10,Tram,16,4.7,38,3.94,2.5,Wed,0,Clear,0.891,2.6
T000028,Route_3,Bus,1,29.3,38,6.75,1.7,Tue,0,Clear,0.839,3.3
T000029,Route_13,Bus,18,44.0,36,8.57,0.4,Mon,0,Clear,0.853,2.8
T000030,Route_1,Tram,21,28.3,34,14.58,3.1,Sun,0,Clear,0.92,3.5
T000031,Route_3,Tram,12,17.6,30,8.28,0.1,Sun,0,Clear,0.814,3.5
T000032,Route_16,Train,22,19.4,21,14.55,4.5,Tue,0,Clear,0.82,2.8
T000033,Route_1,Train,18,8.3,29,3.65,0.7,Wed,0,Rain,1.0,3.8
T000034,Route_15,Bus,9,10.7,24,12.57,2.9,Fri,0,Rain,0.784,3.5
T000035,Route_8,Ferry,3,41.3,28,6.58,2.5,Mon,0,Rain,0.857,3.7
T000036,Route_20,Bus,7,35.7,20,14.68,15.4,Wed,0,Clear,0.753,3.1
T000037,Route_1,Tram,20,12.2,33,14.33,0.1,Sun,0,Clear,0.948,2.8
T000038,Route_9,Ferry,15,13.6,29,4.65,5.7,Fri,0,Rain,0.783,3.9
T000039,Route_11,Ferry,4,17.5,33,11.05,4.9,Thu,0,Fog,0.714,3.4
T000040,Route_14,Bus,15,24.4,31,5.97,2.3,Sun,1,Snow,0.875,3.3
T000041,Route_20,Ferry,8,12.2,37,3.96,3.9,Sun,0,Snow,0.926,2.5
T000042,Route_1,Tram,16,31.8,26,6.14,0.1,Tue,0,Clear,0.962,3.8
T000043,Route_20,Train,0,44.2,24,2.67,3.6,Wed,0,Clear,0.813,2.0
T000044,Route_8,Bus,19,4.0,31,6.58,7.8,Wed,0,Clear,1.0,4.2
T000045,Route_9,Tram,21,44.2,29,5.94,2.9,Mon,0,Rain,0.819,3.3
T000046,Route_11,Subway,15,9.4,35,13.43,2.2,Mon,0,Clear,0.698,4.0
T000047,Route_15,Bus,3,35.6,33,12.72,2.5,Sun,0,Rain,0.924,3.0
T000048,Route_13,Bus,2,2.5,33,6.22,0.8,Thu,0,Rain,0.949,4.8
T000049,Route_19,Bus,14,39.4,29,14.52,0.7,Tue,0,Rain,0.845,3.0
T000050,Route_17,Bus,21,4.5,27,1.83,0.3,Mon,0,Clear,0.76,2.9
T000051,Route_20,Tram,19,25.2,32,14.14,7.0,Sun,0,Clear,0.791,4.0
T000052,Route_20,Tram,21,4.7,33,3.34,9.1,Mon,1,Rain,0.767,3.1
