trip_id,route,vehicle_type,departure_hour,distance_km,passengers,fare_amount,delay_minutes,day_of_week,is_holiday,weather_condition,on_time_pct,passenger_satisfaction
T000001,Route_13,Ferry,12,7.4,27,5.22,2.1,Fri,1,Rain,0.743,4.4
T000002,Route_18,Train,5,29.0,21,13.08,10.4,Thu,0,Rain,1.0,3.9
T000003,Route_12,Tram,3,22.4,24,5.76,1.7,Wed,0,Snow,0.938,2.8
T000004,Route_2,Subway,14,12.2,23,6.49,1.4,Fri,0,Clear,0.94,4.0
T000005,Route_3,Bus,6,3.6,23,12.25,6.0,Mon,1,Rain,0.979,3.5
T000006,Route_17,Tram,14,24.2,33,10.32,8.2,Tue,0,Rain,0.684,2.0
T000007,Route_3,Train,3,20.1,34,5.93,5.8,Fri,0,Clear,0.876,4.5
T000008,Route_1,Subway,1,4.4,27,2.63,2.8,Sun,0,Rain,0.828,2.0
T000009,Route_9,Subway,15,0.8,29,9.13,0.1,Mon,0,Clear,0.832,3.1
T000010,Route_13,Tram,14,22.9,38,6.88,9.5,Sat,0,Clear,0.786,3.4
T000011,Route_17,Subway,12,43.5,36,11.34,4.8,Mon,0,Rain,0.772,3.7
T000012,Route_4,Ferry,22,30.4,31,7.72,0.0,Wed,0,Clear,0.731,3.2
T000013,Route_10,Bus,2,15.9,32,2.65,6.6,Thu,0,Clear,0.753,2.6
T000014,Route_1,Bus,14,23.6,32,13.26,1.5,Mon,1,Clear,0.918,3.6
T000015,Route_20,Subway,9,24.5,24,13.98,9.0,Wed,0,Rain,0.968,3.9
T000016,Route_13,Subway,11,26.2,28,6.31,7.1,Thu,0,Snow,0.812,3.8
T000017,Route_15,Subway,18,1.2,24,14.62,7.0,Mon,0,Clear,1.0,3.2
T000018,Route_17,Tram,1,33.7,25,10.77,2.8,Thu,0,Clear,0.747,3.3
T000019,Route_14,Tram,12,8.1,33,5.86,1.5,Sat,0,Clear,0.763,3.6
T000020,Route_5,Bus,21,29.5,29,2.22,9.3,Mon,0,Clear,0.965,3.3
T000021,Route_8,Ferry,15,31.3,31,9.76,0.9,Fri,0,Rain,0.803,2.8
T000022,Route_1,Train,6,23.4,23,11.3,0.2,Thu,1,Clear,0.909,3.1
T000023,Route_6,Train,9,37.5,27,13.66,7.3,Sat,0,Clear,0.737,5.0
T000024,Route_11,Subway,17,6.0,34,3.4,10.2,Sun,0,Clear,0.772,4.5
T000025,Route_5,Subway,15,27.4,37,4.27,2.6,Sat,1,Clear,0.843,4.0
T000026,Route_13,Subway,0,24.9,29,13.84,9.1,Sat,0,Clear,0.729,2.7
T000027,Route_11,Subway,18,40.6,20,8.69,2.4,Sun,0,Clear,0.944,4.5
T000028,Route_8,Ferry,0,31.6,25,13.29,8.3,Fri,0,Clear,0.704,2.7
T000029,Route_20,Train,2,3.4,33,12.61,0.9,Mon,1,Clear,0.826,1.9
T000030,Route_2,Ferry,20,4.0,26,14.44,1.4,Sat,0,Clear,0.741,3.6
T000031,Route_18,Ferry,18,44.4,35,5.95,0.2,Mon,0,Clear,0.82,4.1
T000032,Route_16,Ferry,3,31.1,31,7.41,17.6,Mon,1,Clear,0.937,2.2
T000033,Route_10,Subway,2,12.8,31,14.86,4.9,Sun,0,Rain,0.847,4.7
T000034,Route_20,Subway,3,37.9,34,3.35,1.4,Thu,0,Snow,0.817,4.0
T000035,Route_20,Ferry,13,38.1,27,4.18,4.8,Sat,0,Clear,0.827,3.4
T000036,Route_2,Bus,6,9.5,27,2.67,0.5,Tue,0,Clear,0.918,4.2
T000037,Route_18,Subway,2,11.5,37,7.31,4.6,Thu,0,Clear,0.903,4.5
T000038,Route_4,Train,16,23.3,39,9.98,8.3,Thu,0,Clear,0.897,2.3
T000039,Route_18,Bus,3,8.1,23,12.92,4.9,Fri,0,Fog,1.0,2.6
T000040,Route_14,Train,15,23.5,26,10.58,7.2,Wed,0,Clear,0.863,1.8
T000041,Route_4,Subway,19,35.8,29,8.55,15.6,Wed,0,Clear,0.858,2.3
T000042,Route_4,Bus,15,40.7,33,1.74,4.0,Mon,0,Clear,0.813,2.4
T000043,Route_3,Ferry,21,6.8,27,1.89,3.9,Fri,0,Fog,0.99,2.7
T000044,Route_14,Tram,13,8.0,42,8.77,3.2,Thu,0,Clear,0.838,5.0
T000045,Route_4,Train,22,43.0,29,12.56,0.1,Fri,0,Rain,0.835,2.9
T000046,Route_11,Train,7,10.8,31,13.32,3.1,Sun,0,Rain,0.984,3.1
T000047,Route_20,Subway,19,1.7,30,14.51,4.4,Fri,0,Clear,0.793,2.3
T000048,Route_20,Subway,10,5.2,36,11.28,0.5,Sat,0,Rain,0.753,4.2
T000049,Route_4,Train,8,43.6,20,3.21,5.3,Tue,0,Clear,0.915,2.4
T000050,Route_16,Train,4,38.2,24,6.43,5.0,Thu,0,Snow,0.611,3.7
T000051,Route_3,Subway,16,5.4,25,4.43,1.4,Mon,1,Clear,0.784,2.5
T000052,Route_18,Bus,8,14.5,18,11.52,2.4,Wed,0,Clear,0.831,3.8
T000053,Route_18,Bus,17,26.3,30,2.32,12.6,Wed,0,Clear,0.84,4.0
T000054,Route_20,Subway,1,41.1,34,9.67,2.6,Wed,1,Snow,0.773,3.9
T000055,Route_7,Train,3,10.3,30,7.63,1.6,Mon,0,Rain,0.766,3.6
T000056,Route_5,Tram,5,37.2,34,13.59,0.3,Tue,0,Clear,1.0,3.0
T000057,Route_11,Train,20,38.9,34,2.97,8.0,Sat,0,Rain,0.884,2.0
T000058,Route_8,Subway,7,17.2,39,4.04,2.9,Sat,0,Clear,0.818,3.2
T000059,Route_12,Subway,0,39.5,32,13.96,1.0,Fri,1,Clear,0.815,2.8
T000060,Route_13,Ferry,19,26.2,27,5.09,7.4,Wed,0,Clear,0.933,3.6
T000061,Route_2,Ferry,19,17.5,35,3.88,4.0,Tue,0,Clear,0.859,4.4
