trip_id,route,vehicle_type,departure_hour,distance_km,passengers,fare_amount,delay_minutes,day_of_week,is_holiday,weather_condition,on_time_pct,passenger_satisfaction
T000001,Route_17,Ferry,3,38.2,26,10.89,7.2,Tue,0,Rain,0.877,3.5
T000002,Route_16,Subway,16,30.1,28,7.15,1.6,Sun,0,Rain,0.727,1.7
T000003,Route_20,Tram,14,17.3,26,6.9,2.3,Mon,0,Clear,0.941,3.9
T000004,Route_8,Bus,6,42.1,20,8.53,2.1,Sat,0,Clear,0.692,3.0
T000005,Route_17,Ferry,1,33.2,23,7.34,0.5,Tue,0,Rain,0.813,3.5
T000006,Route_15,Tram,17,10.1,29,7.15,5.5,Thu,1,Clear,0.885,1.5
T000007,Route_7,Ferry,5,35.1,23,5.09,8.6,Fri,0,Rain,0.888,4.4
T000008,Route_6,Train,6,4.5,35,9.1,2.7,Wed,0,Clear,0.847,4.0
T000009,Route_1,Tram,9,40.6,33,11.99,3.7,Wed,0,Clear,0.752,3.5
T000010,Route_8,Bus,7,37.6,27,12.56,1.6,Wed,0,Clear,0.872,3.8
T000011,Route_11,Bus,12,44.7,23,1.56,1.0,Mon,0,Rain,0.762,4.4
T000012,Route_9,Train,14,24.6,29,12.46,2.5,Tue,0,Clear,0.816,2.6
T000013,Route_11,Bus,1,25.3,22,7.28,3.7,Fri,0,Clear,0.721,3.9
T000014,Route_11,Train,3,7.6,22,7.29,4.1,Tue,0,Clear,1.0,2.1
T000015,Route_6,Ferry,16,24.0,28,13.39,1.6,Wed,0,Rain,0.802,4.1
T000016,Route_11,Tram,9,0.9,27,8.66,6.2,Thu,0,Rain,0.862,1.7
T000017,Route_17,Bus,16,20.8,27,5.01,0.5,Fri,0,Clear,0.891,3.1
T000018,Route_9,Subway,17,22.7,31,10.05,2.4,Fri,0,Clear,0.712,3.0
T000019,Route_3,Subway,11,21.2,43,5.56,4.6,Sun,0,Fog,0.798,3.9
T000020,Route_3,Subway,17,10.3,33,5.1,4.5,Tue,0,Rain,0.943,4.6
T000021,Route_18,Train,19,16.5,24,8.74,4.9,Mon,0,Clear,1.0,3.3
T000022,Route_2,Subway,16,20.9,25,8.9,8.5,Thu,0,Rain,0.703,3.2
T000023,Route_2,Ferry,14,28.3,28,7.21,0.9,Wed,0,Snow,0.943,3.4
T000024,Route_8,Tram,12,38.2,29,3.95,4.2,Sat,1,Clear,0.956,3.5
T000025,Route_14,Tram,13,32.0,32,12.61,0.5,Thu,0,Snow,0.768,2.5
