trip_id,route,vehicle_type,departure_hour,distance_km,passengers,fare_amount,delay_minutes,day_of_week,is_holiday,weather_condition,on_time_pct,passenger_satisfaction
T000001,Route_13,Ferry,4,41.6,41,2.11,0.4,Sun,0,Rain,0.988,3.8
T000002,Route_3,Bus,4,35.0,30,14.36,1.7,Fri,0,Clear,0.703,3.7
T000003,Route_20,Tram,15,36.2,28,8.06,11.0,Wed,0,Rain,0.804,2.5
T000004,Route_1,Train,16,9.5,25,3.17,0.8,Sat,0,Clear,0.925,3.4
T000005,Route_18,Subway,1,29.4,31,14.15,15.1,Wed,0,Clear,0.685,4.2
T000006,Route_12,Subway,11,7.3,39,7.99,3.0,Mon,1,Rain,0.845,2.3
T000007,Route_12,Subway,4,33.6,36,4.97,0.7,Thu,0,Rain,0.735,4.4
T000008,Route_20,Tram,13,27.7,40,14.7,1.1,Wed,0,Rain,1.0,3.2
T000009,Route_9,Tram,15,30.4,24,11.19,2.3,Wed,0,Clear,0.765,2.9
T000010,Route_13,Bus,8,14.5,23,8.41,5.3,Fri,0,Clear,0.98,3.2
T000011,Route_2,Tram,14,6.5,29,2.67,3.0,Sat,0,Clear,0.939,4.4
T000012,Route_20,Tram,22,25.7,27,14.69,0.5,Thu,1,Clear,0.811,2.2
T000013,Route_12,Bus,18,4.9,31,4.43,2.5,Fri,0,Clear,0.954,4.3
T000014,Route_5,Tram,11,3.2,32,9.64,6.4,Mon,0,Clear,0.8,4.0
T000015,Route_2,Bus,19,40.9,29,10.16,2.1,Sun,1,Clear,0.911,4.3
T000016,Route_10,Subway,15,23.6,30,14.52,8.3,Fri,0,Fog,0.785,3.9
T000017,Route_10,Bus,8,25.0,23,10.6,0.3,Mon,0,Snow,0.745,4.3
T000018,Route_12,Tram,8,20.4,32,9.14,4.7,Sun,0,Clear,0.911,3.4
T000019,Route_20,Ferry,14,20.9,37,5.78,7.1,Sat,0,Rain,0.821,4.0
T000020,Route_13,Ferry,6,12.6,25,3.01,15.4,Fri,0,Clear,0.896,5.0
T000021,Route_7,Ferry,8,35.0,27,8.93,24.9,Wed,0,Clear,0.883,2.1
T000022,Route_16,Ferry,12,1.1,26,8.92,7.4,Sun,0,Clear,0.904,4.3
T000023,Route_15,Tram,11,22.1,24,7.09,2.9,Sat,0,Clear,0.765,5.0
T000024,Route_15,Tram,18,41.7,24,3.02,0.5,Fri,0,Rain,0.918,2.1
T000025,Route_11,Train,19,10.7,28,7.42,6.1,Wed,0,Clear,0.693,1.9
T000026,Route_12,Ferry,8,19.2,28,1.58,8.5,Mon,0,Clear,0.836,3.4
T000027,Route_20,Subway,10,1.9,32,14.04,0.9,Fri,0,Snow,0.786,3.4
T000028,Route_17,Train,16,2.6,37,13.37,1.9,Wed,0,Rain,0.882,2.9
T000029,Route_16,Train,13,6.7,35,7.29,4.8,Sun,0,Clear,0.784,3.1
