trip_id,route,vehicle_type,departure_hour,distance_km,passengers,fare_amount,delay_minutes,day_of_week,is_holiday,weather_condition
T000001,Route_15,Train,6,17.7,38,6.09,8.4,Mon,0,Rain
T000002,Route_2,Train,18,20.1,29,2.06,4.7,Sun,0,Clear
T000003,Route_5,Ferry,8,22.8,21,4.06,7.6,Sun,0,Rain
T000004,Route_3,Bus,16,11.2,28,11.8,0.5,Wed,0,Clear
T000005,Route_20,Subway,9,16.1,41,2.26,0.2,Thu,0,Clear
T000006,Route_2,Train,18,42.7,28,4.83,9.6,Sun,0,Clear
T000007,Route_7,Subway,16,22.7,36,7.1,5.6,Wed,0,Clear
T000008,Route_5,Bus,21,11.2,24,10.87,0.9,Tue,0,Rain
T000009,Route_4,Ferry,15,20.4,35,4.7,4.8,Thu,0,Clear
T000010,Route_13,Subway,15,17.4,28,2.27,14.3,Sat,0,Clear
T000011,Route_12,Tram,21,16.0,27,12.82,16.2,Tue,0,Clear
T000012,Route_2,Ferry,5,33.3,27,7.6,4.4,Wed,0,Clear
T000013,Route_18,Ferry,15,5.6,38,12.86,5.2,Tue,0,Rain
T000014,Route_15,Tram,0,14.5,33,8.91,1.3,Sat,0,Snow
T000015,Route_13,Subway,15,12.1,29,10.07,3.5,Sat,0,Rain
T000016,Route_20,Ferry,0,7.1,29,5.52,4.9,Wed,0,Clear
T000017,Route_7,Tram,19,38.5,30,2.86,5.3,Fri,0,Clear
T000018,Route_16,Subway,22,20.8,22,6.59,2.1,Thu,0,Rain
T000019,Route_6,Train,11,10.7,27,4.85,3.8,Wed,0,Clear
T000020,Route_15,Ferry,12,23.5,33,11.2,23.3,Wed,0,Clear
T000021,Route_6,Subway,2,5.3,29,1.77,2.1,Wed,0,Clear
T000022,Route_13,Train,20,37.0,28,3.27,2.3,Sun,0,Rain
T000023,Route_18,Tram,4,31.0,26,12.98,3.6,Fri,0,Fog
T000024,Route_17,Bus,19,7.3,33,11.64,1.2,Sat,0,Rain
T000025,Route_17,Train,2,37.0,29,9.97,0.2,Wed,0,Rain
T000026,Route_5,Train,0,21.0,32,4.19,0.5,Thu,0,Rain
T000027,Route_8,Train,13,42.9,25,2.85,5.1,Sun,0,Clear
T000028,Route_14,Train,2,17.2,36,13.43,1.8,Thu,0,Fog
T000029,Route_3,Subway,8,23.3,31,8.66,5.6,Sat,0,Clear
T000030,Route_17,Bus,14,12.2,23,10.5,5.6,Wed,0,Clear
T000031,Route_4,Bus,18,3.3,33,11.08,5.4,Mon,0,Snow
