trip_id,route,vehicle_type,departure_hour,distance_km,passengers,fare_amount,delay_minutes,day_of_week,is_holiday,weather_condition
T000001,Route_11,Bus,0,34.1,29,5.61,8.3,Thu,0,Rain
T000002,Route_19,Tram,20,9.9,33,2.95,0.4,Wed,0,Rain
T000003,Route_3,Bus,12,33.1,35,7.58,0.2,Sat,0,Clear
T000004,Route_4,Train,15,34.7,23,11.56,12.3,Sun,0,Clear
T000005,Route_9,Subway,11,11.6,33,4.22,1.7,Sat,0,Rain
T000006,Route_16,Bus,19,34.6,36,8.43,3.3,Sun,0,Rain
T000007,Route_4,Tram,20,6.2,34,13.45,6.6,Sat,0,Clear
T000008,Route_10,Train,22,16.9,28,2.71,2.2,Sun,0,Rain
T000009,Route_12,Train,7,4.4,38,14.31,3.8,Mon,0,Clear
T000010,Route_15,Tram,9,35.3,35,7.74,9.8,Sat,0,Rain
T000011,Route_9,Tram,19,15.5,32,7.19,9.2,Tue,1,Rain
T000012,Route_13,Bus,19,2.9,26,9.05,0.2,Wed,0,Clear
T000013,Route_12,Tram,22,8.0,28,2.58,5.1,Fri,0,Snow
T000014,Route_3,Bus,13,41.5,30,14.93,0.7,Tue,0,Clear
T000015,Route_6,Subway,21,13.3,32,11.02,5.2,Wed,0,Clear
T000016,Route_18,Train,2,34.3,34,13.3,3.7,Fri,0,Clear
T000017,Route_9,Bus,21,21.4,30,3.77,2.8,Sun,0,Fog
T000018,Route_13,Train,5,4.8,44,11.57,6.5,Fri,0,Clear
T000019,Route_20,Bus,0,29.7,25,8.96,4.7,Sun,1,Snow
T000020,Route_7,Tram,15,4.2,37,1.56,3.0,Sat,0,Clear
T000021,Route_14,Bus,2,35.6,30,8.58,0.1,Sat,0,Clear
T000022,Route_7,Ferry,16,16.3,32,12.42,2.1,Mon,0,Snow
T000023,Route_1,Ferry,14,12.3,27,12.82,0.1,Thu,0,Clear
T000024,Route_8,Ferry,12,36.8,34,11.35,11.9,Thu,0,Clear
T000025,Route_7,Bus,16,29.0,31,12.38,3.8,Sun,0,Clear
T000026,Route_17,Bus,9,22.2,30,14.34,0.8,Sat,0,Clear
T000027,Route_19,Bus,3,18.2,27,2.28,21.5,Fri,0,Snow
T000028,Route_4,Tram,2,42.5,29,5.96,3.2,Thu,0,Rain
T000029,Route_2,Ferry,15,6.0,27,4.4,0.3,Fri,0,Snow
T000030,Route_10,Bus,0,27.3,23,1.92,0.6,Fri,0,Clear
T000031,Route_17,Bus,18,30.0,30,14.29,1.1,Wed,0,Clear
T000032,Route_3,Ferry,11,15.0,34,4.25,8.0,Thu,0,Rain
T000033,Route_17,Train,18,45.0,32,14.51,2.3,Sat,0,Clear
T000034,Route_14,Bus,6,38.3,24,4.76,5.9,Wed,0,Clear
T000035,Route_4,Ferry,11,15.0,37,14.4,7.0,Sat,0,Clear
T000036,Route_2,Train,16,16.1,26,9.69,2.3,Thu,1,Snow
T000037,Route_7,Ferry,19,8.9,36,5.2,6.0,Sun,0,Clear
