trip_id,route,vehicle_type,departure_hour,distance_km,passengers,fare_amount,delay_minutes,day_of_week,is_holiday,weather_condition,origin_lat,origin_lon,dest_lat,dest_lon
T000001,Route_18,Bus,1,44.7,23,7.53,13.3,Wed,0,Clear,40.7712,-74.03499,40.69666,-74.00343
T000002,Route_3,Bus,19,32.0,29,5.58,0.0,Sun,0,Snow,40.536,-73.80801,40.9272,-73.91601
T000003,Route_17,Tram,21,1.9,35,6.71,11.0,Tue,0,Clear,40.75315,-73.89213,40.63699,-74.08888
T000004,Route_4,Subway,6,21.8,31,11.18,3.7,Thu,0,Rain,40.72221,-73.90143,40.9569,-74.09726
T000005,Route_20,Bus,5,0.9,38,13.51,1.1,Thu,0,Clear,40.9955,-74.03792,40.68209,-73.74191
T000006,Route_7,Ferry,19,35.7,31,11.17,0.9,Fri,0,Clear,40.88854,-73.74487,40.50474,-73.82673
T000007,Route_3,Subway,17,26.3,28,2.14,1.2,Thu,0,Clear,40.53818,-74.08479,40.83661,-73.8717
T000008,Route_19,Subway,6,4.8,29,1.78,4.3,Fri,0,Rain,40.90321,-73.92502,40.95148,-73.75185
T000009,Route_10,Train,1,26.5,28,10.56,12.5,Wed,0,Clear,40.90003,-73.81516,40.92306,-73.88196
T000010,Route_11,Train,0,32.2,31,7.22,2.1,Fri,0,Clear,40.74922,-73.88668,40.77395,-73.88402
T000011,Route_15,Subway,21,21.3,31,7.83,1.7,Wed,0,Clear,40.66229,-74.06981,40.96732,-73.89234
T000012,Route_10,Ferry,18,27.2,24,5.79,14.3,Fri,0,Rain,40.51109,-74.02601,40.88166,-73.73229
T000013,Route_6,Ferry,10,14.5,37,2.54,2.8,Thu,0,Rain,40.82765,-73.86181,40.68051,-74.06033
T000014,Route_17,Train,0,19.7,43,6.97,0.6,Sat,0,Clear,40.63184,-73.96755,40.84839,-73.76732
T000015,Route_9,Tram,18,34.8,35,4.5,7.7,Fri,0,Clear,40.69018,-73.8378,40.83103,-73.91726
T000016,Route_12,Bus,6,37.7,32,10.45,5.9,Sun,0,Clear,40.8061,-73.82323,40.84306,-73.93133
T000017,Route_5,Bus,18,21.9,33,14.65,0.7,Wed,0,Rain,40.96083,-74.03142,40.64283,-74.08687
T000018,Route_8,Bus,10,5.8,26,4.54,0.5,Sun,0,Fog,40.72948,-73.82942,40.57038,-74.08612
T000019,Route_10,Subway,8,43.4,36,10.42,2.3,Sat,0,Clear,40.51896,-73.87501,40.56574,-73.70319
T000020,Route_14,Bus,15,3.5,22,6.38,8.4,Tue,0,Clear,40.87578,-73.96843,40.55183,-73.95763
T000021,Route_9,Tram,9,1.3,27,3.81,3.3,Sun,0,Clear,40.65927,-73.97693,40.94838,-73.78371
T000022,Route_13,Train,5,23.1,25,8.13,2.1,Sat,0,Clear,40.52967,-74.06214,40.57444,-74.01383
T000023,Route_11,Train,9,4.7,39,10.76,5.4,Fri,0,Clear,40.9996,-73.74566,40.59049,-73.74277
T000024,Route_8,Train,17,3.8,38,8.89,3.3,Fri,0,Clear,40.98198,-73.93164,40.89993,-73.7004
T000025,Route_15,Bus,7,40.3,32,12.12,4.5,Wed,0,Clear,40.88446,-73.77406,40.91025,-73.83536
T000026,Route_4,Bus,13,29.2,30,5.31,0.7,Sat,0,Rain,40.83968,-74.07232,40.53229,-73.82336
T000027,Route_4,Train,17,10.7,33,13.09,2.4,Tue,0,Clear,40.70681,-73.97109,40.80825,-74.08405
T000028,Route_20,Bus,9,23.5,38,8.37,1.7,Wed,0,Clear,40.57411,-73.82634,40.5401,-73.71811
T000029,Route_6,Train,16,12.5,36,3.31,7.3,Tue,1,Clear,40.86127,-73.83789,40.84934,-74.06154
T000030,Route_15,Tram,10,22.0,27,13.69,3.1,Fri,1,Snow,40.86958,-73.83768,40.62506,-74.0789
T000031,Route_17,Subway,2,15.5,28,6.13,2.4,Sun,0,Clear,40.97131,-74.04064,40.97606,-74.08641
T000032,Route_3,Tram,21,22.1,24,3.1,2.6,Mon,0,Fog,40.5659,-73.89596,40.77864,-73.72546
T000033,Route_7,Train,1,11.1,34,3.05,1.1,Mon,0,Clear,40.79895,-74.04745,40.54515,-73.80462
T000034,Route_10,Ferry,22,21.0,38,7.1,23.3,Sat,0,Rain,40.9139,-73.97448,40.63691,-73.89496
T000035,Route_17,Train,12,37.9,37,4.89,5.6,Mon,0,Rain,40.8412,-73.961,40.76843,-73.92861
T000036,Route_8,Subway,14,32.9,28,12.69,1.1,Sun,0,Clear,40.73743,-73.80646,40.72071,-73.72757
T000037,Route_3,Ferry,13,6.5,25,6.1,7.5,Mon,0,Clear,40.99304,-73.96988,40.91921,-74.04544
T000038,Route_4,Train,2,44.2,38,4.87,4.9,Mon,0,Clear,40.91106,-73.84685,40.7274,-73.86643
T000039,Route_2,Train,20,40.9,37,6.33,10.1,Wed,0,Clear,40.93256,-73.9785,40.91232,-73.99901
T000040,Route_8,Bus,12,7.5,26,1.58,1.2,Mon,0,Clear,40.94236,-74.0436,40.94642,-73.77799
T000041,Route_16,Bus,10,24.0,29,6.37,9.9,Tue,0,Clear,40.78795,-74.09604,40.75061,-74.01379
T000042,Route_4,Train,20,4.6,30,10.14,7.4,Thu,0,Rain,40.63022,-73.88488,40.8812,-73.85571
T000043,Route_10,Train,3,9.5,30,13.04,8.9,Sat,0,Clear,40.80352,-73.70272,40.73201,-73.86531
T000044,Route_15,Subway,7,19.3,32,8.57,31.0,Mon,0,Clear,40.75562,-73.84866,40.98849,-74.04324
T000045,Route_10,Bus,21,21.7,35,11.7,6.3,Sun,0,Fog,40.57054,-73.75575,40.7771,-73.84385
T000046,Route_6,Bus,20,42.7,25,8.41,2.7,Thu,0,Rain,40.87061,-74.01286,40.73873,-73.89201
T000047,Route_16,Bus,12,4.3,32,11.45,1.4,Fri,0,Clear,40.69641,-73.91208,40.86205,-73.89185
T000048,Route_9,Subway,14,27.0,33,5.13,1.0,Tue,0,Clear,40.62332,-73.97018,40.67591,-73.85728
T000049,Route_1,Subway,6,16.0,26,8.43,7.9,Tue,0,Snow,40.57709,-73.99402,40.77387,-74.01269
T000050,Route_6,Tram,0,26.1,30,3.81,0.9,Wed,0,Clear,40.63527,-73.76879,40.83315,-73.84647
T000051,Route_14,Ferry,20,25.9,20,10.46,0.2,Sat,0,Clear,40.81193,-74.0324,40.59936,-73.70469
T000052,Route_20,Subway,3,33.2,29,6.6,0.2,Sat,0,Clear,40.56556,-73.72222,40.85476,-73.92849
