trip_id,route,vehicle_type,departure_hour,distance_km,passengers,fare_amount,delay_minutes,day_of_week,is_holiday,weather_condition
T000001,Route_18,Tram,9,37.1,32,5.26,2.2,Mon,0,Clear
T000002,Route_1,Subway,0,1.2,34,7.78,3.4,Wed,0,Clear
T000003,Route_5,Subway,21,3.9,25,4.99,0.3,Sun,0,Clear
T000004,Route_3,Ferry,17,10.6,24,10.57,1.7,Fri,0,Clear
T000005,Route_10,Ferry,10,35.8,25,13.05,0.6,Thu,0,Clear
T000006,Route_9,Tram,17,15.8,25,2.84,4.8,Mon,0,Clear
T000007,Route_13,Ferry,13,11.3,26,11.42,0.1,Sun,0,Clear
T000008,Route_13,Train,7,35.9,38,5.7,5.1,Fri,0,Fog
T000009,Route_7,Bus,9,30.1,29,11.88,1.1,Mon,0,Clear
T000010,Route_12,Tram,8,3.1,23,12.8,0.7,Fri,0,Snow
T000011,Route_12,Ferry,14,44.7,33,11.54,0.6,Mon,0,Clear
T000012,Route_10,Ferry,8,34.1,30,3.53,15.7,Thu,0,Rain
T000013,Route_15,Ferry,3,24.0,28,4.15,7.8,Wed,0,Rain
T000014,Route_3,Ferry,12,29.9,32,3.59,0.1,Sat,0,Rain
T000015,Route_11,Tram,19,6.6,25,5.61,1.6,Fri,0,Clear
T000016,Route_19,Ferry,20,2.9,21,12.37,2.9,Wed,1,Clear
T000017,Route_10,Bus,13,21.7,31,5.36,1.4,Mon,0,Fog
T000018,Route_5,Bus,2,40.6,29,4.2,0.0,Fri,0,Clear
T000019,Route_9,Bus,1,10.8,32,14.42,2.4,Thu,0,Clear
T000020,Route_9,Bus,21,43.8,31,8.68,6.4,Sun,0,Fog
T000021,Route_3,Train,7,33.3,32,4.97,5.2,Sun,0,Clear
T000022,Route_1,Bus,11,42.5,41,5.55,1.0,Sun,0,Rain
T000023,Route_19,Bus,17,10.9,29,6.95,3.5,Fri,1,Rain
T000024,Route_10,Bus,7,7.6,28,9.07,12.2,Sun,0,Clear
T000025,Route_8,Subway,19,39.3,32,11.85,5.0,Fri,0,Clear
T000026,Route_5,Subway,19,29.0,36,8.83,17.8,Sun,0,Snow
T000027,Route_3,Ferry,1,18.1,21,11.77,8.5,Mon,0,Clear
T000028,Route_13,Ferry,5,3.2,31,8.31,17.7,Tue,0,Clear
T000029,Route_12,Tram,1,25.0,33,8.02,2.7,Mon,0,Clear
T000030,Route_6,Tram,13,35.3,23,10.47,15.7,Sat,1,Clear
T000031,Route_16,Train,9,6.9,29,8.01,1.5,Wed,0,Snow
T000032,Route_3,Subway,19,28.3,33,3.47,7.7,Wed,0,Rain
T000033,Route_15,Bus,21,19.6,31,4.5,0.1,Wed,0,Clear
T000034,Route_8,Train,16,14.4,37,10.25,10.6,Sun,0,Clear
T000035,Route_15,Tram,11,8.4,24,2.58,3.6,Sat,0,Rain
T000036,Route_4,Subway,13,18.9,35,2.58,2.0,Wed,0,Clear
T000037,Route_4,Tram,22,34.5,34,11.98,3.0,Mon,0,Clear
T000038,Route_10,Tram,15,41.9,30,5.15,5.2,Wed,1,Clear
T000039,Route_16,Train,3,29.1,32,10.15,2.1,Mon,0,Fog
T000040,Route_7,Train,2,42.7,21,9.33,4.9,Fri,0,Clear
T000041,Route_20,Ferry,9,12.6,38,3.57,11.1,Mon,0,Rain
T000042,Route_17,Bus,20,10.0,32,14.56,4.2,Sun,0,Rain
T000043,Route_18,Tram,18,28.1,25,10.81,0.4,Fri,0,Clear
T000044,Route_10,Ferry,11,39.8,28,7.33,2.5,Sun,0,Rain
T000045,Route_12,Bus,19,30.6,34,6.64,1.7,Wed,0,Clear
T000046,Route_16,Bus,12,42.4,34,4.68,9.8,Mon,0,Rain
T000047,Route_20,Subway,10,9.1,32,11.42,2.2,Fri,0,Clear
T000048,Route_14,Train,17,36.4,32,8.76,3.4,Wed,0,Clear
T000049,Route_7,Subway,22,33.8,29,11.53,0.8,Fri,1,Rain
T000050,Route_16,Train,6,12.1,35,1.66,0.8,Mon,0,Clear
T000051,Route_3,Subway,16,41.8,23,2.61,5.1,Thu,0,Clear
T000052,Route_14,Tram,11,5.5,32,4.51,18.4,Wed,1,Clear
T000053,Route_20,Train,7,13.2,25,7.18,1.2,Fri,0,Clear
T000054,Route_9,Train,11,38.7,37,13.22,0.7,Thu,0,Clear
T000055,Route_18,Subway,17,7.8,24,7.25,1.0,Wed,0,Snow
T000056,Route_2,Ferry,19,13.1,30,13.99,1.8,Sat,0,Fog
T000057,Route_17,Tram,13,3.0,31,7.4,1.2,Wed,0,Rain
T000058,Route_15,Train,5,43.0,38,12.99,0.3,Sat,0,Clear
T000059,Route_7,Subway,7,18.7,24,11.54,0.6,Tue,0,Clear
T000060,Route_2,Train,0,43.7,31,5.77,1.2,Wed,0,Clear
T000061,Route_11,Train,18,36.7,28,2.05,2.6,Mon,0,Fog
T000062,Route_16,Bus,2,33.2,31,9.71,1.2,Sat,1,Clear
T000063,Route_3,Bus,8,27.2,23,3.57,1.3,Wed,0,Snow
T000064,Route_13,Bus,10,8.0,29,3.39,0.1,Mon,1,Clear
T000065,Route_7,Tram,17,27.9,32,14.51,16.4,Sat,0,Clear
T000066,Route_10,Subway,7,28.8,18,2.92,0.7,Mon,0,Rain
T000067,Route_13,Bus,21,13.1,28,5.19,2.4,Tue,0,Rain
T000068,Route_1,Tram,22,3.6,28,4.83,0.1,Wed,0,Fog
T000069,Route_13,Bus,4,9.1,28,12.45,1.3,Tue,0,Clear
T000070,Route_6,Ferry,14,44.8,21,4.46,11.9,Wed,0,Rain
T000071,Route_10,Bus,7,34.0,24,5.44,2.3,Sat,0,Clear
