trip_id,route,vehicle_type,departure_hour,distance_km,passengers,fare_amount,delay_minutes,day_of_week,is_holiday,weather_condition
T000001,Route_1,Train,22,13.6,32,12.19,1.1,Wed,1,Clear
T000002,Route_16,Bus,22,14.1,32,9.24,5.9,Wed,0,Rain
T000003,Route_7,Ferry,12,5.4,35,2.1,1.7,Fri,1,Clear
T000004,Route_7,Tram,10,17.8,23,3.98,1.5,Mon,0,Clear
T000005,Route_19,Subway,8,5.3,28,3.45,0.2,Fri,0,Rain
T000006,Route_9,Subway,18,25.2,27,3.59,5.2,Sun,0,Rain
T000007,Route_2,Train,3,36.8,18,10.8,9.2,Wed,0,Clear
T000008,Route_10,Bus,13,33.5,22,14.21,6.4,Sat,0,Clear
T000009,Route_7,Bus,1,36.8,38,6.25,2.5,Wed,0,Clear
T000010,Route_19,Tram,0,40.7,33,9.61,2.3,Mon,0,Clear
T000011,Route_6,Ferry,22,41.9,35,2.26,3.3,Thu,0,Rain
T000012,Route_17,Train,19,39.8,39,8.05,2.4,Mon,0,Clear
T000013,Route_4,Tram,20,12.3,30,14.42,3.1,Fri,0,Snow
T000014,Route_5,Tram,16,3.3,18,11.81,1.4,Sat,0,Clear
T000015,Route_16,Bus,22,8.4,34,5.99,1.8,Sat,0,Snow
T000016,Route_18,Ferry,13,13.1,25,4.5,4.3,Sun,0,Fog
T000017,Route_10,Tram,3,6.9,36,7.99,4.6,Fri,0,Clear
T000018,Route_7,Train,20,28.6,30,3.76,3.5,Fri,0,Snow
T000019,Route_6,Ferry,14,25.4,21,5.03,1.3,Sat,0,Clear
T000020,Route_19,Tram,9,4.8,41,6.52,6.7,Fri,0,Clear
T000021,Route_14,Ferry,17,18.4,27,11.8,8.6,Sun,0,Clear
T000022,Route_18,Train,13,37.1,28,2.31,1.5,Thu,0,Clear
T000023,Route_4,Ferry,4,14.9,31,10.59,6.2,Sun,0,Snow
T000024,Route_4,Train,15,13.9,21,2.09,1.0,Tue,0,Clear
T000025,Route_20,Ferry,15,15.4,37,11.12,0.1,Tue,0,Clear
T000026,Route_5,Ferry,5,35.1,31,5.64,10.1,Fri,0,Clear
T000027,Route_6,Tram,11,25.5,38,2.18,6.4,Mon,0,Clear
T000028,Route_8,Tram,3,38.7,34,13.04,3.5,Thu,0,Clear
T000029,Route_11,Tram,15,23.9,30,6.28,2.3,Mon,0,Snow
T000030,Route_5,Train,9,17.9,22,13.92,2.2,Tue,0,Snow
T000031,Route_18,Ferry,12,14.2,27,10.84,9.9,Thu,0,Clear
T000032,Route_4,Bus,14,33.3,31,3.91,4.0,Sat,0,Clear
T000033,Route_3,Tram,10,28.5,28,12.72,6.7,Tue,0,Snow
T000034,Route_20,Ferry,14,18.7,32,7.31,13.6,Thu,0,Snow
T000035,Route_9,Ferry,21,37.1,28,8.15,13.2,Sun,0,Clear
T000036,Route_5,Subway,6,44.8,38,3.79,9.1,Tue,0,Clear
T000037,Route_16,Train,19,23.2,23,12.81,3.5,Sat,0,Clear
T000038,Route_3,Ferry,7,14.0,29,10.91,13.3,Thu,0,Clear
T000039,Route_15,Tram,19,12.4,30,4.24,6.1,Mon,0,Clear
T000040,Route_3,Tram,10,26.4,22,13.35,4.4,Mon,0,Fog
T000041,Route_11,Ferry,10,8.6,26,4.26,13.5,Thu,0,Snow
T000042,Route_5,Ferry,18,38.0,29,13.26,1.7,Mon,0,Rain
T000043,Route_19,Subway,2,14.1,35,7.51,5.6,Sun,0,Rain
T000044,Route_8,Train,19,9.5,23,3.1,5.5,Wed,1,Clear
T000045,Route_7,Subway,7,25.9,23,3.48,8.5,Thu,0,Clear
T000046,Route_7,Tram,13,31.3,28,10.04,8.9,Fri,0,Fog
T000047,Route_2,Bus,8,30.0,41,7.46,3.3,Thu,0,Clear
T000048,Route_8,Bus,17,42.1,32,12.34,0.3,Mon,0,Rain
T000049,Route_19,Bus,14,3.0,40,8.63,8.7,Sun,0,Snow
T000050,Route_12,Tram,19,9.0,21,1.82,23.6,Fri,0,Clear
T000051,Route_2,Ferry,19,3.3,32,10.29,15.4,Tue,0,Rain
T000052,Route_4,Ferry,2,43.8,21,5.11,0.6,Fri,1,Clear
T000053,Route_16,Tram,16,3.7,22,12.0,1.8,Thu,0,Clear
T000054,Route_16,Subway,6,42.1,21,5.3,0.3,Wed,0,Clear
T000055,Route_18,Train,15,21.1,26,14.67,3.2,Fri,0,Clear
T000056,Route_18,Ferry,8,24.8,31,9.36,8.0,Fri,0,Clear
T000057,Route_11,Ferry,6,16.8,30,9.11,9.6,Wed,0,Rain
T000058,Route_15,Ferry,21,11.9,42,4.56,1.9,Sat,0,Snow
T000059,Route_10,Subway,15,28.3,20,8.6,4.4,Sat,0,Clear
T000060,Route_13,Tram,10,3.0,22,12.88,9.4,Mon,1,Clear
T000061,Route_11,Tram,10,16.2,24,13.75,6.1,Sun,0,Rain
T000062,Route_18,Subway,14,21.6,34,12.63,1.9,Wed,0,Clear
T000063,Route_4,Tram,2,43.7,31,5.36,2.7,Mon,0,Clear
T000064,Route_16,Train,5,41.2,27,2.27,15.4,Sat,0,Snow
T000065,Route_1,Bus,11,1.6,39,10.29,1.1,Tue,0,Snow
T000066,Route_4,Tram,13,33.7,31,13.84,11.6,Fri,0,Rain
T000067,Route_6,Tram,20,38.3,25,9.85,1.3,Fri,0,Clear
T000068,Route_4,Subway,22,20.9,33,10.15,1.2,Mon,0,Clear
T000069,Route_11,Ferry,9,21.7,27,6.03,1.0,Wed,0,Rain
T000070,Route_7,Subway,13,27.4,41,8.9,7.0,Sun,0,Snow
T000071,Route_19,Bus,10,11.6,33,6.69,0.2,Mon,0,Rain
T000072,Route_12,Ferry,8,34.1,36,6.06,0.4,Mon,0,Clear
T000073,Route_15,Tram,6,33.4,25,4.35,5.9,Wed,0,Clear
T000074,Route_14,Ferry,20,13.8,21,7.1,1.7,Thu,0,Clear
T000075,Route_14,Tram,6,21.5,28,14.73,6.1,Mon,0,Clear
T000076,Route_20,Ferry,9,35.8,29,8.63,2.2,Mon,0,Clear
T000077,Route_11,Ferry,22,11.5,23,9.42,6.3,Wed,0,Snow
T000078,Route_5,Bus,9,22.0,27,7.61,0.3,Sat,0,Clear
T000079,Route_12,Tram,15,8.8,26,5.34,6.9,Tue,0,Clear
T000080,Route_16,Bus,16,14.6,38,10.54,0.2,Fri,0,Clear
T000081,Route_7,Tram,20,12.7,37,13.73,8.8,Mon,0,Clear
T000082,Route_9,Train,21,41.1,34,2.91,1.2,Mon,0,Snow
T000083,Route_17,Ferry,9,14.1,27,7.36,1.4,Thu,0,Clear
T000084,Route_17,Train,2,12.8,26,9.42,11.7,Tue,0,Clear
T000085,Route_12,Train,19,43.7,31,14.59,1.7,Tue,0,Clear
T000086,Route_3,Train,20,19.9,27,7.43,0.7,Sun,0,Clear
T000087,Route_7,Ferry,0,1.1,34,14.07,15.5,Sun,0,Clear
T000088,Route_5,Subway,3,0.9,35,9.18,15.7,Fri,0,Clear
T000089,Route_1,Tram,13,15.6,24,12.47,1.1,Fri,0,Snow
T000090,Route_2,Subway,15,17.2,27,6.57,0.3,Wed,0,Rain
T000091,Route_3,Subway,2,31.6,31,9.37,28.5,Sat,0,Clear
T000092,Route_1,Ferry,13,1.3,29,1.67,0.3,Fri,1,Rain
T000093,Route_5,Train,20,27.9,27,3.36,2.7,Wed,1,Rain
T000094,Route_9,Tram,19,35.1,32,2.81,19.0,Sat,0,Clear
T000095,Route_11,Ferry,15,6.2,27,2.01,2.3,Thu,0,Clear
T000096,Route_7,Ferry,0,4.0,33,8.07,5.9,Tue,0,Clear
T000097,Route_2,Bus,9,16.3,21,5.21,19.8,Thu,0,Rain
T000098,Route_9,Train,16,4.9,32,3.69,1.7,Sun,0,Clear
T000099,Route_17,Tram,2,24.6,32,6.75,3.6,Thu,0,Clear
T000100,Route_12,Subway,14,21.7,24,6.42,0.5,Thu,0,Clear
T000101,Route_18,Train,3,11.5,30,10.04,3.8,Fri,0,Snow
T000102,Route_7,Train,9,37.2,29,13.47,3.9,Wed,0,Clear
T000103,Route_6,Train,1,7.8,31,2.18,10.2,Fri,0,Rain
T000104,Route_1,Bus,21,34.8,28,3.9,2.9,Tue,0,Clear
T000105,Route_4,Bus,6,30.8,31,2.92,4.3,Wed,0,Clear
T000106,Route_19,Subway,12,31.8,21,4.57,1.0,Thu,0,Clear
T000107,Route_11,Train,16,11.7,30,1.77,16.8,Wed,0,Rain
T000108,Route_20,Subway,19,31.8,39,12.71,1.2,Sat,0,Clear
T000109,Route_5,Bus,12,32.3,30,12.17,8.1,Sat,1,Rain
T000110,Route_8,Train,22,36.9,27,8.3,0.3,Thu,0,Clear
T000111,Route_11,Subway,21,32.6,34,4.69,5.3,Fri,0,Clear
T000112,Route_16,Ferry,16,44.6,37,10.25,12.2,Fri,0,Fog
T000113,Route_4,Ferry,4,31.7,23,3.73,0.3,Sat,0,Clear
T000114,Route_13,Ferry,21,36.4,28,12.38,5.4,Wed,0,Snow
T000115,Route_5,Tram,6,15.3,30,9.48,6.1,Sat,0,Clear
T000116,Route_2,Subway,11,42.3,37,5.12,1.1,Sat,1,Clear
T000117,Route_18,Bus,20,25.2,22,4.62,4.2,Wed,0,Rain
T000118,Route_11,Subway,8,23.2,26,12.5,4.7,Wed,0,Clear
T000119,Route_8,Subway,2,19.7,32,7.61,8.3,Tue,0,Clear
T000120,Route_8,Bus,22,3.0,40,5.58,3.7,Fri,0,Rain
T000121,Route_20,Ferry,20,10.8,27,12.36,1.8,Tue,0,Clear
T000122,Route_8,Tram,3,5.6,17,6.43,3.6,Wed,0,Clear
T000123,Route_17,Bus,9,9.0,25,3.92,4.3,Mon,0,Clear
T000124,Route_7,Subway,2,10.2,42,7.38,5.6,Thu,0,Clear
T000125,Route_10,Train,1,19.3,27,11.47,6.3,Fri,0,Rain
T000126,Route_17,Bus,8,38.3,27,7.17,3.3,Fri,1,Clear
T000127,Route_17,Subway,16,18.4,27,9.21,0.4,Sat,0,Clear
T000128,Route_12,Subway,11,27.6,36,6.33,3.8,Sun,1,Clear
T000129,Route_3,Train,22,24.4,34,13.9,1.2,Sun,0,Clear
T000130,Route_6,Ferry,19,27.9,30,12.72,2.0,Mon,0,Clear
T000131,Route_18,Ferry,5,12.6,23,7.33,1.3,Sun,0,Rain
T000132,Route_17,Tram,6,21.5,40,7.51,9.2,Mon,0,Fog
T000133,Route_4,Tram,2,2.8,27,10.11,7.3,Wed,0,Clear
T000134,Route_6,Train,1,2.4,29,2.37,8.3,Tue,0,Clear
T000135,Route_12,Ferry,8,0.7,42,14.23,9.6,Sun,0,Rain
T000136,Route_16,Subway,9,43.2,32,4.1,2.2,Tue,0,Clear
T000137,Route_16,Tram,15,16.0,36,7.13,4.9,Wed,0,Clear
T000138,Route_12,Subway,12,41.4,30,6.98,4.1,Thu,0,Clear
T000139,Route_3,Bus,18,30.6,25,10.0,9.4,Sun,0,Clear
T000140,Route_8,Ferry,2,36.1,26,7.4,11.4,Sun,0,Rain
T000141,Route_9,Train,14,19.9,31,7.85,0.9,Sun,1,Clear
T000142,Route_8,Tram,19,31.2,25,8.75,6.0,Wed,0,Clear
T000143,Route_5,Train,14,41.7,29,10.7,0.6,Wed,0,Rain
T000144,Route_5,Tram,4,39.8,29,9.25,0.8,Sat,0,Rain
T000145,Route_19,Bus,11,10.9,31,8.7,0.2,Sun,0,Clear
T000146,Route_13,Bus,13,38.6,39,11.23,18.1,Sun,0,Clear
T000147,Route_9,Bus,5,35.7,26,5.55,3.6,Wed,0,Snow
T000148,Route_3,Ferry,18,33.8,32,9.37,2.9,Fri,0,Clear
T000149,Route_11,Ferry,17,29.2,36,4.86,6.9,Thu,1,Clear
T000150,Route_10,Subway,22,21.7,30,3.05,2.0,Tue,0,Clear
T000151,Route_5,Ferry,16,22.0,28,7.11,2.2,Fri,0,Clear
T000152,Route_6,Bus,19,7.1,32,8.6,0.5,Mon,0,Clear
T000153,Route_8,Train,11,23.0,23,13.08,0.6,Wed,0,Clear
T000154,Route_13,Tram,3,1.3,24,14.13,5.3,Wed,0,Fog
T000155,Route_14,Subway,12,19.3,25,12.43,15.3,Fri,0,Rain
T000156,Route_10,Ferry,14,3.8,26,6.45,4.4,Wed,0,Clear
T000157,Route_17,Subway,10,33.6,23,14.78,2.1,Wed,0,Clear
T000158,Route_4,Bus,19,4.4,35,7.89,1.9,Fri,0,Clear
T000159,Route_5,Tram,21,20.2,25,8.01,1.0,Sun,0,Clear
T000160,Route_10,Tram,7,19.9,20,10.07,1.1,Mon,0,Clear
T000161,Route_4,Ferry,8,20.0,32,11.3,1.5,Tue,0,Clear
T000162,Route_18,Tram,5,38.1,41,2.23,3.0,Sat,0,Clear
T000163,Route_19,Subway,17,43.9,21,5.13,5.7,Sun,0,Clear
T000164,Route_9,Bus,3,24.1,33,5.44,3.0,Wed,1,Clear
T000165,Route_1,Tram,21,25.3,27,8.84,5.0,Wed,0,Clear
T000166,Route_12,Ferry,16,34.9,27,11.58,1.6,Sat,0,Snow
T000167,Route_10,Tram,11,22.4,20,14.7,1.0,Wed,0,Rain
T000168,Route_5,Subway,15,0.5,30,2.64,0.8,Sun,0,Fog
T000169,Route_10,Ferry,18,11.1,35,8.19,5.0,Mon,1,Rain
T000170,Route_5,Tram,0,21.8,26,13.71,1.5,Sat,0,Clear
T000171,Route_11,Subway,3,35.6,29,5.93,11.9,Tue,0,Clear
T000172,Route_18,Train,22,24.9,29,10.15,7.4,Tue,0,Clear
T000173,Route_6,Train,9,22.0,24,3.23,1.3,Mon,1,Rain
T000174,Route_16,Train,12,22.1,36,8.78,2.4,Tue,0,Clear
T000175,Route_3,Tram,2,41.3,18,14.43,0.0,Thu,0,Snow
T000176,Route_10,Ferry,20,26.1,40,9.33,0.1,Tue,0,Clear
T000177,Route_16,Bus,4,22.3,37,9.43,11.1,Sun,0,Clear
T000178,Route_20,Subway,17,10.9,21,11.49,0.8,Mon,0,Rain
T000179,Route_10,Ferry,18,18.0,22,6.13,14.1,Thu,0,Clear
T000180,Route_2,Bus,6,30.7,31,10.21,0.1,Fri,0,Clear
T000181,Route_3,Ferry,4,2.0,28,10.99,2.5,Fri,0,Clear
T000182,Route_17,Bus,0,39.5,35,6.49,0.8,Tue,0,Clear
T000183,Route_6,Subway,21,15.6,30,6.33,0.2,Sat,0,Clear
