trip_id,route,vehicle_type,departure_hour,distance_km,passengers,fare_amount,delay_minutes,day_of_week,is_holiday,weather_condition
T000001,Route_2,Subway,8,6.8,38,6.14,2.1,Tue,0,Snow
T000002,Route_8,Subway,11,4.6,36,2.29,1.3,Sat,0,Clear
T000003,Route_5,Bus,13,4.3,35,13.6,5.1,Wed,0,Clear
T000004,Route_6,Bus,10,16.5,33,4.63,0.7,Tue,0,Rain
T000005,Route_16,Train,20,27.2,34,3.53,6.5,Tue,0,Snow
T000006,Route_11,Ferry,8,9.9,28,11.0,1.1,Sat,0,Snow
T000007,Route_8,Subway,15,9.8,26,5.89,14.2,Sat,0,Clear
T000008,Route_10,Bus,10,7.2,28,4.65,3.7,Mon,0,Rain
T000009,Route_16,Bus,18,15.4,37,9.09,3.6,Sat,0,Clear
T000010,Route_14,Tram,2,5.9,32,8.83,1.3,Thu,0,Fog
T000011,Route_10,Ferry,7,27.2,32,13.12,0.3,Mon,0,Snow
T000012,Route_8,Bus,16,3.5,32,4.58,0.0,Mon,0,Clear
T000013,Route_8,Train,7,1.1,31,6.81,6.2,Fri,0,Clear
T000014,Route_7,Subway,10,32.6,28,11.77,1.0,Wed,0,Fog
T000015,Route_18,Train,2,10.2,32,6.55,8.4,Sat,0,Clear
T000016,Route_18,Subway,4,24.4,25,10.95,1.0,Sun,0,Clear
T000017,Route_5,Ferry,19,37.0,26,10.86,12.8,Fri,1,Rain
T000018,Route_1,Ferry,22,45.0,29,11.34,1.8,Fri,1,Rain
T000019,Route_12,Bus,10,32.9,33,7.65,3.7,Fri,0,Clear
T000020,Route_14,Tram,20,13.4,31,8.96,1.2,Sat,0,Clear
T000021,Route_2,Bus,16,14.9,35,13.77,11.9,Fri,1,Clear
T000022,Route_17,Tram,1,35.6,25,6.37,0.0,Fri,0,Clear
T000023,Route_20,Tram,11,1.2,32,11.54,2.9,Tue,0,Clear
T000024,Route_7,Tram,7,20.3,34,8.58,0.4,Fri,0,Rain
T000025,Route_6,Ferry,20,36.2,36,7.71,0.6,Fri,0,Clear
T000026,Route_20,Train,12,40.4,37,14.62,3.7,Sat,0,Rain
T000027,Route_19,Ferry,0,44.8,35,8.88,1.2,Fri,0,Rain
T000028,Route_17,Bus,0,6.2,32,3.97,8.8,Thu,0,Rain
T000029,Route_10,Train,20,7.9,26,14.64,9.9,Fri,0,Clear
T000030,Route_2,Ferry,2,21.3,25,2.98,4.7,Tue,0,Rain
T000031,Route_20,Subway,15,12.0,32,2.49,4.0,Sat,1,Rain
T000032,Route_16,Train,14,37.5,28,4.16,10.9,Tue,0,Rain
T000033,Route_12,Subway,18,28.4,24,2.06,12.5,Thu,0,Rain
T000034,Route_11,Bus,16,4.0,28,9.97,10.2,Fri,0,Clear
T000035,Route_5,Bus,3,22.9,33,3.32,5.6,Tue,0,Fog
T000036,Route_11,Train,3,12.3,30,5.82,0.7,Wed,0,Rain
T000037,Route_10,Bus,3,3.2,23,6.26,1.4,Thu,0,Clear
T000038,Route_2,Tram,8,1.3,21,2.32,4.1,Mon,0,Clear
T000039,Route_8,Bus,7,33.7,32,9.42,4.3,Sat,0,Clear
T000040,Route_3,Ferry,16,14.2,21,2.11,10.7,Sun,0,Clear
T000041,Route_6,Bus,15,21.4,28,10.34,3.6,Mon,0,Snow
T000042,Route_18,Train,0,31.6,31,13.89,4.0,Wed,0,Clear
T000043,Route_8,Bus,7,13.1,30,3.28,5.7,Mon,0,Rain
T000044,Route_13,Train,14,12.1,26,7.32,3.1,Sat,0,Clear
T000045,Route_3,Tram,18,32.4,28,5.06,1.8,Fri,0,Clear
T000046,Route_14,Bus,1,13.6,31,11.36,14.1,Wed,0,Fog
T000047,Route_2,Tram,6,18.3,34,6.25,1.7,Tue,0,Clear
T000048,Route_19,Bus,8,21.6,25,2.73,2.3,Thu,0,Clear
T000049,Route_2,Train,4,23.7,23,4.45,0.2,Wed,0,Clear
T000050,Route_18,Subway,11,1.5,28,14.58,3.5,Tue,0,Clear
T000051,Route_12,Train,22,39.0,31,7.46,5.9,Fri,0,Snow
T000052,Route_3,Subway,6,40.8,23,8.8,0.6,Sun,0,Clear
T000053,Route_9,Tram,17,16.4,27,9.21,2.2,Tue,0,Rain
T000054,Route_14,Subway,14,34.9,31,7.52,4.3,Thu,0,Clear
T000055,Route_9,Train,12,27.4,32,9.74,4.0,Mon,0,Snow
T000056,Route_1,Bus,14,37.0,28,5.44,3.2,Thu,0,Rain
T000057,Route_12,Train,22,7.8,21,11.16,5.9,Sat,0,Clear
T000058,Route_5,Tram,3,8.0,34,5.84,7.0,Tue,0,Rain
T000059,Route_12,Subway,2,10.1,32,9.57,17.3,Mon,0,Rain
T000060,Route_10,Bus,12,5.2,27,10.02,0.7,Sun,0,Rain
T000061,Route_10,Ferry,20,28.5,29,9.0,4.3,Fri,0,Rain
T000062,Route_9,Train,2,26.9,37,5.84,4.9,Tue,0,Clear
T000063,Route_9,Ferry,16,32.4,34,6.66,5.3,Thu,0,Clear
T000064,Route_12,Bus,16,34.1,40,6.46,3.4,Mon,1,Clear
T000065,Route_13,Ferry,17,1.4,23,14.46,0.2,Tue,1,Clear
T000066,Route_15,Tram,21,32.8,31,14.91,2.6,Sun,0,Snow
T000067,Route_14,Train,1,11.8,37,13.72,13.1,Mon,0,Clear
T000068,Route_2,Tram,5,41.4,25,8.6,2.7,Mon,0,Rain
T000069,Route_12,Train,3,19.7,20,6.02,7.3,Wed,0,Clear
T000070,Route_7,Subway,15,13.8,36,2.6,3.0,Thu,0,Clear
T000071,Route_13,Subway,7,37.6,34,12.01,4.9,Sat,0,Clear
T000072,Route_14,Tram,8,44.1,32,6.83,1.2,Sat,0,Clear
T000073,Route_15,Bus,0,43.4,33,5.52,3.9,Tue,0,Snow
T000074,Route_8,Ferry,7,41.1,34,10.24,0.6,Sat,0,Clear
T000075,Route_18,Train,18,36.9,37,10.6,0.4,Thu,0,Clear
T000076,Route_16,Tram,20,21.9,32,4.94,4.3,Tue,0,Clear
T000077,Route_19,Ferry,13,38.6,38,12.67,8.1,Wed,0,Clear
T000078,Route_20,Bus,18,9.2,28,12.55,0.8,Tue,0,Clear
T000079,Route_10,Subway,18,7.9,21,2.7,1.3,Sat,0,Fog
T000080,Route_11,Train,10,13.1,31,9.87,3.3,Thu,0,Clear
T000081,Route_2,Ferry,9,34.7,31,11.55,3.8,Sat,0,Snow
T000082,Route_9,Train,10,43.1,31,5.0,5.0,Sun,0,Clear
T000083,Route_3,Tram,3,28.7,35,4.96,6.2,Tue,0,Clear
T000084,Route_5,Ferry,3,3.7,31,11.34,1.3,Wed,0,Clear
T000085,Route_20,Train,16,25.5,19,11.58,6.3,Tue,0,Clear
T000086,Route_12,Bus,8,19.9,29,3.26,11.8,Sun,0,Clear
T000087,Route_11,Subway,5,6.2,28,14.61,0.5,Wed,1,Clear
T000088,Route_3,Tram,4,23.7,43,7.98,3.7,Fri,0,Clear
T000089,Route_3,Tram,12,22.5,15,12.18,0.3,Tue,0,Clear
T000090,Route_7,Bus,8,13.6,28,5.88,6.8,Sat,1,Clear
T000091,Route_4,Train,9,40.5,34,12.67,17.6,Sat,0,Rain
T000092,Route_10,Train,8,34.1,34,3.75,1.5,Fri,0,Rain
T000093,Route_20,Ferry,16,35.9,29,11.29,1.4,Fri,0,Clear
T000094,Route_19,Train,2,3.5,30,2.56,10.5,Sun,0,Snow
T000095,Route_20,Subway,2,0.6,23,11.8,1.6,Tue,0,Rain
T000096,Route_11,Subway,1,2.3,29,10.7,5.7,Sat,0,Snow
T000097,Route_17,Ferry,4,31.1,33,1.5,3.1,Sun,0,Rain
T000098,Route_4,Train,10,32.5,31,8.36,1.9,Tue,0,Rain
T000099,Route_15,Ferry,17,23.3,29,5.45,3.4,Sun,0,Clear
T000100,Route_12,Ferry,7,31.4,37,7.93,11.6,Wed,0,Clear
