trip_id,route,vehicle_type,departure_hour,distance_km,passengers,fare_amount,delay_minutes,day_of_week,is_holiday,weather_condition
T000001,Route_14,Bus,2,25.3,34,7.88,4.2,Sat,1,Clear
T000002,Route_4,Ferry,12,31.0,35,6.89,1.3,Sun,0,Clear
T000003,Route_3,Train,14,3.9,32,5.88,4.4,Sat,0,Clear
T000004,Route_9,Train,10,12.9,37,8.21,8.1,Mon,0,Rain
T000005,Route_19,Subway,7,17.7,33,8.99,8.6,Tue,0,Clear
T000006,Route_6,Train,20,21.6,43,12.42,6.1,Sat,0,Clear
T000007,Route_13,Train,2,10.4,38,10.13,6.1,Thu,0,Snow
T000008,Route_6,Ferry,8,26.1,36,4.35,1.4,Thu,1,Clear
T000009,Route_3,Train,10,2.4,26,2.57,3.5,Sat,0,Clear
T000010,Route_10,Tram,11,39.6,28,13.91,1.1,Sun,0,Rain
T000011,Route_19,Subway,18,8.2,25,8.77,2.9,Mon,0,Clear
T000012,Route_20,Bus,2,23.8,31,10.5,0.3,Sun,0,Clear
T000013,Route_15,Subway,21,12.8,34,12.32,0.4,Sun,0,Clear
T000014,Route_12,Subway,5,13.1,39,6.7,3.4,Sun,0,Clear
T000015,Route_11,Bus,14,9.7,23,6.66,5.2,Sun,0,Clear
T000016,Route_8,Subway,9,19.0,29,2.92,18.4,Sun,0,Clear
T000017,Route_16,Ferry,3,15.9,27,8.91,2.5,Fri,0,Clear
T000018,Route_7,Tram,5,18.2,27,13.97,2.3,Sat,0,Clear
T000019,Route_16,Tram,18,36.1,34,10.04,6.2,Wed,0,Clear
T000020,Route_17,Bus,22,36.7,31,7.64,2.9,Sun,0,Clear
T000021,Route_16,Tram,20,31.4,28,3.04,3.9,Sat,0,Snow
T000022,Route_4,Ferry,7,13.9,32,4.95,7.5,Mon,0,Clear
T000023,Route_9,Tram,18,10.5,26,1.62,13.7,Tue,0,Clear
T000024,Route_5,Tram,6,40.7,32,12.02,0.5,Mon,0,Clear
T000025,Route_9,Tram,15,7.3,34,1.55,11.7,Wed,0,Clear
T000026,Route_10,Bus,0,38.3,32,13.25,15.4,Thu,0,Clear
T000027,Route_4,Bus,20,7.9,27,7.33,6.6,Sat,0,Rain
T000028,Route_10,Ferry,6,38.6,34,4.75,1.3,Fri,0,Rain
T000029,Route_11,Tram,5,43.4,31,9.82,2.2,Tue,0,Clear
T000030,Route_11,Tram,19,18.5,38,7.02,0.1,Sun,0,Rain
T000031,Route_2,Bus,15,11.9,27,12.3,0.9,Tue,0,Rain
T000032,Route_13,Tram,5,6.5,29,1.88,9.0,Sun,0,Clear
T000033,Route_5,Bus,19,9.0,28,5.4,3.5,Mon,0,Clear
T000034,Route_7,Tram,14,44.9,29,13.66,4.4,Tue,0,Clear
T000035,Route_4,Train,1,10.2,20,11.06,9.0,Sat,0,Clear
T000036,Route_8,Train,20,35.8,25,5.66,0.2,Mon,0,Fog
T000037,Route_9,Tram,12,5.3,29,6.32,1.8,Wed,0,Clear
T000038,Route_6,Ferry,20,11.4,30,5.51,1.4,Sun,0,Rain
T000039,Route_9,Tram,20,11.5,30,10.45,3.1,Fri,0,Clear
T000040,Route_7,Tram,16,11.9,25,9.59,4.5,Sat,1,Fog
T000041,Route_7,Tram,20,6.0,39,12.22,0.7,Fri,0,Rain
T000042,Route_14,Train,9,34.1,37,14.75,7.5,Tue,1,Rain
T000043,Route_2,Train,2,33.0,33,6.22,3.2,Thu,0,Snow
T000044,Route_19,Tram,3,36.2,40,3.1,2.6,Tue,0,Rain
T000045,Route_5,Tram,9,21.4,31,11.23,3.9,Sun,0,Clear
T000046,Route_16,Ferry,12,37.0,28,3.0,3.7,Tue,0,Rain
T000047,Route_2,Subway,4,19.3,41,3.77,1.4,Wed,1,Clear
T000048,Route_19,Ferry,15,2.1,31,7.82,4.4,Thu,0,Rain
T000049,Route_18,Tram,20,24.9,27,7.54,0.4,Sat,1,Clear
T000050,Route_14,Bus,22,41.8,24,3.05,1.6,Thu,0,Rain
T000051,Route_20,Subway,19,24.2,33,12.98,6.1,Fri,0,Snow
T000052,Route_19,Bus,1,18.0,27,12.6,11.0,Sat,0,Clear
T000053,Route_3,Bus,3,7.6,43,12.66,2.2,Thu,0,Clear
T000054,Route_10,Ferry,4,1.5,29,14.32,1.4,Sat,0,Clear
T000055,Route_10,Tram,9,29.1,20,14.09,0.2,Sun,0,Rain
T000056,Route_2,Train,16,21.7,21,3.2,14.3,Fri,0,Clear
T000057,Route_18,Bus,22,2.9,28,11.12,10.1,Sun,0,Snow
T000058,Route_11,Train,1,12.5,32,14.14,6.5,Sun,0,Snow
T000059,Route_10,Bus,20,34.2,28,11.45,2.4,Wed,0,Clear
T000060,Route_17,Tram,22,22.8,25,13.66,5.2,Sun,0,Clear
T000061,Route_18,Tram,7,10.2,38,14.95,1.2,Fri,0,Rain
T000062,Route_9,Ferry,1,40.7,35,5.78,6.4,Thu,0,Rain
T000063,Route_13,Subway,8,26.9,42,3.77,2.4,Thu,0,Clear
T000064,Route_11,Subway,10,5.0,26,6.96,12.4,Mon,0,Rain
T000065,Route_15,Bus,5,6.8,28,7.36,9.5,Wed,0,Fog
T000066,Route_14,Ferry,16,19.1,34,11.95,2.8,Thu,0,Clear
T000067,Route_7,Tram,19,7.3,28,7.13,1.5,Tue,1,Clear
T000068,Route_13,Train,15,29.2,33,5.44,1.7,Mon,1,Snow
T000069,Route_15,Tram,17,41.2,26,9.45,1.0,Wed,0,Fog
