==========================================================================================
ARGO LIVE EXECUTION REPORT
Generated: 2026-07-15 17:25:10
Pipelines tested: 99
==========================================================================================

## Results Summary
  ✅ Succeeded:    95 (96%)
  ❌ Failed:        4 (4%)




## Durations (successful pipelines)
  Average: 15s
  Min:     0s
  Max:     70s

## Steps: 598/602 passed (99%)

## By Domain
  analytics           : 2/2 succeeded (100%)
  general-ml          : 8/10 succeeded (80%)
  hr                  : 2/2 succeeded (100%)
  sports              : 39/40 succeeded (98%)
  transportation      : 44/45 succeeded (98%)

    # Pipeline                                              Phase   Dur   Steps  CPU·s   MB·s
------------------------------------------------------------------------------------------
 ✅ 001_analytics_statistical_cleaning_integration   Succeeded   70s     6/6     2    67
 ✅ 002_analytics_statistical_integration            Succeeded   10s     6/6     5    99
 ❌ 003_credit_risk                                     Failed   40s   10/11     8   151
 ❌ 004_customer_churn                                  Failed   10s   11/12     9   164
 ✅ 005_demand_forecasting                           Succeeded    0s   10/10     6   120
 ✅ 006_ecommerce_recommendation                     Succeeded   70s     6/6     3    72
 ✅ 007_employee_attrition                           Succeeded    0s     6/6     4    82
 ✅ 008_energy_forecasting                           Succeeded    0s     6/6     4    83
 ✅ 009_healthcare_readmission                       Succeeded    0s     6/6     5    88
 ✅ 010_hr_regression_visualization_integration      Succeeded    0s     6/6     5    83
 ✅ 011_hr_visualization_integration_validation      Succeeded   70s     6/6     4    80
 ✅ 012_insurance_claims                             Succeeded    0s     6/6     2    68
 ✅ 013_predictive_maintenance                       Succeeded    0s     6/6     4    78
 ✅ 014_sports_clustering_integration_validation     Succeeded    0s     6/6     2    68
 ✅ 015_sports_clustering_prediction_statistical     Succeeded    0s     6/6     3    71
 ✅ 016_sports_clustering_prediction_visualization   Succeeded   70s     6/6     2    66
 ✅ 017_sports_clustering_statistical_visualization  Succeeded    0s     6/6     2    61
 ✅ 018_sports_clustering_visualization_integration  Succeeded    0s     6/6     2    67
 ✅ 019_sports_prediction_cleaning_integration       Succeeded    0s     6/6     2    67
 ✅ 020_sports_prediction_statistical_visualization  Succeeded    0s     6/6     2    69
 ✅ 021_sports_prediction_statistical_visualization  Succeeded   70s     6/6     2    67
 ✅ 022_sports_prediction_visualization_cleaning     Succeeded    0s     6/6     2    67
 ✅ 023_sports_regression_clustering_visualization   Succeeded    0s     6/6     2    67
 ✅ 024_sports_regression_prediction_statistical     Succeeded    0s     6/6     2    66
 ❌ 025_sports_regression_prediction_statistical_v2     Failed    0s     2/3     0    22
 ✅ 026_sports_regression_prediction_statistical_v3  Succeeded   70s     6/6     3    74
 ✅ 027_sports_regression_prediction_visualization   Succeeded    0s     6/6     3    74
 ✅ 028_sports_regression_prediction_visualization_  Succeeded    0s     6/6     2    72
 ✅ 029_sports_regression_statistical_visualization  Succeeded    0s     6/6     3    78
 ✅ 030_sports_statistical_cleaning                  Succeeded    0s     6/6     2    71
 ✅ 031_sports_statistical_cleaning_integration      Succeeded   70s     6/6     3    75
 ✅ 032_sports_statistical_cleaning_integration_v2   Succeeded    0s     6/6     2    72
 ✅ 033_sports_statistical_cleaning_integration_v3   Succeeded    0s     6/6     2    67
 ✅ 034_sports_statistical_cleaning_integration_v4   Succeeded    0s     6/6     3    71
 ✅ 035_sports_statistical_cleaning_integration_v5   Succeeded    0s     6/6     3    72
 ✅ 036_sports_statistical_cleaning_validation       Succeeded   70s     6/6     2    70
 ✅ 037_sports_statistical_integration               Succeeded    0s     6/6     3    73
 ✅ 038_sports_statistical_integration_v2            Succeeded    0s     6/6     2    68
 ✅ 039_sports_statistical_visualization_cleaning    Succeeded    0s     6/6     3    75
